H,1549385369,411732
P,1549385369,5098
P,1549385398,5100
P,1549385427,5098
P,1549385457,5100
P,1549385487,5098
P,1549385516,5100
P,1549385545,5100
P,1549385575,5099
P,1549385604,5099
P,1549385633,5100
P,1549385662,5100
P,1549385692,5098
P,1549385721,5100
P,1549385751,5101
P,1549385781,5098
P,1549385810,5100
P,1549385839,5099
P,1549385868,5100
P,1549385898,5100
P,1549385927,5100
P,1549385956,5099
P,1549385986,5099
P,1549386015,5099
P,1549386045,5099
P,1549386074,5099
P,1549386104,5099
P,1549386133,5100
P,1549386162,5098
P,1549386191,5099
P,1549386221,5100
P,1549386251,5099
P,1549386280,5099
P,1549386310,5100
P,1549386340,5099
P,1549386369,5098
P,1549386398,5100
P,1549386428,5099
P,1549386457,5099
P,1549386486,5098
P,1549386516,5100
P,1549386545,5099
P,1549386574,5101
P,1549386603,5099
P,1549386634,5099
P,1549386663,5099
P,1549386692,5100
P,1549386722,5099
P,1549386751,5098
P,1549386780,5099
P,1549386809,5098
P,1549386839,5099
P,1549386868,5099
P,1549386897,5098
P,1549386928,5099
P,1549386957,5099
P,1549386986,5100
P,1549387015,5100
P,1549387045,5099
P,1549387074,5100
P,1549387103,5099
P,1549387133,5101
P,1549387162,5099
P,1549387191,5098
P,1549387221,5098
P,1549387251,5098
O,1549387270,442317,2878
O,1549387271,442613,118
O,1549387271,442621,90
O,1549387272,442596,105
O,1549387272,442589,119
O,1549387273,442557,142
O,1549387274,442589,99
O,1549387274,442623,158
O,1549387275,442598,96
O,1549387275,442617,135
O,1549387276,442622,84
O,1549387276,442634,137
O,1549387277,442609,55
O,1549387278,442655,82
O,1549387278,442677,77
O,1549387279,442699,64
O,1549387279,442704,129
P,1549387280,5091
O,1549387280,442697,107
O,1549387280,442723,123
O,1549387281,442723,122
O,1549387282,442741,101
O,1549387282,442739,86
O,1549387283,442756,92
O,1549387283,442754,55
O,1549387284,442771,72
O,1549387284,442756,42
O,1549387285,442792,122
O,1549387286,442787,108
O,1549387286,442832,99
O,1549387287,442802,82
O,1549387287,442759,63
O,1549387288,442740,107
O,1549387288,442736,77
O,1549387289,442717,64
O,1549387289,442742,128
O,1549387290,442729,123
O,1549387291,442724,147
O,1549387291,442754,113
O,1549387292,442744,105
O,1549387292,442741,101
O,1549387293,442737,71
O,1549387293,442756,146
O,1549387294,442728,146
O,1549387295,442757,138
O,1549387295,442752,120
O,1549387296,442763,75
O,1549387296,442802,99
O,1549387297,442798,121
O,1549387297,442790,110
O,1549387298,442822,83
O,1549387299,442809,111
O,1549387299,442825,133
O,1549387299,442834,114
O,1549387299,442842,165
O,1549387300,442835,98
O,1549387300,442851,155
O,1549387301,442819,121
O,1549387302,442820,113
O,1549387302,442793,145
O,1549387303,442784,106
O,1549387303,442752,78
O,1549387304,442733,115
O,1549387304,442728,78
O,1549387305,442716,123
O,1549387305,442715,100
O,1549387306,442673,82
O,1549387307,442678,120
O,1549387307,442659,101
O,1549387308,442664,71
O,1549387308,442633,128
P,1549387309,5092
O,1549387309,442658,96
O,1549387309,442661,106
O,1549387310,442660,98
O,1549387311,442645,79
O,1549387311,442666,77
O,1549387312,442684,122
O,1549387312,442687,106
O,1549387313,442682,157
O,1549387313,442684,146
O,1549387314,442671,145
O,1549387315,442690,94
O,1549387315,442714,113
O,1549387316,442707,133
O,1549387316,442693,140
O,1549387317,442703,81
O,1549387317,442691,101
O,1549387318,442704,85
O,1549387319,442670,97
O,1549387319,442713,121
O,1549387320,442694,101
O,1549387320,442731,110
O,1549387321,442708,97
O,1549387321,442727,56
O,1549387322,442750,127
O,1549387323,442727,130
O,1549387323,442739,105
O,1549387324,442739,63
O,1549387324,442749,86
O,1549387325,442752,127
O,1549387325,442757,80
O,1549387326,442740,145
T,1549387326,2732
P,1549387339,5098
P,1549387368,5099
P,1549387397,5099
P,1549387426,5099
P,1549387456,5098
P,1549387485,5099
P,1549387515,5098
P,1549387545,5099
P,1549387574,5099
P,1549387603,5099
P,1549387632,5099
P,1549387662,5099
P,1549387691,5099
P,1549387720,5098
P,1549387750,5100
P,1549387779,5100
P,1549387809,5099
P,1549387838,5097
P,1549387868,5098
P,1549387897,5098
P,1549387926,5098
P,1549387955,5097
P,1549387985,5100
P,1549388014,5100
P,1549388043,5098
P,1549388073,5098
P,1549388103,5097
P,1549388132,5098
P,1549388161,5099
P,1549388191,5098
P,1549388220,5099
P,1549388249,5097
P,1549388279,5099
P,1549388308,5096
