H,1548815050,311517
P,1548815050,5103
P,1548815079,5104
P,1548815108,5105
P,1548815137,5103
P,1548815167,5104
P,1548815196,5104
P,1548815225,5105
P,1548815255,5102
P,1548815285,5104
P,1548815314,5105
P,1548815343,5104
P,1548815373,5103
P,1548815402,5104
P,1548815431,5103
P,1548815461,5104
P,1548815490,5102
P,1548815519,5103
P,1548815548,5104
P,1548815579,5105
P,1548815608,5103
P,1548815637,5104
P,1548815666,5104
P,1548815696,5105
P,1548815725,5104
P,1548815754,5103
P,1548815784,5104
P,1548815813,5104
P,1548815842,5104
P,1548815872,5104
P,1548815902,5103
P,1548815931,5104
P,1548815960,5103
P,1548815990,5104
P,1548816019,5104
P,1548816048,5103
P,1548816077,5101
P,1548816107,5105
O,1548816136,288135,1748
P,1548816136,5096
O,1548816137,288287,152
O,1548816137,288288,89
O,1548816138,288277,67
O,1548816138,288256,65
O,1548816139,288236,111
O,1548816140,288225,73
O,1548816140,288248,87
O,1548816141,288236,80
O,1548816141,288236,106
O,1548816142,288245,100
O,1548816142,288238,117
O,1548816143,288235,120
O,1548816144,288240,55
O,1548816144,288243,121
O,1548816145,288266,80
O,1548816145,288258,88
O,1548816146,288251,74
O,1548816146,288249,134
O,1548816147,288267,116
O,1548816147,288255,90
O,1548816148,288255,176
O,1548816149,288245,85
O,1548816149,288239,81
O,1548816150,288267,89
O,1548816150,288278,115
O,1548816151,288278,80
O,1548816151,288264,122
O,1548816152,288268,78
O,1548816153,288286,68
O,1548816153,288273,95
O,1548816154,288277,64
O,1548816154,288275,65
O,1548816155,288295,128
O,1548816155,288290,109
O,1548816156,288306,117
O,1548816157,288278,115
O,1548816157,288279,147
O,1548816158,288279,80
O,1548816158,288253,80
O,1548816158,288241,80
O,1548816158,288243,115
O,1548816159,288280,89
O,1548816160,288254,115
O,1548816160,288242,116
O,1548816161,288250,144
O,1548816161,288279,149
O,1548816162,288264,74
O,1548816162,288238,125
O,1548816163,288235,111
O,1548816164,288218,102
O,1548816164,288204,95
O,1548816165,288200,96
O,1548816165,288186,78
P,1548816166,5095
O,1548816166,288192,100
O,1548816166,288192,100
O,1548816167,288209,131
O,1548816167,288225,130
O,1548816168,288241,152
O,1548816169,288237,124
O,1548816169,288238,94
O,1548816170,288266,138
O,1548816170,288272,134
O,1548816171,288237,92
O,1548816171,288267,79
O,1548816172,288259,86
O,1548816173,288275,95
O,1548816173,288265,110
O,1548816174,288265,81
O,1548816174,288271,93
O,1548816175,288266,78
O,1548816175,288257,122
O,1548816176,288264,58
O,1548816177,288248,113
O,1548816177,288263,117
O,1548816178,288283,90
O,1548816178,288285,74
O,1548816179,288321,90
O,1548816179,288306,115
O,1548816180,288328,66
O,1548816181,288322,116
O,1548816181,288327,99
O,1548816182,288328,78
O,1548816182,288278,60
O,1548816183,288298,101
O,1548816183,288284,140
O,1548816184,288287,178
O,1548816185,288311,121
O,1548816185,288286,94
O,1548816186,288264,120
O,1548816186,288256,112
O,1548816187,288262,103
O,1548816187,288188,124
O,1548816188,288220,112
O,1548816188,288227,139
O,1548816189,288219,118
O,1548816190,288229,149
O,1548816190,288265,119
O,1548816191,288241,148
O,1548816191,288264,93
O,1548816192,288262,135
T,1548816192,2728
P,1548816196,5102
P,1548816225,5103
P,1548816254,5103
P,1548816283,5104
P,1548816313,5104
P,1548816342,5104
P,1548816371,5105
P,1548816401,5103
P,1548816430,5101
P,1548816460,5104
P,1548816489,5103
P,1548816519,5103
P,1548816548,5103
P,1548816577,5103
P,1548816607,5103
P,1548816636,5104
P,1548816665,5103
P,1548816694,5103
P,1548816724,5103
P,1548816754,5104
P,1548816783,5104
P,1548816813,5104
P,1548816842,5103
P,1548816871,5104
P,1548816900,5103
P,1548816930,5103
P,1548816959,5103
P,1548816988,5103
P,1548817018,5104
P,1548817048,5103
P,1548817078,5104
P,1548817107,5105
P,1548817137,5103
P,1548817166,5103
P,1548817195,5104
P,1548817225,5102
P,1548817254,5103
P,1548817283,5104
P,1548817312,5105
P,1548817343,5104
P,1548817372,5102
P,1548817401,5104
P,1548817430,5104
P,1548817460,5104
P,1548817489,5102
P,1548817518,5104
P,1548817548,5104
P,1548817577,5104
P,1548817606,5101
P,1548817636,5105
P,1548817666,5104
P,1548817695,5104
P,1548817724,5102
P,1548817754,5103
P,1548817783,5103
P,1548817812,5103
P,1548817841,5103
P,1548817871,5102
P,1548817900,5104
P,1548817930,5104
P,1548817960,5104
P,1548817989,5105
