H,1552449875,281312
P,1552449875,5130
P,1552449904,5131
P,1552449934,5132
P,1552449963,5133
P,1552449992,5131
P,1552450022,5130
P,1552450051,5130
P,1552450080,5131
P,1552450109,5130
P,1552450139,5131
P,1552450169,5132
P,1552450198,5130
P,1552450228,5129
P,1552450257,5130
P,1552450286,5131
P,1552450315,5130
P,1552450345,5131
P,1552450374,5129
P,1552450403,5130
P,1552450433,5130
P,1552450463,5131
P,1552450492,5132
P,1552450521,5129
P,1552450551,5131
P,1552450580,5130
P,1552450609,5127
P,1552450638,5131
P,1552450668,5131
P,1552450697,5131
P,1552450726,5131
P,1552450757,5130
P,1552450786,5129
P,1552450815,5131
P,1552450844,5131
P,1552450874,5130
P,1552450903,5131
P,1552450932,5131
P,1552450962,5131
P,1552450991,5129
P,1552451020,5130
P,1552451050,5129
P,1552451080,5132
P,1552451109,5131
P,1552451138,5131
P,1552451168,5129
P,1552451197,5131
P,1552451226,5131
P,1552451255,5131
P,1552451285,5132
P,1552451314,5130
P,1552451344,5130
P,1552451374,5130
P,1552451403,5131
P,1552451432,5132
P,1552451461,5128
P,1552451491,5131
P,1552451520,5130
P,1552451549,5129
P,1552451579,5129
P,1552451608,5130
P,1552451638,5132
O,1552451665,231409,3580
O,1552451666,232561,888
O,1552451667,232943,285
P,1552451667,5122
O,1552451667,232979,164
O,1552451668,232879,206
O,1552451668,232513,572
O,1552451669,232276,620
O,1552451669,232604,286
O,1552451670,233033,718
O,1552451671,233076,317
O,1552451671,233433,612
O,1552451672,233830,392
O,1552451672,233552,303
O,1552451673,233666,401
O,1552451673,233607,335
O,1552451674,233697,591
O,1552451675,233807,377
O,1552451675,233939,186
O,1552451676,234067,167
O,1552451676,234201,201
O,1552451677,234421,141
O,1552451677,234294,158
O,1552451678,234368,265
O,1552451679,234443,109
O,1552451679,234361,148
O,1552451680,234380,233
O,1552451680,234504,83
O,1552451681,234423,353
O,1552451681,234080,300
O,1552451682,234081,314
O,1552451682,234327,225
O,1552451683,234482,255
O,1552451684,234474,311
O,1552451684,234621,472
O,1552451685,234120,367
O,1552451685,234311,195
O,1552451686,234314,363
O,1552451686,234331,186
O,1552451687,234232,321
O,1552451688,234534,289
O,1552451688,234321,446
O,1552451689,234394,229
O,1552451689,234206,104
O,1552451690,234281,263
O,1552451690,234427,306
O,1552451691,234411,187
O,1552451692,234537,156
O,1552451692,241693,20284
O,1552451693,244572,1789
O,1552451693,243485,714
O,1552451694,243866,734
O,1552451694,245813,4025
O,1552451695,248456,839
O,1552451696,248043,518
O,1552451696,249239,1783
O,1552451697,252970,1244
P,1552451697,5124
O,1552451697,251698,920
O,1552451698,250533,934
O,1552451698,249253,1088
O,1552451699,248854,207
O,1552451700,248517,1119
O,1552451700,247441,828
O,1552451701,246815,810
O,1552451701,246530,766
O,1552451702,246417,597
O,1552451702,247389,1887
O,1552451703,248866,1231
O,1552451703,250962,1613
O,1552451704,251511,1102
O,1552451704,249997,1543
O,1552451704,248461,522
O,1552451705,249257,3267
O,1552451705,250684,1323
O,1552451706,249532,1061
O,1552451706,248021,1378
O,1552451707,247426,764
O,1552451708,246187,866
O,1552451708,246467,608
O,1552451709,246766,870
O,1552451709,247939,523
O,1552451710,250574,1138
O,1552451710,248800,2188
O,1552451711,247272,498
O,1552451712,246519,1424
O,1552451712,245860,515
O,1552451713,246338,1510
O,1552451713,244294,1909
O,1552451714,243597,947
O,1552451714,243789,2991
O,1552451715,244429,1959
O,1552451716,247393,1276
O,1552451716,248852,835
O,1552451717,249187,473
O,1552451717,248962,1072
O,1552451718,249005,600
O,1552451718,248255,1374
O,1552451719,246953,881
O,1552451720,247865,1107
O,1552451720,248409,1503
O,1552451721,249304,625
O,1552451721,249053,344
T,1552451721,2764
P,1552451726,5131
P,1552451755,5131
P,1552451785,5131
P,1552451814,5130
P,1552451843,5131
P,1552451872,5132
P,1552451902,5131
P,1552451932,5130
P,1552451962,5131
P,1552451992,5128
P,1552452021,5131
P,1552452050,5129
P,1552452079,5131
P,1552452109,5131
P,1552452138,5129
P,1552452167,5129
P,1552452197,5132
P,1552452227,5131
P,1552452256,5131
P,1552452285,5130
P,1552452315,5132
P,1552452344,5129
P,1552452373,5129
P,1552452402,5130
P,1552452432,5131
P,1552452461,5131
P,1552452490,5129
P,1552452521,5131
P,1552452550,5130
P,1552452579,5131
P,1552452608,5131
P,1552452638,5128
P,1552452667,5130
P,1552452696,5130
P,1552452726,5129
P,1552452755,5130
P,1552452784,5129
P,1552452814,5131
