H,1555008893,281312
P,1555008893,5098
D,1555008895,404224
D,1555008897,405760
D,1555008899,403968
D,1555008902,413440
D,1555008904,404480
D,1555008906,403200
D,1555008908,404224
D,1555008910,404736
D,1555008913,404480
D,1555008915,407552
D,1555008917,396800
D,1555008919,406528
D,1555008921,406016
P,1555008924,5099
D,1555008924,404736
D,1555008926,405504
D,1555008928,404992
D,1555008929,406272
D,1555008931,405248
D,1555008934,403712
D,1555008936,404480
D,1555008938,406016
D,1555008940,407552
D,1555008942,406272
D,1555008945,404992
D,1555008947,408064
D,1555008949,406784
D,1555008951,405248
P,1555008953,5099
D,1555008953,407040
D,1555008956,403456
D,1555008958,402944
D,1555008960,404224
D,1555008962,406016
D,1555008964,404992
D,1555008967,404992
D,1555008969,404992
D,1555008970,404992
D,1555008972,404224
D,1555008974,403712
D,1555008977,404992
D,1555008979,399104
D,1555008981,404224
P,1555008982,5097
D,1555008983,403712
D,1555008985,403456
D,1555008988,403712
D,1555008990,403968
D,1555008992,403968
D,1555008994,405248
D,1555008996,402944
P,1555009011,5100
P,1555009041,5100
P,1555009070,5101
P,1555009099,5101
O,1555009109,278278,2102
O,1555009110,280266,2866
O,1555009111,283484,2168
O,1555009111,282986,2486
O,1555009112,280848,2026
O,1555009112,279883,883
O,1555009113,280220,783
O,1555009113,280223,951
O,1555009114,281998,1745
O,1555009115,281625,786
O,1555009115,280494,910
O,1555009116,280028,876
O,1555009116,278782,1150
O,1555009117,277946,826
O,1555009117,277391,108
O,1555009118,277420,76
O,1555009119,277460,340
O,1555009119,279088,4221
O,1555009120,279517,2953
O,1555009120,278621,1306
O,1555009121,277727,1218
O,1555009121,276472,1580
O,1555009122,275963,2409
O,1555009123,276111,2753
O,1555009123,274721,2121
O,1555009124,274996,2343
O,1555009124,276396,1789
O,1555009125,275691,2257
O,1555009125,277019,800
O,1555009126,277014,1326
O,1555009127,277366,1637
O,1555009127,279023,2829
O,1555009128,280200,3583
O,1555009128,284285,2538
O,1555009129,281449,5174
P,1555009129,5090
O,1555009129,279044,838
O,1555009130,279139,1334
O,1555009130,280305,999
O,1555009131,281735,1798
O,1555009132,284600,3667
O,1555009132,285946,2122
O,1555009133,284387,4367
O,1555009133,283341,2226
O,1555009133,285226,1024
O,1555009133,285144,2687
O,1555009134,281221,2388
O,1555009135,279817,1003
O,1555009135,278664,355
O,1555009136,278323,358
O,1555009136,279217,730
O,1555009137,279295,600
O,1555009137,279254,1141
O,1555009138,278387,1588
O,1555009139,278651,1867
O,1555009139,277616,362
O,1555009140,277719,519
O,1555009140,278083,400
O,1555009141,278146,186
O,1555009141,279124,1051
O,1555009142,280096,1336
O,1555009143,279659,873
O,1555009143,278361,1124
O,1555009144,277689,369
O,1555009144,277334,599
O,1555009145,278356,1584
O,1555009145,277935,895
O,1555009146,276743,876
O,1555009147,276586,439
O,1555009147,276937,192
O,1555009148,276963,106
O,1555009148,277011,256
O,1555009149,277009,366
O,1555009149,277023,169
O,1555009150,277159,245
O,1555009150,277305,228
O,1555009151,277784,980
O,1555009152,278115,995
O,1555009152,278426,1501
O,1555009153,280268,2269
O,1555009153,278852,1503
O,1555009154,278569,527
O,1555009154,278244,269
O,1555009155,277977,181
O,1555009156,277761,309
O,1555009156,277274,546
O,1555009157,277273,289
O,1555009157,277407,251
O,1555009158,278251,757
P,1555009158,5091
O,1555009158,277877,640
O,1555009159,277285,403
O,1555009160,277047,201
O,1555009160,276979,159
O,1555009161,277160,491
O,1555009161,277465,1734
O,1555009162,276888,1722
O,1555009162,276636,1035
O,1555009163,277171,938
O,1555009164,277193,218
O,1555009164,277196,800
O,1555009165,278415,1658
O,1555009165,279681,1781
T,1555009165,2814
P,1555009187,5099
P,1555009217,5098
P,1555009247,5098
P,1555009276,5098
P,1555009305,5098
P,1555009335,5100
P,1555009364,5097
P,1555009393,5099
P,1555009422,5098
P,1555009452,5100
P,1555009481,5101
P,1555009511,5100
P,1555009541,5098
P,1555009570,5100
P,1555009599,5100
P,1555009628,5098
P,1555009658,5098
P,1555009687,5100
P,1555009716,5100
P,1555009746,5100
P,1555009775,5098
P,1555009805,5098
P,1555009834,5097
P,1555009864,5100
P,1555009893,5098
P,1555009922,5101
P,1555009952,5100
P,1555009981,5098
P,1555010010,5099
P,1555010039,5099
P,1555010069,5099
P,1555010099,5099
P,1555010128,5098
P,1555010158,5100
P,1555010187,5098
P,1555010216,5100
P,1555010245,5101
P,1555010275,5099
P,1555010304,5099
P,1555010333,5097
P,1555010363,5098
P,1555010393,5099
P,1555010422,5097
