H,674,93
X,674,430943,36896
X,675,279587,15717
X,675,518697,34552
X,676,219529,42964
X,676,215691,13668
X,677,297327,60569
X,678,626520,8252
X,678,356157,4134
X,679,374107,42823
X,679,247214,17856
X,680,575144,52535
X,680,256433,48724
X,681,260678,2825
X,682,50855,59635
X,682,13182,53374
X,683,38271,64310
X,683,4294964659,54941
X,683,28097,48977
X,683,54964,15521
X,684,169400,21323
X,685,340169,3052
X,685,388549,15078
X,686,415375,12572
P,686,5212
X,686,130918,22300
X,687,69584,11947
X,687,39370,16874
X,688,69735,2658
X,689,104734,15109
X,689,69757,11551
X,690,52569,28508
X,690,74186,24783
X,691,77089,47829
X,691,31269,58405
X,692,62638,51769
X,692,78633,5506
X,693,115944,578
X,694,148198,63801
X,694,123045,28081
X,695,300867,29792
X,695,202249,24105
X,696,131173,48321
X,696,136039,22613
X,697,152639,62291
X,698,228595,18033
X,698,143898,9284
X,699,133252,57910
X,699,129544,43279
X,700,171602,17008
X,700,141804,47252
X,701,124857,31889
X,702,123071,35027
X,702,141841,40739
X,703,150132,45245
X,703,256314,5459
X,704,290333,31496
X,704,231000,30080
X,705,314576,24770
X,705,241403,44446
X,706,185194,47958
X,707,160877,45281
X,707,159549,55446
X,708,183556,59046
X,708,116718,59396
X,709,4294966488,22243
X,709,125747,29339
X,710,242724,33463
X,711,145523,55896
X,711,103250,18228
X,712,193227,3207
X,712,149034,24401
X,713,53489,25675
X,713,411,14360
X,714,52914,52875
X,715,91945,59022
X,715,27925,45988
X,716,3614,33726
P,716,5216
X,716,4294964277,2614
X,717,4294966946,1972
X,717,1329,1659
X,718,2404,2472
X,719,4348,712
X,719,4686,364
X,720,5093,464
X,720,5557,596
X,721,5788,428
O,721,5706,318
O,722,4294952443,40203
O,722,4294955124,8261
O,723,4294952819,417
O,724,4294952476,548
O,724,4294951896,463
O,724,4294931115,47839
O,724,4294948311,709
O,725,4294947717,357
O,725,4294947219,517
O,726,4294946494,571
O,727,4294946272,533
O,727,4294945457,855
O,728,4294944840,465
O,728,4294944563,139
O,729,4294944321,624
O,729,4294943735,412
O,730,4294943616,709
O,731,4294943043,170
O,731,4294943104,131
O,732,4294943166,191
O,732,4294943215,204
O,733,4294943234,172
O,733,4294943165,168
O,734,4294943077,114
O,735,4294942953,736
O,735,4294942459,544
O,736,4294941892,217
O,736,4294941873,104
O,737,4294941915,135
O,737,4294941933,123
O,738,4294941922,162
O,738,4294940810,1767
O,739,4294940371,277
O,740,4294940031,244
O,740,4294940187,135
O,741,4294940245,131
O,741,4294940317,323
O,742,4294940319,316
O,742,4294940014,713
O,743,4294939689,166
O,744,4294939770,272
O,744,4294939862,139
O,745,4294938867,1897
P,745,5214
O,745,4294938890,959
O,746,4294939143,928
O,746,4294939130,1068
O,747,4294939147,329
O,748,4294939253,294
O,748,4294939336,169
O,749,4294939368,126
O,749,4294939425,199
O,750,4294939489,201
O,750,4294939520,139
O,751,4294939590,272
O,752,4294939641,243
O,752,4294939668,515
O,753,4294939518,469
O,753,4294938767,220
O,754,4294938897,105
O,754,4294938975,99
O,755,4294938149,1708
O,755,4294937025,605
O,756,4294935946,848
O,757,4294935430,260
O,757,4294935228,165
O,758,4294935380,226
O,758,4294935481,181
O,759,4294935420,207
O,759,4294934924,495
O,760,4294934889,138
O,761,4294934495,441
O,761,4294934636,363
O,762,4294934908,891
O,762,4294936802,2480
O,763,4294936461,1740
O,763,4294934783,947
O,764,4294934478,227
O,765,4294934490,489
O,765,4294933985,376
O,765,4294933713,605
O,765,4294933013,306
