H,1551070414,481663
P,1551070414,5106
P,1551070444,5107
P,1551070473,5106
P,1551070503,5106
P,1551070532,5107
P,1551070561,5108
P,1551070590,5106
P,1551070620,5107
P,1551070649,5105
P,1551070678,5106
P,1551070708,5107
P,1551070739,5106
P,1551070768,5107
P,1551070797,5105
P,1551070827,5106
P,1551070856,5107
P,1551070885,5105
P,1551070915,5107
P,1551070944,5107
P,1551070973,5106
P,1551071002,5106
P,1551071033,5106
P,1551071062,5107
P,1551071091,5107
P,1551071121,5106
P,1551071150,5106
P,1551071179,5106
P,1551071208,5107
P,1551071238,5105
P,1551071267,5106
P,1551071296,5107
P,1551071327,5107
P,1551071356,5106
P,1551071385,5106
P,1551071414,5106
P,1551071444,5106
P,1551071473,5106
P,1551071502,5106
P,1551071532,5106
P,1551071561,5106
P,1551071590,5105
P,1551071620,5106
P,1551071650,5107
P,1551071679,5107
P,1551071708,5106
P,1551071738,5106
P,1551071767,5106
P,1551071796,5107
P,1551071825,5106
P,1551071855,5106
P,1551071884,5106
P,1551071914,5105
O,1551071939,485315,3105
O,1551071940,485518,135
O,1551071940,485538,100
O,1551071941,485555,117
O,1551071941,485542,156
O,1551071942,485543,121
O,1551071942,485525,150
O,1551071943,485537,99
O,1551071943,485516,120
P,1551071943,5100
O,1551071943,485543,142
O,1551071944,485588,105
O,1551071944,485591,83
O,1551071945,485597,121
O,1551071945,485611,130
O,1551071946,485578,149
O,1551071947,485585,102
O,1551071947,485464,136
O,1551071948,485499,87
O,1551071948,485509,186
O,1551071949,485506,136
O,1551071949,485545,180
O,1551071950,485512,166
O,1551071951,485478,152
O,1551071951,485532,100
O,1551071952,485466,181
O,1551071952,485511,177
O,1551071953,485493,169
O,1551071953,485480,161
O,1551071954,485535,146
O,1551071955,485526,117
O,1551071955,485492,162
O,1551071956,485457,193
O,1551071956,485353,325
O,1551071957,485573,99
O,1551071957,485420,161
O,1551071958,485456,178
O,1551071958,485458,176
O,1551071959,485404,259
O,1551071960,485509,207
O,1551071960,485525,167
O,1551071961,485522,118
O,1551071961,485538,192
O,1551071962,485457,145
O,1551071962,485527,162
O,1551071963,485457,151
O,1551071964,485403,121
O,1551071964,485464,155
O,1551071965,485459,157
O,1551071965,485448,119
O,1551071966,485519,137
O,1551071966,485495,158
O,1551071967,485532,92
O,1551071968,485543,120
O,1551071968,485508,215
O,1551071969,485547,130
O,1551071969,485525,112
O,1551071970,485551,94
O,1551071970,485538,225
O,1551071971,485567,125
O,1551071972,485610,129
O,1551071972,485546,145
O,1551071973,485605,173
P,1551071973,5096
O,1551071973,485622,119
O,1551071974,485608,96
O,1551071974,485634,114
O,1551071975,485633,87
O,1551071975,485594,101
O,1551071976,485606,132
O,1551071977,485575,166
O,1551071977,485579,105
O,1551071978,485568,121
O,1551071978,485664,225
O,1551071979,485688,139
O,1551071979,485656,142
O,1551071980,485606,142
O,1551071981,485635,190
O,1551071981,485608,65
O,1551071982,485641,90
O,1551071982,485621,147
O,1551071983,485622,153
O,1551071983,485582,136
O,1551071984,485581,129
O,1551071984,485579,139
O,1551071984,485578,138
O,1551071985,485582,97
O,1551071985,485588,174
O,1551071986,485602,139
O,1551071986,485594,106
O,1551071987,485572,84
O,1551071987,485578,143
O,1551071988,485595,140
O,1551071989,485579,199
O,1551071989,485569,142
O,1551071990,485588,168
O,1551071990,485611,134
O,1551071991,485620,131
O,1551071991,485589,83
O,1551071992,485604,181
O,1551071993,485603,219
O,1551071993,485631,164
O,1551071994,485608,87
T,1551071994,2727
P,1551072002,5106
P,1551072031,5106
P,1551072061,5106
P,1551072090,5106
P,1551072119,5106
P,1551072148,5106
P,1551072178,5106
P,1551072208,5106
P,1551072237,5106
P,1551072267,5106
P,1551072296,5106
P,1551072325,5105
P,1551072354,5106
P,1551072384,5106
P,1551072413,5105
P,1551072442,5106
P,1551072472,5105
P,1551072502,5106
P,1551072531,5106
P,1551072560,5105
P,1551072590,5106
P,1551072619,5105
P,1551072648,5106
P,1551072678,5106
P,1551072707,5105
P,1551072736,5106
P,1551072765,5105
P,1551072796,5106
P,1551072825,5105
P,1551072854,5107
P,1551072884,5106
P,1551072913,5106
P,1551072942,5104
P,1551072971,5107
P,1551073001,5105
P,1551073030,5104
P,1551073059,5106
P,1551073090,5106
P,1551073119,5105
P,1551073148,5106
P,1551073177,5106
P,1551073207,5106
P,1551073236,5106
P,1551073265,5106
P,1551073295,5105
P,1551073324,5105
P,1551073354,5105
P,1551073384,5105
P,1551073414,5104
