H,1550721844,652354
P,1550721844,5136
P,1550721874,5135
P,1550721904,5132
P,1550721933,5135
P,1550721963,5134
P,1550721992,5135
P,1550722021,5136
P,1550722050,5135
P,1550722080,5134
P,1550722109,5132
P,1550722138,5135
P,1550722168,5134
P,1550722198,5136
P,1550722227,5133
P,1550722256,5133
P,1550722286,5135
P,1550722315,5135
P,1550722345,5135
P,1550722375,5136
P,1550722404,5134
P,1550722433,5133
P,1550722462,5133
P,1550722493,5132
P,1550722522,5134
P,1550722551,5133
P,1550722581,5134
P,1550722610,5133
P,1550722639,5135
P,1550722668,5135
P,1550722698,5133
P,1550722727,5132
P,1550722756,5136
P,1550722787,5135
P,1550722816,5135
P,1550722845,5136
P,1550722874,5133
P,1550722904,5133
P,1550722933,5135
P,1550722962,5136
P,1550722992,5134
P,1550723021,5133
P,1550723050,5133
P,1550723080,5132
P,1550723110,5135
P,1550723139,5134
P,1550723168,5135
P,1550723197,5135
P,1550723227,5133
P,1550723256,5135
P,1550723285,5135
P,1550723315,5135
P,1550723344,5133
P,1550723374,5136
P,1550723403,5134
P,1550723433,5135
P,1550723462,5132
P,1550723491,5134
P,1550723521,5133
P,1550723550,5135
P,1550723579,5133
P,1550723608,5136
P,1550723638,5132
P,1550723668,5132
P,1550723697,5133
P,1550723727,5131
P,1550723756,5133
P,1550723785,5135
P,1550723814,5135
P,1550723844,5136
O,1550723856,642736,4089
O,1550723857,643179,91
O,1550723857,643152,110
O,1550723858,643158,119
O,1550723858,643140,144
O,1550723859,643154,124
O,1550723860,643170,89
O,1550723860,643152,144
O,1550723861,643178,121
O,1550723861,643171,110
O,1550723862,643184,145
O,1550723862,643175,126
O,1550723863,643188,92
O,1550723864,643163,107
O,1550723864,643161,131
O,1550723865,643144,105
O,1550723865,643185,70
O,1550723866,643175,130
O,1550723866,643179,223
O,1550723867,643159,155
O,1550723868,643158,159
O,1550723868,643168,149
O,1550723869,643156,108
O,1550723869,643183,128
O,1550723870,643159,83
O,1550723870,643164,214
O,1550723871,643155,187
O,1550723871,643164,151
O,1550723872,643161,140
O,1550723873,643145,127
O,1550723873,643157,247
P,1550723873,5123
O,1550723874,643143,95
O,1550723874,643162,172
O,1550723875,643166,117
O,1550723875,643162,164
O,1550723876,643168,123
O,1550723877,643157,118
O,1550723877,643147,193
O,1550723878,643167,114
O,1550723878,643141,125
O,1550723879,643160,94
O,1550723879,643156,74
O,1550723880,643176,177
O,1550723881,643170,123
O,1550723881,643168,74
O,1550723882,643148,111
O,1550723882,643161,103
O,1550723883,643149,191
O,1550723883,643162,193
O,1550723884,643154,158
O,1550723885,643181,268
O,1550723885,643162,292
O,1550723886,643142,247
O,1550723886,643150,296
O,1550723887,643172,292
O,1550723887,643172,264
O,1550723888,643210,257
O,1550723888,643220,336
O,1550723889,643144,755
O,1550723890,643197,611
O,1550723890,643157,640
O,1550723891,643125,887
O,1550723891,643235,645
O,1550723892,643145,510
O,1550723892,643188,411
O,1550723893,643171,607
O,1550723894,643212,718
O,1550723894,643151,429
O,1550723894,643154,219
O,1550723894,643197,261
O,1550723895,643170,252
O,1550723895,643174,257
O,1550723896,643181,165
O,1550723897,643201,135
O,1550723897,643180,123
O,1550723898,643188,136
O,1550723898,643176,129
O,1550723899,643178,188
O,1550723899,643187,98
O,1550723900,643196,50
O,1550723901,643172,178
O,1550723901,643172,119
O,1550723902,643194,86
O,1550723902,643181,146
P,1550723902,5125
O,1550723903,643197,85
O,1550723903,643179,76
O,1550723904,643174,104
O,1550723904,643170,96
O,1550723905,643178,187
O,1550723906,643145,87
O,1550723906,643168,115
O,1550723907,643164,168
O,1550723907,643159,136
O,1550723908,643156,286
O,1550723908,643169,150
O,1550723909,643169,136
O,1550723910,643160,217
O,1550723910,643189,209
O,1550723911,643158,289
O,1550723911,643176,140
O,1550723912,643170,201
T,1550723912,2721
P,1550723932,5132
P,1550723962,5135
P,1550723991,5132
P,1550724020,5133
P,1550724050,5132
P,1550724079,5134
P,1550724108,5133
P,1550724138,5132
P,1550724167,5135
P,1550724196,5133
P,1550724225,5134
P,1550724256,5130
P,1550724285,5134
P,1550724314,5131
P,1550724344,5130
P,1550724373,5135
P,1550724402,5136
P,1550724431,5134
P,1550724461,5132
P,1550724490,5135
P,1550724519,5132
P,1550724550,5134
P,1550724579,5134
P,1550724608,5133
P,1550724637,5132
P,1550724667,5131
P,1550724696,5135
P,1550724725,5134
P,1550724755,5133
P,1550724784,5135
