H,1549080245,328878
P,1549080245,5106
P,1549080274,5105
P,1549080303,5104
P,1549080333,5106
P,1549080362,5104
P,1549080391,5105
P,1549080421,5105
P,1549080450,5104
P,1549080480,5105
P,1549080509,5105
P,1549080539,5105
P,1549080568,5106
P,1549080597,5104
P,1549080627,5104
P,1549080656,5105
P,1549080685,5104
P,1549080714,5105
P,1549080744,5104
P,1549080774,5105
P,1549080803,5104
P,1549080833,5106
P,1549080862,5104
P,1549080891,5105
P,1549080920,5106
P,1549080950,5105
P,1549080980,5104
P,1549081009,5105
P,1549081039,5104
P,1549081069,5105
P,1549081098,5104
P,1549081127,5105
P,1549081157,5105
P,1549081186,5106
P,1549081215,5105
P,1549081245,5105
P,1549081274,5105
P,1549081303,5103
P,1549081332,5104
P,1549081363,5104
P,1549081392,5106
P,1549081421,5104
P,1549081451,5104
P,1549081480,5105
P,1549081509,5106
P,1549081538,5104
P,1549081568,5106
P,1549081597,5106
P,1549081626,5104
P,1549081656,5104
P,1549081686,5106
P,1549081715,5105
P,1549081744,5105
P,1549081774,5106
P,1549081803,5106
O,1549081812,336490,2174
O,1549081812,336693,199
O,1549081813,336756,219
O,1549081813,336751,197
O,1549081814,336749,89
O,1549081815,336648,145
O,1549081815,336698,173
O,1549081816,336391,239
O,1549081816,336576,343
O,1549081817,336460,316
O,1549081817,336425,349
O,1549081818,336788,600
O,1549081819,336504,421
O,1549081819,336622,213
O,1549081820,336789,178
O,1549081820,336768,65
O,1549081820,336875,150
O,1549081820,336851,212
O,1549081821,336807,205
O,1549081821,336786,209
O,1549081822,336777,71
O,1549081823,336639,274
O,1549081823,336539,149
O,1549081824,336518,160
O,1549081824,336516,168
O,1549081825,336478,165
O,1549081825,336407,131
O,1549081826,336524,208
O,1549081827,336704,134
O,1549081827,336694,106
O,1549081828,336714,172
O,1549081828,336789,102
O,1549081829,336803,182
O,1549081829,336901,151
O,1549081830,336918,76
O,1549081831,336928,118
O,1549081831,336933,190
O,1549081832,336981,144
P,1549081832,5096
O,1549081832,336907,59
O,1549081833,336860,73
O,1549081833,336860,136
O,1549081834,336797,97
O,1549081835,336782,136
O,1549081835,336755,82
O,1549081836,336734,88
O,1549081836,336746,124
O,1549081837,336777,93
O,1549081837,336820,125
O,1549081838,336754,157
O,1549081839,336707,127
O,1549081839,336598,118
O,1549081840,336652,179
O,1549081840,336625,157
O,1549081841,336694,113
O,1549081841,336636,121
O,1549081842,336711,81
O,1549081842,336759,177
O,1549081843,336677,373
O,1549081844,336713,240
O,1549081844,336843,181
O,1549081845,336592,427
O,1549081845,335936,239
O,1549081846,336227,1192
O,1549081846,335971,614
O,1549081847,336253,557
O,1549081848,336346,825
O,1549081848,335669,571
O,1549081849,335957,967
O,1549081849,336382,218
O,1549081850,336277,307
O,1549081850,336444,276
O,1549081851,336357,176
O,1549081852,336254,143
O,1549081852,336468,254
O,1549081853,336627,166
O,1549081853,336794,188
O,1549081854,336996,102
O,1549081854,336928,179
O,1549081855,336869,217
O,1549081856,336849,128
O,1549081856,336757,206
O,1549081857,336862,99
O,1549081857,336769,149
O,1549081858,336761,376
O,1549081858,336822,451
O,1549081859,336695,250
O,1549081859,336867,275
O,1549081860,336985,180
O,1549081861,336801,105
O,1549081861,336778,141
O,1549081861,336793,99
P,1549081861,5097
O,1549081861,336817,148
O,1549081862,336726,109
O,1549081862,336723,135
O,1549081863,336701,90
O,1549081864,336708,96
O,1549081864,336752,124
O,1549081865,336702,103
O,1549081865,336671,86
O,1549081866,336650,67
O,1549081866,336671,108
T,1549081867,2732
P,1549081891,5105
P,1549081920,5105
P,1549081950,5105
P,1549081980,5105
P,1549082009,5105
P,1549082038,5104
P,1549082067,5104
P,1549082097,5105
P,1549082126,5106
P,1549082155,5105
P,1549082185,5105
P,1549082214,5106
P,1549082244,5105
P,1549082273,5102
P,1549082303,5105
P,1549082332,5106
P,1549082361,5105
P,1549082391,5106
P,1549082420,5106
P,1549082449,5106
P,1549082478,5105
P,1549082508,5104
P,1549082538,5103
P,1549082567,5105
P,1549082597,5106
P,1549082626,5104
P,1549082655,5106
P,1549082684,5106
P,1549082714,5105
P,1549082743,5106
P,1549082772,5106
P,1549082802,5103
P,1549082832,5105
P,1549082861,5106
P,1549082890,5105
P,1549082920,5105
P,1549082949,5106
P,1549082978,5105
P,1549083008,5102
P,1549083037,5104
P,1549083066,5106
P,1549083095,5105
P,1549083126,5105
P,1549083155,5105
P,1549083184,5105
