H,1549765450,328878
P,1549765450,5115
P,1549765480,5114
P,1549765509,5115
P,1549765538,5114
P,1549765567,5114
P,1549765597,5114
P,1549765626,5114
P,1549765656,5114
P,1549765686,5114
P,1549765715,5114
P,1549765744,5114
P,1549765773,5115
P,1549765803,5114
P,1549765832,5114
P,1549765861,5115
P,1549765891,5115
P,1549765920,5115
P,1549765950,5114
P,1549765979,5114
P,1549766009,5114
P,1549766038,5114
P,1549766067,5114
P,1549766097,5114
P,1549766126,5113
P,1549766155,5114
P,1549766184,5114
P,1549766214,5114
P,1549766244,5115
P,1549766273,5115
P,1549766303,5115
P,1549766332,5114
P,1549766361,5114
P,1549766390,5114
P,1549766420,5113
P,1549766449,5113
P,1549766478,5114
P,1549766508,5113
P,1549766538,5114
P,1549766567,5114
P,1549766596,5115
P,1549766626,5115
P,1549766655,5115
P,1549766684,5115
P,1549766714,5115
P,1549766743,5115
P,1549766772,5114
P,1549766801,5114
P,1549766832,5114
P,1549766861,5115
P,1549766890,5115
P,1549766919,5114
P,1549766949,5115
P,1549766978,5116
P,1549767007,5114
P,1549767037,5116
P,1549767066,5113
P,1549767095,5115
O,1549767105,314634,2072
O,1549767106,315145,422
O,1549767106,315188,244
O,1549767107,315256,196
O,1549767107,315334,254
O,1549767108,315327,92
O,1549767108,315312,111
O,1549767109,315397,145
O,1549767110,315387,127
O,1549767110,315405,122
O,1549767111,315462,129
O,1549767111,315456,118
O,1549767112,315507,155
O,1549767112,315443,108
O,1549767113,315475,136
O,1549767113,315304,285
O,1549767114,315135,417
O,1549767115,315099,345
O,1549767115,315061,350
O,1549767116,315098,211
O,1549767116,315159,166
O,1549767117,315047,420
O,1549767117,314998,231
O,1549767118,315202,257
O,1549767119,315118,286
O,1549767119,314920,258
O,1549767120,314845,690
O,1549767120,314798,562
O,1549767121,314883,888
O,1549767121,315237,286
O,1549767122,315251,208
O,1549767123,315028,217
O,1549767123,315038,487
O,1549767124,315402,437
O,1549767124,315243,261
O,1549767124,315492,440
O,1549767124,315660,364
P,1549767125,5108
O,1549767125,315702,330
O,1549767126,315976,285
O,1549767126,316169,552
O,1549767127,315838,789
O,1549767127,316225,325
O,1549767128,316055,687
O,1549767128,316102,284
O,1549767129,315752,1019
O,1549767130,315607,570
O,1549767130,315672,468
O,1549767131,315398,352
O,1549767131,315367,237
O,1549767132,315781,379
O,1549767132,315596,366
O,1549767133,315778,354
O,1549767133,315600,529
O,1549767134,315709,488
O,1549767135,315930,446
O,1549767135,316337,1073
O,1549767136,316494,590
O,1549767136,316342,461
O,1549767137,316218,382
O,1549767137,315871,224
O,1549767138,315478,772
O,1549767139,315505,370
O,1549767139,315569,641
O,1549767140,315676,1106
O,1549767140,315401,862
O,1549767141,315253,697
O,1549767141,315438,561
O,1549767142,315483,262
O,1549767143,315501,422
O,1549767143,315590,255
O,1549767144,315556,172
O,1549767144,315525,221
O,1549767145,315486,429
O,1549767145,315196,441
O,1549767146,315285,544
O,1549767147,315338,451
O,1549767147,315233,310
O,1549767148,315473,402
O,1549767148,314816,371
O,1549767149,315141,313
O,1549767149,315349,619
O,1549767150,314811,724
O,1549767150,314994,340
O,1549767151,314710,498
O,1549767152,314801,320
O,1549767152,315135,445
O,1549767153,315160,245
O,1549767153,315346,520
O,1549767154,315164,398
O,1549767154,315259,402
P,1549767155,5107
O,1549767155,315390,272
O,1549767156,315368,469
O,1549767156,315364,379
O,1549767157,315335,351
O,1549767157,315355,306
O,1549767158,315448,235
O,1549767158,315445,190
O,1549767159,315403,163
O,1549767160,315521,280
O,1549767160,315557,296
O,1549767161,315455,256
T,1549767161,2797
P,1549767184,5114
P,1549767213,5115
P,1549767243,5115
P,1549767272,5114
P,1549767301,5115
P,1549767330,5114
P,1549767360,5114
P,1549767389,5113
P,1549767419,5114
P,1549767449,5115
P,1549767478,5113
P,1549767507,5115
P,1549767536,5114
P,1549767566,5114
P,1549767595,5115
P,1549767624,5114
P,1549767654,5114
P,1549767683,5115
P,1549767713,5115
P,1549767742,5115
P,1549767772,5114
P,1549767801,5114
P,1549767830,5114
P,1549767860,5113
P,1549767889,5114
P,1549767918,5113
P,1549767948,5114
P,1549767978,5115
P,1549768008,5116
P,1549768037,5114
P,1549768067,5115
P,1549768096,5114
P,1549768125,5114
P,1549768154,5113
P,1549768184,5115
P,1549768213,5114
P,1549768242,5114
P,1549768272,5115
P,1549768302,5114
P,1549768331,5115
P,1549768360,5115
P,1549768390,5113
