H,1558136431,364729
P,1558136431,5612
P,1558136460,5602
P,1558136490,5611
P,1558136520,5612
P,1558136549,5612
P,1558136578,5614
P,1558136607,5613
P,1558136637,5611
P,1558136666,5613
P,1558136695,5613
P,1558136725,5612
P,1558136754,5613
P,1558136784,5612
P,1558136813,5610
P,1558136843,5612
P,1558136872,5613
P,1558136901,5611
P,1558136931,5611
D,1558136946,474624
R,1558136946,5C00DDFC36
R,1558136946,5C00DDFC36
R,1558136946,5C00DDFC36
X,1558136948,713260,26312
X,1558136949,715352,12961
X,1558136949,716059,5820
X,1558136950,715849,2766
X,1558136950,715990,2179
X,1558136951,715994,2066
X,1558136951,716210,2302
X,1558136952,716156,1619
X,1558136953,716056,1906
X,1558136953,716055,1776
X,1558136954,715629,16528
X,1558136954,716154,8292
X,1558136955,715955,13977
X,1558136955,716387,2836
X,1558136956,716251,2680
X,1558136956,716071,13990
X,1558136957,716279,1971
X,1558136958,716149,1888
X,1558136958,716279,1619
X,1558136959,716336,879
X,1558136959,716474,1581
X,1558136960,716283,1884
P,1558136960,5605
X,1558136960,716148,2068
X,1558136961,716147,1592
X,1558136962,715210,13518
X,1558136962,716957,6183
X,1558136963,716313,9578
X,1558136963,716347,1260
X,1558136964,716414,1065
X,1558136964,716307,1115
X,1558136965,716329,1147
X,1558136966,716312,1712
X,1558136966,716396,1503
X,1558136967,716316,1780
X,1558136967,716324,1452
X,1558136968,716401,16972
X,1558136968,712341,40397
X,1558136969,623355,47162
X,1558136970,379000,5574
X,1558136970,382569,1998
X,1558136971,380863,1048
X,1558136971,381179,633
X,1558136972,381360,274
X,1558136972,381079,162
X,1558136973,381135,159
X,1558136973,381162,149
X,1558136973,381093,122
X,1558136974,381085,197
X,1558136974,381079,207
O,1558136975,381043,109
O,1558136975,380989,165
O,1558136976,381018,141
O,1558136976,380978,92
O,1558136977,380955,100
O,1558136978,380990,113
O,1558136978,380950,105
O,1558136979,380928,179
O,1558136979,380910,103
O,1558136980,380918,126
O,1558136980,380889,81
O,1558136981,380907,109
O,1558136982,380888,80
O,1558136982,380895,110
O,1558136983,380856,118
O,1558136983,380844,141
O,1558136984,380877,144
O,1558136984,380851,133
O,1558136985,380851,72
O,1558136986,380828,114
O,1558136986,380837,124
O,1558136987,380807,131
O,1558136987,380822,110
O,1558136988,380812,124
O,1558136988,380818,75
O,1558136989,380807,82
P,1558136989,5604
O,1558136989,380781,103
O,1558136990,380765,71
O,1558136991,380765,74
O,1558136991,380757,98
O,1558136992,380771,96
O,1558136992,380754,103
O,1558136993,380762,134
O,1558136993,380752,117
O,1558136994,380758,82
O,1558136995,380752,281
O,1558136995,380742,159
O,1558136996,380720,80
O,1558136996,380722,108
O,1558136997,380723,100
O,1558136997,380729,129
O,1558136998,380720,121
O,1558136999,380714,80
O,1558136999,380711,64
O,1558137000,380716,39
O,1558137000,380721,77
O,1558137001,380711,106
O,1558137001,380694,91
O,1558137002,380730,106
O,1558137003,380719,118
O,1558137003,380722,78
O,1558137004,380719,132
O,1558137004,380693,88
O,1558137005,380716,109
O,1558137005,380694,134
O,1558137006,380703,108
O,1558137006,380704,112
O,1558137007,380669,227
O,1558137008,380690,177
O,1558137008,380719,183
O,1558137009,380647,990
O,1558137009,380631,377
O,1558137010,380622,105
O,1558137010,380605,137
O,1558137011,380593,163
O,1558137012,380617,189
O,1558137012,788758,56219
T,1558137012,2829
D,1558137013,473600
R,1558137014,5C00DDFC36
R,1558137014,5C00DDFC36
R,1558137014,5C00DDFC36
X,1558137014,715981,5532
X,1558137015,716762,15582
X,1558137015,716584,5423
X,1558137016,716531,7857
X,1558137017,716487,2163
X,1558137017,716437,2169
X,1558137018,716583,1333
X,1558137018,716642,1307
P,1558137018,5604
X,1558137019,716537,1182
X,1558137019,716446,2580
X,1558137020,716797,6275
X,1558137021,716243,2115
X,1558137021,716533,38124
X,1558137022,713777,2920
X,1558137022,718790,40706
X,1558137023,717839,52804
X,1558137023,716232,24416
X,1558137024,716654,5619
X,1558137024,716307,4456
X,1558137025,715867,8064
X,1558137026,716725,4477
X,1558137026,715877,9556
X,1558137027,716458,3543
X,1558137027,716439,2078
X,1558137028,717135,4683
X,1558137028,715986,3577
X,1558137029,716614,3468
X,1558137030,717130,6874
X,1558137030,716394,1693
X,1558137031,716469,1812
X,1558137031,717349,64192
X,1558137032,716903,10365
