72,712561,1530
X,1558490072,712413,1071
X,1558490073,712509,1020
X,1558490074,712452,1180
X,1558490074,712269,1485
X,1558490075,712370,1452
X,1558490075,712359,1150
X,1558490076,712410,929
X,1558490076,712450,1103
X,1558490077,712401,1123
X,1558490078,712447,1733
X,1558490078,712384,2000
X,1558490079,712428,1211
X,1558490079,712382,1041
X,1558490080,712301,1380
X,1558490080,712454,1962
X,1558490081,712232,1153
X,1558490082,712247,1095
X,1558490082,712233,1606
X,1558490083,712189,1267
X,1558490083,712262,2144
X,1558490084,712139,1063
X,1558490084,712033,968
X,1558490085,712095,1314
P,1558490085,5467
X,1558490085,712210,1213
X,1558490086,712218,2197
X,1558490087,712101,1422
X,1558490087,712124,1490
X,1558490088,712113,892
X,1558490088,712078,1162
X,1558490089,712053,1950
X,1558490089,712088,1123
X,1558490090,712030,857
X,1558490091,711996,1122
X,1558490091,711993,1570
X,1558490092,712085,1511
X,1558490092,712087,2096
X,1558490092,712001,863
X,1558490092,712051,1036
X,1558490093,712052,1361
X,1558490094,711991,1344
X,1558490094,711998,2552
X,1558490095,712030,1382
X,1558490095,711941,666
A,1558490095,712494,1045
T,1558490095,2838
U,1558490096,64566
X,1558490097,712184,2235
X,1558490098,711959,1308
X,1558490098,711981,730
X,1558490099,711954,1386
X,1558490099,711908,1300
X,1558490100,712013,1972
X,1558490101,711934,854
X,1558490101,711814,1355
X,1558490102,711924,1180
X,1558490102,711917,748
X,1558490103,711710,769
X,1558490103,711827,3021
X,1558490104,711826,3634
X,1558490105,711636,18653
X,1558490105,711870,4867
X,1558490106,712194,2457
X,1558490106,711778,5234
X,1558490107,711946,1269
X,1558490107,711922,1028
X,1558490108,711959,1365
X,1558490109,711917,1336
X,1558490109,711884,1094
X,1558490110,711877,1075
X,1558490110,711893,1427
X,1558490111,711944,2046
X,1558490111,711940,1108
X,1558490112,711857,1408
X,1558490112,711886,698
X,1558490113,711766,1291
X,1558490114,711913,2064
P,1558490114,5470
X,1558490114,711923,1096
X,1558490115,711887,454
X,1558490115,711867,1519
X,1558490116,711885,1474
X,1558490116,712020,1783
X,1558490117,711976,880
X,1558490118,711824,1036
X,1558490118,711974,737
X,1558490119,711826,1320
X,1558490119,711902,874
X,1558490120,711922,1232
X,1558490120,711822,1331
X,1558490121,711909,1610
X,1558490122,711945,2588
X,1558490122,711920,1238
X,1558490123,712011,1128
X,1558490123,712105,2107
X,1558490124,711873,1680
X,1558490124,712033,1246
X,1558490125,711964,1234
X,1558490126,712051,1160
X,1558490126,712089,820
X,1558490127,712128,1264
X,1558490127,712100,2372
X,1558490128,712028,1300
X,1558490128,712112,1194
X,1558490129,712135,1043
X,1558490129,712125,1465
X,1558490130,712373,1523
X,1558490131,712335,674
X,1558490131,712201,14961
X,1558490132,712296,1662
X,1558490132,712228,1249
X,1558490133,712269,1291
X,1558490133,712084,761
X,1558490133,712026,919
X,1558490134,711978,361
X,1558490134,711921,1253
X,1558490135,711930,1796
X,1558490135,711816,1083
X,1558490136,711732,1123
X,1558490136,711753,670
X,1558490137,711788,603
X,1558490138,711846,1620
X,1558490138,711785,1388
X,1558490139,711786,855
X,1558490139,711704,1095
X,1558490140,711746,1387
X,1558490140,711843,1482
X,1558490141,711810,1707
X,1558490142,711817,4807
X,1558490142,711833,769
X,1558490143,711738,1685
P,1558490143,5470
X,1558490143,711799,1429
X,1558490144,711770,1231
X,1558490144,711720,802
X,1558490145,711754,1005
X,1558490145,711709,1634
X,1558490146,711764,2335
X,1558490147,711811,1403
X,1558490147,711700,514
A,1558490147,711912,635
T,1558490147,2838
U,1558490148,64566
X,1558490149,711847,15647
X,1558490150,711841,1908
X,1558490150,711722,1938
X,1558490151,711747,1561
X,1558490151,711728,1927
X,1558490152,711697,952
X,1558490153,711656,1119
X,1558490153,711754,1401
X,1558490154,711662,24569
X,1558490154,711670,1461
X,1558490155,711686,1143
X,1558490155,711649,1093
X,1558490156,711656,791
X,1558490156,711676,1664
X,1558490157,711667,1222
X,1558490158,711742,1128
X,1558490158,711685,1269
X,1558490159,711628,1181
X,1558490159,711712,1363
