H,1559183432,364729
P,1559183432,5332
P,1559183461,5332
P,1559183491,5332
P,1559183520,5332
P,1559183549,5331
P,1559183578,5331
P,1559183608,5331
P,1559183638,5332
P,1559183667,5331
P,1559183697,5332
P,1559183726,5333
P,1559183755,5332
P,1559183784,5332
P,1559183814,5332
P,1559183843,5332
P,1559183872,5333
P,1559183902,5333
P,1559183932,5331
P,1559183961,5332
P,1559183990,5331
P,1559184020,5332
P,1559184049,5332
P,1559184078,5333
P,1559184108,5332
P,1559184137,5331
P,1559184166,5332
P,1559184195,5333
P,1559184226,5332
P,1559184255,5332
P,1559184284,5329
P,1559184314,5331
P,1559184343,5331
P,1559184372,5333
P,1559184401,5334
P,1559184431,5332
P,1559184460,5333
P,1559184489,5332
P,1559184519,5333
P,1559184549,5332
P,1559184578,5332
P,1559184607,5331
D,1559184623,476672
R,1559184623,5C00DDFC36
R,1559184623,5C00DDFC36
R,1559184623,5C00DDFC36
X,1559184624,379355,5972
X,1559184625,378917,1854
X,1559184625,378583,1360
X,1559184626,378804,533
X,1559184627,378822,295
X,1559184627,378754,314
X,1559184628,378752,246
X,1559184628,378835,162
X,1559184629,378804,214
X,1559184629,378758,112
X,1559184630,378739,121
O,1559184631,378715,175
O,1559184631,378728,137
O,1559184632,378751,172
O,1559184632,378770,156
O,1559184633,378739,108
O,1559184633,378714,104
O,1559184634,378701,107
O,1559184635,378734,181
O,1559184635,378740,233
O,1559184636,378720,119
O,1559184636,378773,116
O,1559184637,378763,200
P,1559184637,5327
O,1559184637,378759,190
O,1559184638,378673,217
O,1559184639,378634,222
O,1559184639,378631,159
O,1559184640,378645,301
O,1559184640,378643,250
O,1559184641,378696,197
O,1559184641,378826,272
O,1559184642,378819,83
O,1559184642,378733,129
O,1559184642,378722,119
O,1559184643,378776,126
O,1559184643,378904,487
O,1559184644,378863,118
O,1559184644,378830,551
O,1559184645,378775,175
O,1559184645,378689,173
O,1559184646,378625,112
O,1559184647,378599,235
O,1559184647,378537,283
O,1559184648,378534,199
O,1559184648,378562,257
O,1559184649,378562,272
O,1559184649,378516,310
O,1559184650,378497,175
O,1559184651,378496,320
O,1559184651,378499,815
O,1559184652,378512,434
O,1559184652,480179,4574
T,1559184652,2803
D,1559184654,528640
R,1559184654,5C00DDFC36
R,1559184654,5C00DDFC36
R,1559184654,5C00DDFC36
X,1559184655,763091,7463
X,1559184656,764860,19522
X,1559184657,768059,5399
X,1559184657,768041,7354
X,1559184658,762249,22608
X,1559184658,565103,43974
X,1559184659,378537,6793
X,1559184659,379034,1717
X,1559184660,379036,652
X,1559184661,378921,652
X,1559184661,378777,292
X,1559184662,378755,189
X,1559184662,378696,188
X,1559184663,378652,152
X,1559184663,378700,157
X,1559184664,378681,70
X,1559184664,378661,106
O,1559184665,378652,85
O,1559184666,378616,109
P,1559184666,5325
O,1559184666,378601,151
O,1559184667,378595,137
O,1559184667,378600,161
O,1559184668,378585,136
O,1559184668,378558,51
O,1559184669,378577,117
O,1559184670,378555,158
O,1559184670,378558,105
O,1559184671,378533,45
O,1559184671,378524,85
O,1559184672,378492,108
O,1559184672,378507,100
O,1559184673,378494,77
O,1559184674,378484,78
O,1559184674,378481,88
O,1559184675,378493,147
O,1559184675,378483,149
O,1559184676,378483,153
O,1559184676,378477,95
O,1559184677,378482,64
O,1559184678,378492,157
O,1559184678,378486,95
O,1559184679,378476,103
O,1559184679,378500,130
O,1559184680,378506,122
O,1559184680,378491,125
O,1559184681,378482,95
O,1559184681,378484,114
O,1559184682,378474,81
O,1559184683,378485,116
O,1559184683,378502,124
O,1559184683,378486,58
O,1559184683,378446,83
O,1559184684,378467,83
O,1559184684,378453,108
O,1559184685,378450,56
O,1559184686,378434,123
O,1559184686,378438,102
O,1559184687,378423,96
O,1559184687,378434,74
O,1559184688,378425,131
O,1559184688,378461,137
O,1559184689,378444,76
O,1559184690,378441,104
O,1559184690,378454,110
O,1559184691,378422,108
O,1559184691,378405,120
O,1559184692,378392,95
O,1559184692,378403,81
O,1559184693,378381,110
O,1559184694,378360,103
O,1559184694,378363,69
O,1559184695,378403,116
P,1559184695,5323
O,1559184695,378419,99
O,1559184696,378405,83
O,1559184696,378441,85
O,1559184697,378466,66
O,1559184697,378465,79
O,1559184698,378456,73
O,1559184699,378439,129
O,1559184699,378456,121
