H,1559702074,364729
T,1559702074,2908
D,1559702085,498944
R,1559702085,5C00DDFC36
R,1559702085,5C00DDFC36
R,1559702085,5C00DDFC36
X,1559702087,759637,15099
X,1559702087,759151,12549
X,1559702088,760946,10488
X,1559702088,758641,18816
X,1559702089,759808,22068
X,1559702089,760550,3541
X,1559702090,760073,2785
X,1559702090,760389,3721
X,1559702091,760315,3665
X,1559702092,760381,3105
X,1559702092,760403,3413
X,1559702093,760348,3444
X,1559702093,760447,3109
X,1559702093,760342,1949
X,1559702093,760446,2314
X,1559702094,760563,2757
X,1559702095,760590,3062
P,1559702095,5285
X,1559702095,760686,6354
X,1559702096,760348,1640
X,1559702096,761694,52468
X,1559702097,755421,36810
X,1559702097,759669,43467
X,1559702098,762291,65172
X,1559702099,759347,6146
X,1559702099,759852,13686
X,1559702100,760273,4568
X,1559702100,760388,3365
X,1559702101,760540,5300
X,1559702101,760652,6322
X,1559702102,760129,3563
X,1559702103,760300,3277
X,1559702103,760051,3212
X,1559702104,760286,3581
X,1559702104,760059,4489
X,1559702105,760059,10450
X,1559702105,759776,4976
X,1559702106,760073,3545
X,1559702106,760237,2426
X,1559702107,759902,1739
X,1559702108,760065,2019
X,1559702108,759974,1544
X,1559702109,760287,3113
X,1559702109,759993,2794
X,1559702110,760355,1926
X,1559702110,760232,2420
X,1559702111,760265,2170
X,1559702112,760016,2035
X,1559702112,760396,1575
X,1559702113,760404,2727
X,1559702113,760185,2300
X,1559702114,760254,1642
X,1559702114,760141,3074
X,1559702115,760259,5038
X,1559702116,760148,3111
X,1559702116,761266,6406
X,1559702117,760844,2745
X,1559702117,760233,3732
X,1559702118,760547,4089
X,1559702118,760089,2705
X,1559702119,760713,4797
X,1559702120,759944,1586
X,1559702120,760124,5563
X,1559702121,760288,7633
X,1559702121,760199,2907
X,1559702122,759940,2132
X,1559702122,759991,2526
X,1559702123,760112,4679
X,1559702123,760185,4338
X,1559702124,760711,39443
X,1559702125,759859,5756
P,1559702125,5283
X,1559702125,760220,2959
X,1559702126,759944,1897
X,1559702126,760707,7457
X,1559702127,760652,17935
X,1559702127,760110,2779
X,1559702128,760156,2072
X,1559702129,760425,6008
X,1559702129,760518,2993
X,1559702130,760411,2767
X,1559702130,760282,3383
X,1559702131,760337,2869
X,1559702131,760500,4135
X,1559702132,760463,2642
X,1559702133,760593,1861
X,1559702133,760649,2258
X,1559702134,760800,3307
X,1559702134,760463,2110
X,1559702134,760646,2619
X,1559702134,760511,2148
X,1559702135,760314,4077
X,1559702136,760423,1736
X,1559702136,760582,2781
X,1559702137,760510,1918
X,1559702137,760434,2684
X,1559702138,761112,7534
X,1559702138,760561,3561
X,1559702139,760670,3980
X,1559702139,760540,1747
X,1559702140,760758,2183
X,1559702141,760375,1996
X,1559702141,760591,3663
X,1559702142,760265,1728
X,1559702142,760561,3993
X,1559702143,760512,2409
X,1559702143,760313,4296
X,1559702144,760362,3993
X,1559702145,760458,2703
X,1559702145,760487,3435
X,1559702146,759979,3931
X,1559702146,760801,1772
X,1559702147,760314,1135
X,1559702147,760606,2697
X,1559702148,760391,2236
X,1559702149,760625,3002
X,1559702149,760420,1745
X,1559702150,760518,994
X,1559702150,760309,1443
X,1559702151,760498,3067
X,1559702151,760477,2071
X,1559702152,760231,2157
X,1559702153,760470,2677
X,1559702153,760478,3014
X,1559702154,760456,5066
P,1559702154,5284
X,1559702154,760407,3299
X,1559702155,760239,6007
X,1559702155,760423,4705
X,1559702156,760421,1011
X,1559702156,760386,2059
X,1559702157,760415,7571
X,1559702158,760553,1562
X,1559702158,760520,1823
X,1559702159,760532,2393
X,1559702159,760319,1905
X,1559702160,760474,2746
X,1559702160,760262,2249
X,1559702161,760464,2996
X,1559702162,760148,1559
X,1559702162,760238,2133
X,1559702163,760212,1369
X,1559702163,760307,1608
X,1559702164,759626,3534
X,1559702164,754916,51035
X,1559702165,569624,52028
X,1559702166,375610,2602
X,1559702166,374938,2821
X,1559702167,375065,1698
X,1559702167,375031,1276
X,1559702168,375176,1048
X,1559702168,375181,978
X,1559702169,375115,808
X,1559702170,375149,727
X,1559702170,374965,725
X,1559702171,374781,570
X,1559702171,374698,591
O,1559702172,374791,821
O,1559702172,374711,757
O,1559702173,374639,710
O,1559702174,374641,662
O,1559702174,374683,515
O,1559702175,374673,363
O,1559702175,374701,775
O,1559702175,374601,812
O,1559702175,374567,552
