H,1560107787,364729
P,1560107787,5243
P,1560107816,5243
P,1560107845,5244
P,1560107875,5243
P,1560107905,5240
P,1560107934,5244
P,1560107963,5243
P,1560107993,5243
P,1560108022,5243
P,1560108051,5244
P,1560108080,5242
P,1560108110,5243
P,1560108139,5243
P,1560108168,5243
P,1560108199,5243
P,1560108228,5244
P,1560108257,5244
P,1560108286,5244
P,1560108316,5243
P,1560108345,5243
P,1560108374,5242
P,1560108404,5244
P,1560108433,5244
P,1560108462,5241
P,1560108492,5244
P,1560108522,5243
P,1560108551,5243
P,1560108580,5244
P,1560108610,5243
P,1560108639,5243
P,1560108668,5244
P,1560108697,5243
P,1560108727,5244
P,1560108757,5242
P,1560108787,5243
P,1560108817,5244
P,1560108846,5243
P,1560108875,5243
P,1560108904,5243
P,1560108934,5242
P,1560108963,5243
P,1560108992,5243
P,1560109022,5243
P,1560109051,5243
P,1560109081,5242
O,1560109090,378622,2653
O,1560109091,378780,457
O,1560109091,379452,359
O,1560109092,379459,607
O,1560109092,378941,658
O,1560109093,378792,602
O,1560109094,378836,283
O,1560109094,378834,415
O,1560109095,378954,199
O,1560109095,378885,270
O,1560109096,379017,205
O,1560109096,378962,123
O,1560109097,378933,162
O,1560109098,378949,201
O,1560109098,378642,236
O,1560109099,378497,324
O,1560109099,378264,330
O,1560109100,378128,175
O,1560109100,378048,246
O,1560109101,378267,187
O,1560109101,378022,382
O,1560109102,377687,537
O,1560109103,376623,1042
O,1560109103,376879,597
O,1560109104,377460,667
O,1560109104,377724,589
O,1560109105,377703,323
O,1560109105,376937,1211
O,1560109106,377617,818
O,1560109106,378477,504
O,1560109106,378794,374
O,1560109107,379090,316
O,1560109107,379589,400
O,1560109108,379892,232
O,1560109108,379871,220
O,1560109109,379972,337
O,1560109110,380519,287
P,1560109110,5238
O,1560109110,380196,247
O,1560109111,379847,509
O,1560109111,379533,156
O,1560109112,379247,372
O,1560109112,379262,137
O,1560109113,379256,176
O,1560109114,379119,581
O,1560109114,379706,403
O,1560109115,379895,270
O,1560109115,379537,515
O,1560109116,379181,335
O,1560109116,379322,163
O,1560109117,379349,248
O,1560109117,379418,189
O,1560109118,379313,117
O,1560109119,379470,235
O,1560109119,379287,341
O,1560109120,379321,170
O,1560109120,379506,131
O,1560109121,379829,603
O,1560109121,380344,199
O,1560109122,380281,189
O,1560109123,380407,488
O,1560109123,380509,244
O,1560109124,380413,1429
O,1560109124,379455,648
O,1560109125,379234,421
O,1560109125,379093,1271
O,1560109126,379303,888
O,1560109127,379580,769
O,1560109127,378938,294
O,1560109128,378903,320
O,1560109128,379248,616
O,1560109129,379308,412
O,1560109129,379442,349
O,1560109130,378962,758
O,1560109131,379756,1689
O,1560109131,380215,1149
O,1560109132,381045,1274
O,1560109132,378921,1226
O,1560109133,378541,471
O,1560109133,378479,358
O,1560109134,378028,962
O,1560109134,378548,506
O,1560109135,378776,2111
O,1560109136,380861,1796
O,1560109136,380962,897
O,1560109137,380700,748
O,1560109137,379878,2174
O,1560109138,378867,1477
O,1560109138,378646,1819
O,1560109139,378654,2343
O,1560109140,378877,1719
P,1560109140,5239
O,1560109140,379788,1123
O,1560109141,380157,348
O,1560109141,379933,137
O,1560109142,379893,104
O,1560109142,379559,613
O,1560109143,378932,1501
O,1560109144,378975,427
O,1560109144,379208,375
O,1560109145,379306,242
O,1560109145,379378,302
O,1560109146,379471,168
T,1560109146,2856
P,1560109169,5243
P,1560109198,5242
P,1560109228,5244
P,1560109257,5243
P,1560109286,5243
P,1560109315,5243
P,1560109345,5244
P,1560109375,5242
P,1560109404,5244
P,1560109434,5244
P,1560109463,5240
P,1560109492,5243
P,1560109521,5244
P,1560109551,5243
P,1560109580,5243
P,1560109609,5243
P,1560109639,5243
P,1560109669,5244
P,1560109698,5242
P,1560109727,5242
P,1560109757,5240
P,1560109786,5242
P,1560109815,5241
P,1560109844,5244
P,1560109874,5243
P,1560109903,5244
P,1560109932,5243
P,1560109963,5244
P,1560109992,5241
P,1560110021,5243
D,1560110049,480000
P,1560110050,5242
D,1560110050,460800
D,1560110052,458752
D,1560110055,455936
D,1560110057,457728
D,1560110059,459008
D,1560110061,455936
D,1560110063,458496
D,1560110066,458752
D,1560110068,459520
D,1560110070,455168
D,1560110072,458496
D,1560110074,460032
D,1560110077,456704
P,1560110080,5243
D,1560110109,475392
R,1560110109,5C00DDFC36
R,1560110109,5C00DDFC36
R,1560110109,5C00DDFC36
P,1560110109,5167
X,1560110111,692617,6578
X,1560110111,694364,2523
