H,1560196656,364729
T,1560196656,2859
D,1560196657,332032
P,1560196657,5179
P,1560196686,5236
D,1560196702,478976
R,1560196702,5C00DDFC36
R,1560196702,5C00DDFC36
R,1560196702,5C00DDFC36
X,1560196704,679628,4422
X,1560196705,680139,2728
X,1560196705,680167,1236
X,1560196706,680415,1501
X,1560196706,680449,2022
X,1560196707,680452,990
X,1560196707,680492,1831
X,1560196708,680563,1245
X,1560196709,680549,1574
X,1560196709,680604,1179
X,1560196710,680685,976
X,1560196710,680516,3936
X,1560196711,680975,5866
X,1560196711,679837,8565
X,1560196712,680523,2847
X,1560196713,680449,12338
X,1560196713,680969,3497
X,1560196714,680802,12853
X,1560196714,680359,4972
X,1560196715,680861,3168
P,1560196715,5230
X,1560196715,680902,7533
X,1560196716,680233,22196
X,1560196716,679627,41594
X,1560196717,680104,43074
X,1560196718,680667,46582
X,1560196718,681987,9159
X,1560196719,679758,9630
X,1560196719,680939,2676
X,1560196720,680793,1826
X,1560196720,680714,1663
X,1560196721,680709,2048
X,1560196722,681099,5788
X,1560196722,680796,2908
X,1560196723,680798,2208
X,1560196723,681034,1871
X,1560196724,680945,6175
X,1560196724,680897,2052
X,1560196725,680969,2384
X,1560196726,680889,1933
X,1560196726,680922,2046
X,1560196727,680881,2169
X,1560196727,681135,1510
X,1560196728,679314,38685
X,1560196728,666180,24372
X,1560196729,383248,3512
X,1560196730,382932,799
X,1560196730,382839,371
X,1560196731,382684,199
X,1560196731,382614,128
X,1560196732,382554,412
X,1560196732,382621,254
X,1560196733,382563,145
X,1560196734,382575,214
X,1560196734,382486,201
X,1560196735,382418,152
O,1560196735,382298,183
O,1560196736,382092,282
O,1560196736,382010,222
O,1560196737,381932,141
O,1560196737,381857,158
O,1560196738,381896,98
O,1560196739,381953,138
O,1560196739,381964,67
O,1560196740,382005,196
O,1560196740,381993,114
O,1560196741,381971,192
O,1560196741,381991,100
O,1560196742,381935,125
O,1560196742,381877,149
O,1560196742,381926,134
O,1560196743,381916,174
O,1560196743,381896,202
O,1560196744,381927,212
P,1560196744,5229
O,1560196744,381906,140
O,1560196745,381901,79
O,1560196746,381939,86
O,1560196746,381926,97
O,1560196747,381947,87
O,1560196747,381966,103
O,1560196748,381941,82
O,1560196748,381924,117
O,1560196749,381913,136
O,1560196750,381893,80
O,1560196750,381868,88
O,1560196751,381864,138
O,1560196751,381801,132
O,1560196752,381776,120
O,1560196752,381756,91
O,1560196753,381723,94
O,1560196753,381720,137
O,1560196754,381690,150
O,1560196755,381714,126
O,1560196755,381707,104
O,1560196756,381687,103
O,1560196756,381641,105
O,1560196757,381657,79
O,1560196757,381663,117
O,1560196758,381621,118
O,1560196759,381640,103
O,1560196759,381626,209
O,1560196760,381603,121
O,1560196760,381608,150
O,1560196761,381649,144
O,1560196761,381615,120
O,1560196762,381651,146
O,1560196763,381665,163
O,1560196763,381674,197
O,1560196764,381773,107
O,1560196764,381839,130
O,1560196765,381822,170
O,1560196765,381708,94
O,1560196766,381718,112
O,1560196767,381721,83
O,1560196767,381747,74
O,1560196768,381820,98
O,1560196768,381800,105
O,1560196769,381776,137
O,1560196769,381753,124
O,1560196770,381729,84
O,1560196770,381751,124
O,1560196771,381792,134
O,1560196772,381833,106
O,1560196772,381799,126
O,1560196773,381704,126
O,1560196773,381645,199
O,1560196774,381606,145
O,1560196774,381654,130
P,1560196774,5232
O,1560196775,381544,203
O,1560196776,381704,198
O,1560196776,381877,143
O,1560196777,381865,141
O,1560196777,381865,312
O,1560196778,381430,164
O,1560196778,381315,161
O,1560196779,381518,250
O,1560196780,381577,132
O,1560196780,381309,144
O,1560196781,381660,299
O,1560196781,381752,126
O,1560196782,381735,190
O,1560196782,381651,153
O,1560196783,381669,113
O,1560196783,381613,88
O,1560196783,381593,164
O,1560196784,381517,197
T,1560196784,2859
P,1560196804,5237
P,1560196833,5236
P,1560196863,5237
P,1560196892,5237
P,1560196921,5236
P,1560196950,5234
P,1560196980,5238
P,1560197009,5236
P,1560197038,5238
P,1560197068,5238
P,1560197098,5237
P,1560197127,5237
P,1560197156,5237
P,1560197186,5237
P,1560197215,5238
P,1560197244,5238
P,1560197274,5238
P,1560197303,5238
P,1560197332,5238
P,1560197361,5235
P,1560197392,5236
P,1560197421,5238
P,1560197450,5237
P,1560197480,5237
