H,1560392493,364729
X,1560392493,776637,7552
X,1560392494,776669,2196
X,1560392494,776490,7217
X,1560392495,776454,1973
X,1560392495,776654,1805
X,1560392496,776584,2529
X,1560392497,776806,2062
X,1560392497,776818,3164
X,1560392498,776674,1636
X,1560392498,776763,2225
X,1560392499,776779,1424
X,1560392499,776698,2393
X,1560392500,776874,1935
X,1560392501,776855,5628
X,1560392501,776708,3012
X,1560392502,776833,2588
X,1560392502,776658,2108
P,1560392502,5209
X,1560392503,776845,2140
X,1560392503,776774,1528
X,1560392504,776681,2614
X,1560392505,776665,2637
X,1560392505,776892,1255
X,1560392506,776645,2019
X,1560392506,776830,2645
X,1560392507,776871,2178
X,1560392507,776710,5033
X,1560392508,777049,3649
X,1560392508,776897,1625
X,1560392509,776708,1720
X,1560392510,776955,2217
X,1560392510,777087,2129
X,1560392511,776996,6017
X,1560392511,776929,1954
X,1560392512,776838,1419
X,1560392512,776851,2082
X,1560392513,777014,2416
X,1560392514,777037,2428
X,1560392514,776962,3073
X,1560392515,776994,2234
X,1560392515,776981,1603
X,1560392516,777015,1613
X,1560392516,776940,1578
X,1560392517,776973,1644
X,1560392518,777265,2696
X,1560392518,777278,3057
X,1560392519,777162,2243
X,1560392519,777229,1916
X,1560392520,777106,1241
X,1560392520,777016,2438
X,1560392521,777144,2034
X,1560392522,777463,1746
X,1560392522,777589,2448
X,1560392523,777366,1802
X,1560392523,777358,1366
X,1560392523,777398,2377
X,1560392523,777386,1877
X,1560392524,777082,3312
X,1560392524,777728,16098
X,1560392525,777077,29501
X,1560392526,777004,11069
X,1560392526,777138,3608
X,1560392527,777217,1542
X,1560392527,777180,2743
X,1560392528,776785,7617
X,1560392528,776712,11658
X,1560392529,777086,6474
X,1560392530,777474,2959
X,1560392530,777025,4692
X,1560392531,777033,1742
X,1560392531,777055,1766
P,1560392531,5218
X,1560392532,777339,2739
X,1560392532,777141,2050
X,1560392533,777206,1838
X,1560392534,777132,1982
X,1560392534,777126,1360
X,1560392535,777109,1389
X,1560392535,777237,14198
X,1560392536,777381,4093
X,1560392536,777076,4445
X,1560392537,777207,2703
X,1560392538,777300,2123
X,1560392538,777088,2790
X,1560392539,777257,2240
X,1560392539,777474,9030
X,1560392540,777070,5857
X,1560392540,776826,5584
X,1560392541,777212,2008
X,1560392542,777190,3234
X,1560392542,777126,2375
X,1560392543,777459,1927
X,1560392543,777661,2487
X,1560392544,777425,1107
X,1560392544,777307,1612
X,1560392545,777480,2001
X,1560392545,777482,953
X,1560392546,778188,5386
X,1560392547,777595,6215
X,1560392547,777663,2738
X,1560392548,777564,3844
X,1560392548,777823,2287
X,1560392549,777954,10662
X,1560392549,778011,2764
X,1560392550,777771,1825
X,1560392551,777693,1892
X,1560392551,777544,1357
X,1560392552,777749,2179
X,1560392552,777724,2488
X,1560392553,777620,1577
X,1560392553,777642,2558
X,1560392554,777381,1792
X,1560392555,777639,1391
X,1560392555,777599,1629
X,1560392556,777383,1531
X,1560392556,777401,1774
X,1560392557,777367,1921
X,1560392557,777465,2888
X,1560392558,777589,6873
X,1560392559,777149,5180
X,1560392559,777257,4510
X,1560392560,777396,1340
X,1560392560,777478,1696
X,1560392561,777398,2363
X,1560392561,777379,1619
P,1560392562,5219
X,1560392562,777307,2560
X,1560392562,777359,1384
X,1560392563,777164,2268
X,1560392564,777344,1916
X,1560392564,777349,1839
X,1560392564,777419,1555
X,1560392564,777303,985
X,1560392565,777403,1716
X,1560392565,777405,1054
X,1560392566,777343,1993
X,1560392567,777278,1146
X,1560392567,777287,2066
X,1560392568,777229,1186
X,1560392568,777112,1831
X,1560392569,777237,1021
X,1560392569,777244,1024
X,1560392570,777145,2784
X,1560392571,777181,1078
X,1560392571,777243,2902
X,1560392572,777316,1813
X,1560392572,777286,1402
X,1560392573,777738,6928
X,1560392573,776874,4385
X,1560392574,777148,6890
X,1560392575,777092,15571
X,1560392575,777000,1472
X,1560392576,777199,994
X,1560392576,777093,13323
X,1560392577,777330,2220
X,1560392577,777258,1461
X,1560392578,777306,1704
X,1560392578,777406,1711
X,1560392579,777455,1452
X,1560392580,777233,1392
X,1560392580,777313,1650
X,1560392581,777247,2673
X,1560392581,777257,1533
X,1560392582,777199,2045
X,1560392582,777208,1896
X,1560392583,776600,8639
X,1560392584,777476,3246
X,1560392584,777117,3103
X,1560392585,777288,1156
X,1560392585,777241,1795
X,1560392586,777142,1359
