H,1560563420,364729
P,1560563420,5218
T,1560563420,2898
P,1560563450,5225
P,1560563479,5225
P,1560563509,5225
P,1560563538,5225
P,1560563568,5224
P,1560563597,5226
P,1560563626,5224
P,1560563655,5226
P,1560563685,5225
P,1560563714,5226
P,1560563743,5225
P,1560563773,5226
P,1560563803,5224
P,1560563832,5224
P,1560563861,5224
P,1560563891,5225
P,1560563920,5225
P,1560563949,5224
P,1560563979,5225
D,1560563991,523776
R,1560563991,5C00DDFC36
X,1560563992,721967,11320
X,1560563993,723401,11782
X,1560563994,722979,16259
X,1560563994,722969,6206
X,1560563995,722803,7303
X,1560563995,722948,3889
X,1560563996,722175,4967
X,1560563996,722125,5850
X,1560563997,722318,7323
X,1560563998,722231,7665
X,1560563998,723092,6829
X,1560563999,723168,2981
X,1560563999,723199,4351
X,1560564000,723708,3994
X,1560564000,723358,2361
X,1560564001,723640,4783
X,1560564002,723193,2306
X,1560564002,723487,5204
X,1560564003,723764,4350
X,1560564003,723517,2957
X,1560564004,723693,3000
X,1560564004,723147,8797
X,1560564005,725237,18098
X,1560564006,723259,3610
X,1560564006,723178,2259
X,1560564007,722779,2122
X,1560564007,723239,3227
X,1560564008,723228,2554
P,1560564008,5218
X,1560564008,723636,3177
X,1560564009,723169,3159
X,1560564009,723400,2660
X,1560564010,723166,3041
X,1560564011,723356,2976
X,1560564011,723184,2388
X,1560564012,724235,9470
X,1560564012,722821,14449
X,1560564013,723549,2561
X,1560564013,723411,2844
X,1560564014,723121,14454
X,1560564015,723937,14443
X,1560564015,724001,24235
X,1560564016,722403,35688
X,1560564016,725100,28118
X,1560564017,726587,30975
X,1560564017,721645,38334
X,1560564018,722502,61500
X,1560564019,715391,8917
X,1560564019,527138,44880
X,1560564020,371600,27242
X,1560564020,368273,4233
X,1560564021,368715,1339
X,1560564021,368616,652
X,1560564022,368584,269
X,1560564023,368496,406
X,1560564023,368446,198
X,1560564024,368402,245
X,1560564024,368298,206
X,1560564024,368352,312
X,1560564024,368367,333
O,1560564025,368365,199
O,1560564025,368367,167
O,1560564026,368445,312
O,1560564027,368379,525
O,1560564027,368414,307
O,1560564028,368392,215
O,1560564028,368385,157
O,1560564029,368377,168
O,1560564029,368276,171
O,1560564030,368319,314
O,1560564031,368413,433
O,1560564031,368399,648
O,1560564032,368374,345
O,1560564032,368370,205
O,1560564033,368380,215
O,1560564033,368366,168
O,1560564034,368354,187
O,1560564035,368371,245
O,1560564035,368332,198
O,1560564036,368310,267
O,1560564036,368234,412
O,1560564037,368246,486
P,1560564037,5219
O,1560564037,660491,60034
T,1560564038,2897
D,1560564039,467456
R,1560564039,5C00DDFC36
R,1560564039,5C00DDFC36
R,1560564039,5C00DDFC36
X,1560564041,693155,6021
X,1560564041,748812,18703
X,1560564042,367196,27832
X,1560564042,367677,34366
X,1560564043,369600,10704
X,1560564043,369240,1866
X,1560564044,369119,617
X,1560564045,369037,478
X,1560564045,368983,294
X,1560564046,368837,261
X,1560564046,368572,238
X,1560564047,368324,251
X,1560564047,368226,386
O,1560564048,368037,217
O,1560564049,368254,420
O,1560564049,368412,253
O,1560564050,368710,463
O,1560564050,368845,255
O,1560564051,368936,276
O,1560564051,368930,283
O,1560564052,368991,180
O,1560564052,368971,137
O,1560564053,369055,251
O,1560564054,369000,311
O,1560564054,368924,430
O,1560564055,368997,494
O,1560564055,369001,380
O,1560564056,369108,836
O,1560564056,369118,369
O,1560564057,369057,196
O,1560564058,369029,183
O,1560564058,369091,104
O,1560564059,369148,153
O,1560564059,369208,226
O,1560564060,369106,295
O,1560564060,369070,1371
O,1560564061,373548,10722
O,1560564062,369901,6634
O,1560564062,369062,1088
O,1560564063,369464,600
O,1560564063,369351,516
O,1560564064,369276,149
O,1560564064,369167,106
O,1560564065,369232,228
O,1560564065,369150,367
O,1560564065,369138,227
O,1560564066,369119,209
O,1560564066,369093,141
P,1560564066,5218
O,1560564067,369051,146
O,1560564067,369057,76
O,1560564068,369031,175
O,1560564068,369058,219
O,1560564069,369073,171
O,1560564070,369043,101
O,1560564070,369047,113
O,1560564071,368999,193
O,1560564071,368938,265
O,1560564072,368920,152
O,1560564072,368823,182
O,1560564073,368808,147
O,1560564074,368707,441
O,1560564074,368460,230
O,1560564075,368600,145
O,1560564075,368515,305
O,1560564076,368480,214
O,1560564076,368210,226
