H,1548478474,439452
P,1548478474,5160
P,1548478503,5162
P,1548478532,5161
P,1548478561,5161
P,1548478591,5161
P,1548478620,5161
P,1548478649,5162
P,1548478679,5160
P,1548478708,5162
P,1548478737,5160
P,1548478767,5161
P,1548478797,5161
P,1548478826,5162
P,1548478855,5161
P,1548478885,5160
P,1548478914,5162
P,1548478943,5163
P,1548478972,5161
P,1548479002,5161
P,1548479031,5162
P,1548479061,5160
P,1548479091,5162
P,1548479120,5161
P,1548479149,5162
P,1548479178,5160
P,1548479208,5162
P,1548479237,5162
P,1548479266,5162
P,1548479296,5162
P,1548479325,5160
P,1548479355,5160
P,1548479384,5161
P,1548479414,5160
P,1548479443,5162
P,1548479472,5161
P,1548479502,5160
P,1548479531,5161
P,1548479560,5161
P,1548479589,5160
P,1548479619,5161
P,1548479649,5161
P,1548479678,5161
P,1548479708,5162
P,1548479737,5162
P,1548479766,5161
P,1548479795,5160
P,1548479825,5162
P,1548479854,5162
P,1548479883,5160
P,1548479913,5159
P,1548479943,5162
P,1548479972,5161
P,1548480001,5160
P,1548480031,5160
P,1548480060,5162
P,1548480089,5160
P,1548480118,5161
P,1548480148,5162
P,1548480177,5160
O,1548480183,371491,2402
O,1548480184,371698,58
O,1548480184,371686,72
O,1548480185,371690,237
O,1548480185,371681,108
O,1548480186,371681,194
O,1548480187,371677,154
O,1548480187,371684,177
O,1548480188,371671,113
O,1548480188,371686,80
O,1548480189,371693,93
O,1548480189,371704,216
O,1548480190,371711,190
O,1548480191,371704,212
O,1548480191,371711,152
O,1548480192,371703,71
O,1548480192,371709,88
O,1548480193,371694,78
O,1548480193,371688,141
O,1548480194,371680,104
O,1548480194,371697,156
O,1548480195,371687,139
O,1548480196,371679,134
O,1548480196,371691,116
O,1548480197,371706,85
O,1548480197,371691,90
O,1548480198,371719,61
O,1548480198,371722,87
O,1548480199,371701,81
O,1548480200,371680,139
O,1548480200,371656,82
O,1548480200,371657,101
O,1548480200,371657,60
O,1548480201,371635,117
O,1548480201,371746,6952
O,1548480202,371590,2555
O,1548480203,371630,1351
O,1548480203,371737,750
O,1548480204,371684,269
O,1548480204,371677,400
O,1548480205,371730,1043
O,1548480205,371683,367
O,1548480206,371643,710
P,1548480206,5153
O,1548480207,371701,750
O,1548480207,371663,399
O,1548480208,371689,121
O,1548480208,371687,179
O,1548480209,371680,138
O,1548480209,371681,157
O,1548480210,371671,110
O,1548480210,371683,93
O,1548480211,371674,212
O,1548480212,371690,253
O,1548480212,371683,196
O,1548480213,371729,269
O,1548480213,371668,597
O,1548480214,371753,645
O,1548480214,371688,695
O,1548480215,371733,550
O,1548480216,371705,179
O,1548480216,371745,158
O,1548480217,371704,180
O,1548480217,371734,247
O,1548480218,371763,225
O,1548480218,371754,330
O,1548480219,371739,245
O,1548480220,371764,152
O,1548480220,371749,232
O,1548480221,371709,508
O,1548480221,371716,157
O,1548480222,371697,99
O,1548480222,371676,92
O,1548480223,371703,84
O,1548480224,371687,235
O,1548480224,371693,345
O,1548480225,371656,120
O,1548480225,371697,247
O,1548480226,371715,142
O,1548480226,371673,148
O,1548480227,371648,126
O,1548480227,371681,202
O,1548480228,371697,349
O,1548480229,371671,700
O,1548480229,371704,505
O,1548480230,371686,183
O,1548480230,371633,365
O,1548480231,371706,2672
O,1548480231,371715,754
O,1548480232,371660,657
O,1548480233,371702,827
O,1548480233,371666,501
O,1548480234,371678,247
O,1548480234,371674,228
O,1548480235,371691,129
O,1548480235,371701,84
O,1548480236,371719,74
P,1548480237,5152
O,1548480237,371709,112
O,1548480237,371705,137
O,1548480238,371715,116
O,1548480238,371708,133
O,1548480239,371729,93
T,1548480239,2728
P,1548480266,5161
P,1548480295,5161
P,1548480324,5161
P,1548480354,5160
P,1548480383,5161
P,1548480412,5161
P,1548480442,5161
P,1548480471,5161
P,1548480500,5160
P,1548480530,5161
P,1548480560,5159
P,1548480589,5161
P,1548480618,5162
P,1548480648,5160
P,1548480677,5160
P,1548480706,5159
P,1548480735,5161
P,1548480765,5161
P,1548480794,5161
P,1548480824,5160
P,1548480854,5160
P,1548480883,5161
P,1548480912,5162
P,1548480942,5160
P,1548480972,5161
P,1548481001,5161
P,1548481030,5162
P,1548481060,5162
P,1548481089,5160
P,1548481119,5160
P,1548481148,5159
P,1548481178,5161
P,1548481207,5161
P,1548481236,5161
P,1548481266,5160
P,1548481295,5161
P,1548481324,5161
P,1548481353,5161
P,1548481383,5161
P,1548481413,5159
P,1548481442,5159
P,1548481472,5160
