H,1550594970,439452
P,1550594970,5115
P,1550594999,5115
P,1550595028,5112
P,1550595058,5112
P,1550595087,5114
P,1550595116,5114
P,1550595145,5115
P,1550595175,5114
P,1550595204,5116
P,1550595233,5115
P,1550595264,5115
P,1550595293,5114
P,1550595322,5113
P,1550595351,5114
P,1550595381,5115
P,1550595410,5115
P,1550595439,5115
P,1550595469,5114
P,1550595498,5115
P,1550595527,5113
P,1550595557,5114
P,1550595587,5114
P,1550595616,5114
P,1550595645,5113
P,1550595675,5113
P,1550595704,5114
P,1550595733,5113
P,1550595762,5113
P,1550595792,5114
P,1550595821,5115
P,1550595851,5115
P,1550595880,5115
P,1550595910,5113
P,1550595939,5114
P,1550595968,5113
P,1550595998,5114
P,1550596027,5114
P,1550596056,5114
P,1550596085,5115
P,1550596115,5115
P,1550596145,5114
P,1550596174,5115
P,1550596204,5114
P,1550596233,5114
O,1550596254,321139,2147
O,1550596255,321346,318
O,1550596255,321376,171
O,1550596256,321388,156
O,1550596257,321317,231
O,1550596257,321379,186
O,1550596258,321470,137
O,1550596258,321428,163
O,1550596259,321409,166
O,1550596259,321423,171
O,1550596260,321603,213
O,1550596261,321525,245
O,1550596261,321538,176
O,1550596262,321593,207
P,1550596262,5106
O,1550596262,321655,255
O,1550596263,321607,290
O,1550596263,321675,105
O,1550596264,321667,261
O,1550596265,321634,167
O,1550596265,321619,155
O,1550596266,321666,244
O,1550596266,321659,156
O,1550596267,321631,136
O,1550596267,321634,200
O,1550596268,321664,162
O,1550596268,321684,137
O,1550596269,321625,293
O,1550596270,321583,145
O,1550596270,321664,100
O,1550596271,321590,100
O,1550596271,321584,152
O,1550596272,321599,268
O,1550596272,321621,208
O,1550596273,321687,196
O,1550596274,321655,160
O,1550596274,321594,147
O,1550596275,321586,271
O,1550596275,321624,293
O,1550596276,321626,166
O,1550596276,321590,286
O,1550596277,321673,261
O,1550596278,321724,278
O,1550596278,321700,217
O,1550596279,321654,103
O,1550596279,321643,308
O,1550596280,321645,219
O,1550596280,321671,144
O,1550596281,321643,236
O,1550596282,321648,260
O,1550596282,321649,228
O,1550596283,321695,249
O,1550596283,321663,286
O,1550596284,321566,249
O,1550596284,321616,244
O,1550596285,321707,242
O,1550596285,321678,246
O,1550596286,321629,104
O,1550596287,321612,163
O,1550596287,321615,200
O,1550596288,321558,215
O,1550596288,321596,173
O,1550596289,321574,149
O,1550596289,321545,204
O,1550596290,321529,216
O,1550596290,321562,246
O,1550596290,321544,158
O,1550596291,321595,161
P,1550596291,5107
O,1550596291,321632,326
O,1550596292,321671,254
O,1550596292,321617,254
O,1550596293,321653,500
O,1550596294,321730,465
O,1550596294,321795,291
O,1550596295,321923,157
O,1550596295,321946,212
O,1550596296,321862,212
O,1550596296,321886,233
O,1550596297,321891,151
O,1550596298,321743,262
O,1550596298,321761,260
O,1550596299,321757,160
O,1550596299,321757,176
O,1550596300,321700,362
O,1550596300,321644,226
O,1550596301,321630,322
O,1550596302,321592,207
O,1550596302,321566,192
O,1550596303,321579,219
O,1550596303,321579,190
O,1550596304,321541,264
O,1550596304,321538,144
O,1550596305,321446,273
O,1550596305,321462,186
O,1550596306,321477,290
O,1550596307,321512,160
O,1550596307,321513,139
O,1550596308,321502,189
O,1550596308,321538,197
O,1550596309,321511,150
O,1550596309,321550,137
O,1550596310,321566,193
T,1550596310,2806
P,1550596321,5114
P,1550596350,5114
P,1550596379,5113
P,1550596409,5114
P,1550596439,5114
P,1550596468,5114
P,1550596497,5113
P,1550596527,5113
P,1550596556,5114
P,1550596585,5113
P,1550596615,5115
P,1550596644,5113
P,1550596673,5113
P,1550596702,5114
P,1550596733,5115
P,1550596762,5112
P,1550596791,5114
P,1550596821,5114
P,1550596850,5113
P,1550596879,5113
P,1550596908,5114
P,1550596938,5113
P,1550596968,5115
P,1550596997,5112
P,1550597028,5113
P,1550597057,5113
P,1550597086,5115
P,1550597115,5113
P,1550597145,5112
P,1550597174,5113
P,1550597203,5114
P,1550597233,5114
P,1550597262,5115
P,1550597291,5114
P,1550597321,5113
P,1550597351,5114
P,1550597380,5113
P,1550597409,5114
P,1550597439,5112
P,1550597468,5113
P,1550597497,5113
P,1550597526,5114
P,1550597556,5114
P,1550597585,5114
P,1550597615,5114
P,1550597644,5113
P,1550597674,5111
P,1550597703,5114
P,1550597732,5113
P,1550597762,5113
P,1550597791,5113
P,1550597820,5113
P,1550597849,5112
P,1550597879,5113
P,1550597909,5114
