H,1551890969,299960
P,1551890969,5186
P,1551890999,5186
P,1551891028,5185
P,1551891057,5183
P,1551891086,5184
P,1551891116,5185
P,1551891145,5185
P,1551891174,5184
P,1551891204,5186
P,1551891233,5184
P,1551891263,5182
P,1551891292,5185
P,1551891322,5184
P,1551891351,5184
P,1551891380,5185
P,1551891410,5185
P,1551891439,5184
P,1551891468,5186
P,1551891497,5185
P,1551891527,5185
P,1551891557,5184
P,1551891586,5185
P,1551891616,5184
P,1551891645,5185
P,1551891674,5184
P,1551891703,5184
P,1551891733,5185
P,1551891762,5186
P,1551891791,5185
P,1551891821,5185
P,1551891851,5183
P,1551891880,5186
P,1551891909,5185
P,1551891939,5185
P,1551891968,5184
P,1551891997,5185
P,1551892027,5185
P,1551892056,5184
P,1551892085,5185
P,1551892114,5186
P,1551892145,5184
P,1551892174,5185
P,1551892203,5186
P,1551892233,5185
P,1551892262,5185
P,1551892291,5185
P,1551892320,5185
P,1551892350,5184
P,1551892379,5184
P,1551892408,5184
P,1551892439,5185
P,1551892469,5184
P,1551892498,5185
P,1551892527,5185
P,1551892557,5183
P,1551892586,5185
P,1551892615,5185
P,1551892645,5186
P,1551892674,5185
P,1551892703,5186
P,1551892733,5184
P,1551892763,5185
P,1551892792,5184
P,1551892821,5184
P,1551892850,5184
P,1551892880,5185
P,1551892909,5186
P,1551892938,5185
P,1551892968,5185
P,1551892997,5185
P,1551893027,5184
O,1551893038,300263,1989
O,1551893039,300432,100
O,1551893039,300406,88
O,1551893040,300399,74
O,1551893040,300384,112
O,1551893041,300405,137
O,1551893041,300432,86
O,1551893042,300462,100
O,1551893043,300513,100
O,1551893043,300467,179
O,1551893044,300471,138
O,1551893044,300471,123
O,1551893045,300316,132
O,1551893045,300374,180
O,1551893046,300280,211
O,1551893046,300276,130
O,1551893047,300315,144
O,1551893048,300334,85
O,1551893048,300334,143
O,1551893049,300249,79
O,1551893049,300318,98
O,1551893050,300397,103
O,1551893050,300429,156
O,1551893051,300470,59
O,1551893052,300487,143
O,1551893052,300480,90
O,1551893053,300450,93
O,1551893053,300437,71
O,1551893054,300425,125
O,1551893054,300387,140
O,1551893055,300394,142
O,1551893055,300380,106
O,1551893055,300415,83
P,1551893056,5175
O,1551893056,300363,120
O,1551893056,300385,155
O,1551893057,300372,128
O,1551893057,300334,89
O,1551893058,300322,85
O,1551893059,300316,198
O,1551893059,300291,133
O,1551893060,300172,175
O,1551893060,300293,209
O,1551893061,300327,232
O,1551893061,300346,111
O,1551893062,300369,272
O,1551893062,300271,147
O,1551893063,300368,222
O,1551893064,300274,208
O,1551893064,300351,198
O,1551893065,300484,259
O,1551893065,300461,108
O,1551893066,300435,154
O,1551893066,300387,134
O,1551893067,300385,61
O,1551893068,300365,103
O,1551893068,300455,116
O,1551893069,300427,190
O,1551893069,300454,98
O,1551893070,300427,142
O,1551893070,300509,90
O,1551893071,300478,95
O,1551893072,300497,126
O,1551893072,300496,118
O,1551893073,300505,164
O,1551893073,300497,83
O,1551893074,300493,111
O,1551893074,300483,126
O,1551893075,300489,121
O,1551893075,300481,88
O,1551893076,300490,104
O,1551893077,300494,114
O,1551893077,300486,88
O,1551893078,300482,82
O,1551893078,300471,109
O,1551893079,300477,97
O,1551893079,300462,113
O,1551893080,300487,108
O,1551893081,300474,95
O,1551893081,300470,87
O,1551893082,300419,81
O,1551893082,300446,87
O,1551893083,300480,95
O,1551893083,300463,155
O,1551893084,300486,141
O,1551893085,300470,134
O,1551893085,300444,102
O,1551893086,300433,119
P,1551893086,5176
O,1551893086,300445,92
O,1551893087,300462,83
O,1551893087,300441,78
O,1551893088,300461,85
O,1551893089,300451,85
O,1551893089,300440,101
O,1551893090,300441,65
O,1551893090,300421,107
O,1551893091,300389,63
O,1551893091,300385,132
O,1551893092,300398,161
O,1551893092,300385,73
O,1551893093,300370,152
O,1551893094,300376,85
T,1551893094,2819
P,1551893115,5183
P,1551893144,5184
P,1551893174,5185
P,1551893203,5184
P,1551893232,5185
P,1551893261,5185
P,1551893291,5184
P,1551893321,5184
P,1551893350,5185
P,1551893380,5186
P,1551893409,5185
P,1551893438,5183
P,1551893467,5183
P,1551893497,5185
P,1551893526,5184
P,1551893555,5184
P,1551893585,5184
P,1551893615,5185
P,1551893644,5184
P,1551893673,5184
P,1551893703,5185
P,1551893732,5183
P,1551893761,5184
P,1551893791,5183
P,1551893820,5183
P,1551893849,5183
P,1551893878,5184
P,1551893909,5184
