H,1553400206,299960
O,1553400206,301012,128
O,1553400207,301014,114
O,1553400207,300961,165
O,1553400208,300962,109
O,1553400209,300904,108
O,1553400209,300907,170
O,1553400210,300871,149
O,1553400210,300837,141
O,1553400211,300820,220
O,1553400211,300802,151
O,1553400212,300786,170
O,1553400213,300749,85
O,1553400213,300743,115
O,1553400214,300691,118
O,1553400214,300686,145
O,1553400215,300702,220
O,1553400215,300665,233
P,1553400215,5129
O,1553400216,300635,203
O,1553400217,300660,253
O,1553400217,300599,154
O,1553400218,300597,222
O,1553400218,300563,413
O,1553400219,300558,453
O,1553400219,300566,482
O,1553400220,300509,482
O,1553400220,300538,244
O,1553400221,300505,217
O,1553400222,300515,280
O,1553400222,300501,228
O,1553400223,300454,360
O,1553400223,300441,286
O,1553400224,300448,302
O,1553400224,300449,420
O,1553400225,300446,583
O,1553400226,300441,267
O,1553400226,300436,365
O,1553400227,300438,385
O,1553400227,300401,348
O,1553400228,300407,300
O,1553400228,300419,252
O,1553400229,300391,220
O,1553400230,300379,275
O,1553400230,300388,219
O,1553400231,300355,363
O,1553400231,300354,349
O,1553400232,300322,234
O,1553400232,300342,340
O,1553400233,300325,201
O,1553400233,300317,456
O,1553400234,300307,342
O,1553400235,300306,204
O,1553400235,300304,474
O,1553400236,300296,602
O,1553400236,300284,171
O,1553400237,300273,261
O,1553400237,300255,215
O,1553400238,300229,259
O,1553400239,300275,346
O,1553400239,300223,416
O,1553400240,300211,428
O,1553400240,300237,467
O,1553400240,300236,222
O,1553400240,300211,196
O,1553400241,300221,165
O,1553400242,300186,143
O,1553400242,300185,86
O,1553400243,300173,147
O,1553400243,300171,117
O,1553400244,300153,91
O,1553400244,300155,84
T,1553400245,2750
P,1553400245,5142
P,1553400275,5151
D,1553400285,433408
R,1553400285,700D9B70A
R,1553400285,700D9B70A
X,1553400287,661682,26803
X,1553400287,660616,49403
X,1553400288,660728,18482
X,1553400288,661000,13710
X,1553400289,661332,3584
X,1553400289,661693,3566
X,1553400290,661400,1248
X,1553400291,661573,22679
X,1553400291,660519,22717
X,1553400292,662752,17312
X,1553400292,662818,22442
X,1553400293,663152,20199
X,1553400293,662253,4641
X,1553400294,662098,2362
X,1553400295,662640,3188
X,1553400295,662644,8097
X,1553400296,662299,43648
X,1553400296,662680,6195
X,1553400297,662481,3083
X,1553400297,662560,2478
X,1553400298,662569,9116
X,1553400299,662414,3998
X,1553400299,662952,13211
X,1553400300,663188,1546
X,1553400300,663232,3265
X,1553400301,663356,3642
X,1553400301,663456,3998
X,1553400302,663458,19906
X,1553400302,663731,5678
X,1553400303,663235,3353
X,1553400304,663061,1706
P,1553400304,5140
X,1553400304,662862,3736
X,1553400305,662812,1645
X,1553400305,662824,1356
X,1553400306,662721,2362
X,1553400306,662808,1469
X,1553400307,662727,1153
X,1553400308,663369,5206
X,1553400308,661973,9645
X,1553400309,662847,3112
X,1553400309,662823,981
X,1553400310,662684,3890
X,1553400310,662922,2166
X,1553400311,662842,2961
X,1553400312,662391,3561
X,1553400312,662999,3913
X,1553400313,663020,2590
X,1553400313,662570,3399
X,1553400314,662933,3397
X,1553400314,663107,1474
X,1553400315,662823,4636
X,1553400315,663155,2411
X,1553400316,663048,1438
X,1553400317,662895,2217
X,1553400317,663094,2443
X,1553400318,662830,2697
X,1553400318,662936,1949
X,1553400319,662758,3143
X,1553400319,663187,2728
X,1553400320,662868,1998
X,1553400321,663701,3274
X,1553400321,661896,4907
X,1553400322,662729,3151
X,1553400322,662708,2527
X,1553400322,662822,2523
X,1553400322,665048,21910
X,1553400323,662089,53946
X,1553400324,664714,35536
X,1553400324,663030,13608
X,1553400325,663179,3076
X,1553400325,662793,3493
X,1553400326,663200,3936
X,1553400326,662566,37177
X,1553400327,662784,3164
X,1553400328,662989,29318
X,1553400328,662837,25077
X,1553400329,662918,15802
X,1553400329,662813,12057
X,1553400330,662972,3305
X,1553400330,663262,5361
X,1553400331,663265,15825
X,1553400331,663132,2045
X,1553400332,662994,2258
X,1553400333,662722,2003
P,1553400333,5140
X,1553400333,663265,2871
X,1553400334,663294,1791
X,1553400334,663181,1344
X,1553400335,663484,920
X,1553400335,663491,1979
X,1553400336,663536,1898
X,1553400337,663601,1801
X,1553400337,663771,1565
