H,1557260350,290972
P,1557260350,5332
P,1557260380,5332
P,1557260409,5331
P,1557260438,5332
P,1557260468,5330
P,1557260498,5332
P,1557260527,5332
P,1557260556,5332
P,1557260586,5331
P,1557260615,5331
P,1557260644,5333
P,1557260673,5333
P,1557260703,5333
P,1557260732,5332
P,1557260762,5332
P,1557260792,5332
P,1557260821,5331
P,1557260850,5332
P,1557260879,5333
P,1557260909,5332
P,1557260938,5331
P,1557260967,5332
P,1557260997,5333
P,1557261026,5331
D,1557261030,442112
D,1557261032,435968
D,1557261034,429312
D,1557261037,431360
D,1557261039,433664
D,1557261041,430592
D,1557261042,432896
D,1557261044,432128
D,1557261047,430848
D,1557261049,433664
D,1557261051,433664
D,1557261053,432128
D,1557261055,433408
P,1557261056,5332
D,1557261058,433408
D,1557261060,432384
D,1557261062,432384
D,1557261064,432896
D,1557261067,433408
D,1557261069,432640
D,1557261071,449280
D,1557261073,433152
D,1557261075,433152
D,1557261078,433408
D,1557261080,432896
R,1557261080,000000000
X,1557261082,656024,4114
X,1557261082,656338,1142
X,1557261083,656483,1474
X,1557261083,656509,1915
X,1557261083,656475,1033
X,1557261083,656323,27997
X,1557261084,656383,3223
X,1557261084,656374,3449
P,1557261085,5322
X,1557261085,656594,1055
X,1557261086,656333,1454
X,1557261086,656553,1679
X,1557261087,656463,1195
X,1557261087,656528,1001
X,1557261088,656463,1167
X,1557261088,656419,1867
X,1557261089,656578,1199
X,1557261090,656586,523
X,1557261090,656594,1147
X,1557261091,656597,719
X,1557261091,656581,1690
X,1557261092,656564,1352
X,1557261092,656524,23638
X,1557261093,656456,2674
X,1557261094,656343,1762
X,1557261094,656508,1130
X,1557261095,657421,8782
X,1557261095,655532,12422
X,1557261096,656514,1599
X,1557261096,656757,949
X,1557261097,656724,1520
X,1557261098,656727,1030
X,1557261098,656580,1018
X,1557261099,656586,7563
X,1557261099,656591,2485
X,1557261100,656436,2513
X,1557261100,656659,921
X,1557261101,656606,1045
X,1557261101,656726,1811
X,1557261102,656764,1395
X,1557261103,656211,13428
X,1557261103,656490,1277
X,1557261104,656687,819
X,1557261104,656697,1355
X,1557261105,656975,10426
X,1557261105,656838,2030
X,1557261106,656889,1202
X,1557261107,656784,2151
X,1557261107,656825,1661
X,1557261108,656805,1101
X,1557261108,656770,1769
X,1557261109,656714,972
X,1557261109,656820,991
X,1557261110,656757,962
X,1557261111,656680,963
X,1557261111,656703,7235
X,1557261112,656877,1873
X,1557261112,656839,2152
X,1557261113,656275,6168
X,1557261113,657061,4381
X,1557261114,656878,7930
X,1557261114,656915,1316
P,1557261115,5322
X,1557261115,656817,1540
X,1557261116,656781,4334
X,1557261116,656576,3203
X,1557261117,656938,1421
X,1557261117,656882,1017
X,1557261118,656917,1067
X,1557261118,656773,2538
X,1557261119,656915,1430
X,1557261120,656575,8516
X,1557261120,656849,2139
X,1557261121,656734,1330
X,1557261121,656638,1164
X,1557261122,656690,860
X,1557261122,656760,700
X,1557261123,656886,935
X,1557261124,656823,1107
X,1557261124,656678,1752
X,1557261124,656846,1070
X,1557261124,656933,2383
X,1557261125,657670,5569
X,1557261125,654804,21494
X,1557261126,656567,1859
X,1557261127,656611,5268
X,1557261127,656894,13529
X,1557261128,657049,1847
X,1557261128,656570,5506
X,1557261129,657138,3663
X,1557261129,656694,3709
X,1557261130,657014,1698
X,1557261130,656922,1518
X,1557261131,657055,1158
X,1557261132,656946,1625
X,1557261132,656935,1334
X,1557261133,656889,3023
X,1557261133,656765,2115
X,1557261134,657219,1880
X,1557261134,656850,1331
X,1557261135,656870,2401
X,1557261136,656891,1977
X,1557261136,656909,1357
X,1557261137,656832,1705
X,1557261137,656999,2390
X,1557261138,657077,5199
X,1557261138,656731,1623
X,1557261139,656963,1058
X,1557261140,656831,2296
X,1557261140,656945,1158
X,1557261141,656923,1258
X,1557261141,656729,9254
X,1557261142,656934,1488
X,1557261142,657001,1166
X,1557261143,657093,1069
X,1557261143,657017,1103
P,1557261144,5323
X,1557261144,656914,1536
X,1557261145,656981,1288
X,1557261145,657121,1365
X,1557261146,657052,774
X,1557261146,656999,1132
X,1557261147,656948,1434
X,1557261147,656909,1599
X,1557261148,657089,1347
X,1557261149,656977,1012
X,1557261149,656955,1458
X,1557261150,657014,1101
X,1557261150,657134,1013
X,1557261151,657091,1175
X,1557261151,656951,1004
X,1557261152,657095,848
X,1557261153,657089,2196
X,1557261153,657110,1086
X,1557261154,656962,1082
X,1557261154,656998,936
X,1557261155,657058,944
X,1557261155,657036,2784
