H,1552167758,299960
D,1552167758,425728
D,1552167760,430336
D,1552167762,429312
D,1552167764,427776
D,1552167767,428032
D,1552167769,429056
D,1552167771,428032
D,1552167773,427520
D,1552167775,428288
P,1552167776,5160
D,1552167778,427520
D,1552167780,428800
D,1552167782,426496
D,1552167784,427520
D,1552167786,427776
D,1552167789,427520
D,1552167791,425984
D,1552167793,423424
D,1552167795,427776
D,1552167797,427776
D,1552167800,426496
D,1552167802,424192
D,1552167804,426752
P,1552167806,5159
D,1552167806,427264
D,1552167808,428032
D,1552167811,428544
D,1552167813,428288
D,1552167815,428544
D,1552167817,427776
D,1552167819,427776
D,1552167821,426240
D,1552167823,428288
D,1552167825,427776
D,1552167827,428544
D,1552167829,427776
D,1552167832,427776
D,1552167834,427264
P,1552167835,5160
D,1552167836,427776
D,1552167838,428544
D,1552167840,428032
D,1552167843,427520
D,1552167845,426752
D,1552167847,425216
D,1552167849,444416
D,1552167851,270080
P,1552167864,5162
P,1552167894,5161
P,1552167923,5161
P,1552167952,5160
P,1552167983,5161
P,1552168012,5160
O,1552168037,312122,2288
O,1552168037,311505,610
O,1552168038,310204,1649
O,1552168038,311050,1735
O,1552168039,311580,193
O,1552168039,311533,892
O,1552168040,311108,801
O,1552168041,311212,718
P,1552168041,5151
O,1552168041,310403,1793
O,1552168042,311399,881
O,1552168042,311341,2660
O,1552168043,312147,757
O,1552168043,312192,1894
O,1552168044,311529,750
O,1552168045,311487,658
O,1552168045,311085,765
O,1552168046,310979,905
O,1552168046,310815,719
O,1552168047,311011,665
O,1552168047,311230,725
O,1552168048,311652,482
O,1552168049,311482,604
O,1552168049,311409,284
O,1552168050,311308,397
O,1552168050,311533,578
O,1552168051,311097,900
O,1552168051,311225,247
O,1552168052,311032,597
O,1552168052,311493,312
O,1552168053,311517,262
O,1552168054,311688,421
O,1552168054,312352,915
O,1552168055,312591,460
O,1552168055,312001,930
O,1552168056,310614,1055
O,1552168056,311459,444
O,1552168057,311254,333
O,1552168058,311242,363
O,1552168058,311442,408
O,1552168059,311172,373
O,1552168059,311092,550
O,1552168060,310769,418
O,1552168060,310987,242
O,1552168061,310985,658
O,1552168062,311277,1049
O,1552168062,310875,731
O,1552168063,311408,816
O,1552168063,311415,690
O,1552168064,311446,890
O,1552168064,311374,295
O,1552168065,310985,416
O,1552168065,310691,1003
O,1552168065,310624,1566
O,1552168066,310163,521
O,1552168066,310153,629
O,1552168067,310309,1012
O,1552168067,310640,332
O,1552168068,310750,734
O,1552168068,310239,385
O,1552168069,310032,525
O,1552168070,310113,554
P,1552168070,5152
O,1552168070,309872,680
O,1552168071,310464,1279
O,1552168071,310810,579
O,1552168072,310452,633
O,1552168072,310644,639
O,1552168073,310998,570
O,1552168074,310787,364
O,1552168074,310781,486
O,1552168075,310673,431
O,1552168075,310756,508
O,1552168076,310836,668
O,1552168076,310956,245
O,1552168077,311130,366
O,1552168078,311060,267
O,1552168078,311070,343
O,1552168079,310845,254
O,1552168079,310734,249
O,1552168080,310490,750
O,1552168080,310543,595
O,1552168081,310683,427
O,1552168081,311148,578
O,1552168082,311677,410
O,1552168083,312416,1173
O,1552168083,313005,1145
O,1552168084,314606,3723
O,1552168084,310563,4417
O,1552168085,310729,2187
O,1552168085,310073,1644
O,1552168086,311388,1474
O,1552168087,310453,2017
O,1552168087,311432,943
O,1552168088,311090,942
O,1552168088,311465,1443
O,1552168089,310667,452
O,1552168089,310571,1531
O,1552168090,311103,1898
O,1552168091,309488,3298
O,1552168091,311565,1110
O,1552168092,311321,225
O,1552168092,311405,753
T,1552168092,2826
P,1552168100,5162
P,1552168129,5159
P,1552168158,5161
P,1552168188,5161
P,1552168217,5160
P,1552168246,5161
P,1552168276,5162
P,1552168306,5162
D,1552168320,424704
D,1552168322,425472
D,1552168324,424960
D,1552168327,424448
D,1552168329,423936
D,1552168331,424192
D,1552168333,425728
P,1552168335,5162
D,1552168335,425984
D,1552168338,424448
D,1552168340,423680
D,1552168342,423424
D,1552168344,424448
D,1552168346,423936
D,1552168349,422912
D,1552168351,424192
D,1552168352,424448
D,1552168354,424704
D,1552168356,427520
D,1552168359,424448
D,1552168361,424448
D,1552168363,423424
P,1552168364,5160
D,1552168365,424448
D,1552168367,424704
D,1552168370,424704
D,1552168372,425216
D,1552168374,424960
D,1552168376,424704
D,1552168378,426240
D,1552168381,427264
D,1552168383,426240
D,1552168385,427264
D,1552168387,427008
D,1552168389,427776
D,1552168392,428032
D,1552168393,426496
P,1552168393,5066
D,1552168395,428544
D,1552168397,428544
