H,1554438957,299960
P,1554438957,5117
P,1554438986,5118
P,1554439015,5117
P,1554439045,5117
P,1554439074,5117
P,1554439104,5117
P,1554439133,5117
P,1554439163,5115
P,1554439192,5117
P,1554439221,5118
P,1554439251,5117
P,1554439280,5117
P,1554439309,5117
P,1554439338,5116
P,1554439368,5115
P,1554439398,5117
P,1554439427,5116
P,1554439456,5117
P,1554439486,5115
P,1554439515,5118
P,1554439544,5115
P,1554439574,5115
P,1554439603,5118
P,1554439632,5116
P,1554439661,5116
P,1554439692,5117
P,1554439721,5117
P,1554439750,5117
P,1554439780,5117
P,1554439809,5116
P,1554439838,5117
P,1554439867,5117
P,1554439897,5116
P,1554439926,5117
P,1554439955,5116
P,1554439986,5117
P,1554440015,5117
P,1554440044,5116
P,1554440073,5118
P,1554440103,5116
P,1554440132,5115
P,1554440161,5116
P,1554440191,5117
O,1554440211,318493,2049
O,1554440212,318668,77
O,1554440212,318650,81
O,1554440213,318660,145
O,1554440213,318672,97
O,1554440214,318686,114
O,1554440214,318652,103
O,1554440215,318658,113
O,1554440215,318652,120
O,1554440216,318652,103
O,1554440217,318663,113
O,1554440217,318664,138
O,1554440218,318661,90
O,1554440218,318675,115
O,1554440219,318652,130
O,1554440219,318655,176
O,1554440220,318655,144
P,1554440220,5109
O,1554440221,318655,84
O,1554440221,318652,130
O,1554440222,318656,122
O,1554440222,318661,59
O,1554440223,318666,74
O,1554440223,318672,93
O,1554440224,318677,84
O,1554440225,318660,104
O,1554440225,318675,65
O,1554440226,318672,88
O,1554440226,318687,53
O,1554440227,318677,83
O,1554440227,318657,72
O,1554440228,318686,93
O,1554440228,318665,90
O,1554440229,318664,84
O,1554440230,318664,86
O,1554440230,318661,120
O,1554440231,318660,88
O,1554440231,318644,102
O,1554440232,318663,65
O,1554440232,318652,121
O,1554440233,318679,106
O,1554440234,318658,109
O,1554440234,318674,119
O,1554440235,318650,106
O,1554440235,318677,103
O,1554440235,318662,125
O,1554440235,318668,86
O,1554440236,318663,98
O,1554440237,318661,68
O,1554440237,318659,153
O,1554440238,318678,123
O,1554440238,318659,107
O,1554440239,318654,41
O,1554440239,318656,87
O,1554440240,318667,64
O,1554440241,318658,90
O,1554440241,318675,83
O,1554440242,318660,100
O,1554440242,318680,108
O,1554440243,318664,102
O,1554440243,318686,107
O,1554440244,318668,71
O,1554440244,318671,84
O,1554440245,318685,93
O,1554440246,318667,140
O,1554440246,318679,91
O,1554440247,318694,74
O,1554440247,318677,146
O,1554440248,318672,94
O,1554440248,318674,60
O,1554440249,318665,159
P,1554440249,5107
O,1554440250,318662,97
O,1554440250,318672,138
O,1554440251,318675,62
O,1554440251,318680,116
O,1554440252,318679,65
O,1554440252,318690,124
O,1554440253,318659,56
O,1554440254,318667,102
O,1554440254,318671,103
O,1554440255,318678,85
O,1554440255,318647,95
O,1554440256,318669,59
O,1554440256,318668,119
O,1554440257,318637,98
O,1554440257,318666,136
O,1554440258,318668,57
O,1554440259,318673,91
O,1554440259,318666,89
O,1554440260,318680,110
O,1554440260,318676,63
O,1554440261,318666,67
O,1554440261,318668,98
O,1554440262,318671,132
O,1554440263,318660,107
O,1554440263,318673,84
O,1554440264,318687,63
O,1554440264,318685,62
O,1554440265,318672,103
O,1554440265,318670,107
O,1554440266,318684,94
O,1554440267,318654,54
T,1554440267,2728
P,1554440279,5116
P,1554440309,5116
P,1554440338,5116
P,1554440367,5116
P,1554440397,5116
P,1554440426,5117
P,1554440455,5115
P,1554440484,5117
P,1554440514,5115
P,1554440543,5117
P,1554440573,5117
P,1554440603,5115
P,1554440632,5116
P,1554440661,5117
P,1554440690,5116
P,1554440720,5116
P,1554440749,5116
P,1554440778,5116
P,1554440808,5116
P,1554440837,5117
P,1554440867,5116
P,1554440896,5118
P,1554440926,5117
P,1554440955,5117
P,1554440984,5116
P,1554441014,5116
P,1554441043,5116
P,1554441072,5116
P,1554441101,5115
P,1554441131,5116
P,1554441161,5116
P,1554441191,5117
P,1554441220,5117
P,1554441250,5116
P,1554441279,5116
P,1554441308,5116
P,1554441338,5115
P,1554441367,5117
P,1554441396,5116
P,1554441425,5117
P,1554441456,5115
P,1554441485,5116
P,1554441514,5117
P,1554441544,5116
P,1554441573,5116
P,1554441602,5116
P,1554441631,5115
P,1554441661,5117
P,1554441690,5116
P,1554441719,5116
P,1554441750,5116
P,1554441779,5115
P,1554441808,5117
P,1554441837,5116
P,1554441867,5115
P,1554441896,5115
