H,1555890260,299960
X,1555890260,650129,876
X,1555890261,650034,1829
X,1555890262,650012,884
A,1555890262,650178,434
T,1555890262,2815
X,1555890264,650102,1400
X,1555890264,649991,1258
X,1555890265,649993,1221
X,1555890265,650068,1173
X,1555890266,650147,1808
P,1555890266,5046
X,1555890266,650146,949
X,1555890267,649788,1308
X,1555890268,649727,1368
X,1555890268,649642,6680
X,1555890269,650147,1280
X,1555890269,649972,1710
X,1555890270,650104,1169
X,1555890270,650097,1338
X,1555890271,650099,980
X,1555890271,650094,901
X,1555890271,650236,690
X,1555890272,650289,1328
X,1555890272,650369,832
X,1555890273,650349,1067
X,1555890273,650297,776
X,1555890274,650267,889
X,1555890274,650207,695
X,1555890275,650152,1448
X,1555890276,650114,1115
X,1555890276,649919,818
X,1555890277,649966,1020
X,1555890277,649987,1055
X,1555890278,650017,554
X,1555890278,650053,2282
X,1555890279,650054,1164
X,1555890280,650106,687
X,1555890280,650049,830
X,1555890281,650045,572
X,1555890281,649923,919
X,1555890282,649965,930
X,1555890282,649934,992
X,1555890283,649880,5724
X,1555890283,650032,2433
X,1555890284,650122,828
X,1555890285,650204,1140
X,1555890285,650198,1000
X,1555890286,650149,860
X,1555890286,650351,654
A,1555890286,650124,450
T,1555890286,2815
X,1555890288,650598,947
X,1555890289,650562,1094
X,1555890289,650769,837
X,1555890290,650704,962
X,1555890291,650536,735
X,1555890291,650580,1342
X,1555890292,650312,1180
X,1555890292,650341,900
X,1555890293,650397,921
X,1555890293,650613,675
X,1555890294,650529,990
X,1555890295,650609,967
X,1555890295,650413,823
P,1555890295,5078
X,1555890296,650459,1145
X,1555890296,650473,981
X,1555890297,650496,859
X,1555890297,650503,1524
X,1555890298,650398,585
X,1555890298,650401,708
X,1555890299,650447,903
X,1555890300,650471,581
X,1555890300,650475,711
X,1555890301,650428,964
X,1555890301,650317,1545
X,1555890302,650403,570
X,1555890302,650470,630
A,1555890302,650498,428
T,1555890303,2815
X,1555890304,650267,1312
X,1555890305,650338,608
X,1555890306,650326,850
X,1555890306,650270,532
X,1555890307,650329,3191
X,1555890307,650344,827
X,1555890308,650251,430
X,1555890308,650222,697
X,1555890309,650245,794
X,1555890310,650133,1202
X,1555890310,650223,898
X,1555890311,650025,1150
X,1555890311,650143,835
X,1555890312,650117,688
X,1555890312,650087,850
X,1555890312,650265,1449
X,1555890312,650131,699
X,1555890313,650177,1247
X,1555890314,650170,665
X,1555890314,650149,549
X,1555890315,650519,3028
X,1555890315,649866,3209
X,1555890316,650312,1031
X,1555890316,650286,616
X,1555890317,650283,631
X,1555890318,650206,830
X,1555890318,650366,959
X,1555890319,650277,1426
X,1555890319,650294,876
X,1555890320,650305,757
A,1555890320,650237,279
T,1555890320,2815
X,1555890322,650228,1167
X,1555890322,650260,799
X,1555890323,650273,611
X,1555890323,650195,1032
X,1555890324,650327,2897
P,1555890324,5077
X,1555890325,650355,1237
X,1555890325,650431,1918
X,1555890326,651167,3095
X,1555890326,650729,5163
X,1555890327,650984,1707
X,1555890327,650861,1046
X,1555890328,650732,344
X,1555890329,650580,665
X,1555890329,650666,1077
X,1555890330,650666,1125
X,1555890330,650598,762
X,1555890331,650281,1362
X,1555890331,650232,596
X,1555890332,650254,719
X,1555890333,650226,674
X,1555890333,650299,1182
X,1555890334,650246,730
X,1555890334,650158,887
X,1555890335,650178,961
X,1555890335,650140,602
X,1555890336,650095,733
X,1555890337,650237,1313
X,1555890337,650210,848
X,1555890338,650222,1115
X,1555890338,650210,617
X,1555890339,650214,576
X,1555890339,650048,1181
X,1555890340,650226,1114
X,1555890340,650082,1060
X,1555890341,650108,888
X,1555890342,650169,750
X,1555890342,650118,575
X,1555890343,650077,843
A,1555890343,650253,655
T,1555890343,2815
X,1555890345,650114,706
X,1555890345,650078,612
X,1555890346,650107,1570
X,1555890346,650184,1178
X,1555890347,650083,970
X,1555890348,650105,896
X,1555890348,650144,703
X,1555890349,650019,1202
X,1555890349,650191,683
X,1555890350,650046,1688
X,1555890350,650117,1032
X,1555890351,650085,780
X,1555890351,649938,1000
X,1555890352,650123,1038
X,1555890353,650066,1015
X,1555890353,650097,807
X,1555890353,650000,1420
X,1555890353,650059,1517
P,1555890353,5078
