H,1556240982,290972
P,1556240982,5545
P,1556241011,5545
P,1556241040,5545
P,1556241070,5545
P,1556241099,5545
P,1556241128,5545
P,1556241157,5544
P,1556241187,5546
P,1556241216,5545
P,1556241246,5545
P,1556241276,5543
P,1556241305,5546
P,1556241334,5545
P,1556241363,5545
P,1556241393,5546
P,1556241422,5546
P,1556241451,5546
P,1556241481,5545
P,1556241510,5546
P,1556241540,5546
P,1556241569,5545
P,1556241599,5546
P,1556241628,5546
P,1556241657,5545
P,1556241687,5545
P,1556241716,5545
P,1556241745,5542
P,1556241774,5544
P,1556241804,5546
P,1556241834,5545
P,1556241863,5545
P,1556241893,5545
P,1556241922,5546
P,1556241951,5544
P,1556241980,5545
P,1556242010,5543
P,1556242039,5544
P,1556242068,5544
P,1556242098,5544
P,1556242128,5545
P,1556242157,5544
P,1556242186,5546
P,1556242216,5545
P,1556242245,5545
P,1556242274,5545
P,1556242303,5544
P,1556242333,5545
P,1556242362,5546
P,1556242391,5546
P,1556242422,5546
P,1556242451,5545
P,1556242480,5544
P,1556242509,5544
P,1556242539,5546
P,1556242568,5545
P,1556242597,5545
P,1556242627,5545
P,1556242656,5545
P,1556242685,5545
P,1556242715,5546
P,1556242745,5545
P,1556242774,5545
P,1556242803,5544
P,1556242833,5543
P,1556242862,5543
P,1556242892,5545
P,1556242921,5544
P,1556242951,5545
O,1556242964,310921,6492
O,1556242964,310957,4700
O,1556242965,311962,2762
O,1556242965,313088,3622
O,1556242966,313748,1254
O,1556242967,313236,2601
O,1556242967,313012,1171
O,1556242968,312549,4652
O,1556242968,312960,1041
O,1556242969,311690,1923
O,1556242969,312160,1348
O,1556242970,312908,1222
O,1556242971,313599,1513
O,1556242971,313229,1092
O,1556242972,313942,2277
O,1556242972,313603,2650
O,1556242973,315992,827
O,1556242973,315369,1246
O,1556242974,314812,1723
O,1556242975,315409,1023
O,1556242975,314671,1350
O,1556242976,314848,1443
O,1556242976,314571,1002
O,1556242977,314515,1092
O,1556242977,314175,2014
O,1556242978,316578,4054
O,1556242978,318325,3967
O,1556242979,318467,8043
O,1556242980,319124,6919
O,1556242980,316495,1092
P,1556242980,5536
O,1556242981,317277,3552
O,1556242981,314543,4715
O,1556242982,316495,2816
O,1556242982,316660,2275
O,1556242983,316972,5400
O,1556242984,316044,2572
O,1556242984,314697,3172
O,1556242985,315792,2478
O,1556242985,317430,2371
O,1556242986,317233,6859
O,1556242986,316430,4027
O,1556242987,316890,1388
O,1556242988,314595,4783
O,1556242988,314036,2085
O,1556242989,315395,576
O,1556242989,315477,334
O,1556242990,315614,597
O,1556242990,315726,482
O,1556242991,316466,1560
O,1556242991,314603,1303
O,1556242992,315004,1307
O,1556242993,314015,1460
O,1556242993,314126,1072
O,1556242994,313377,1411
O,1556242994,313134,1475
O,1556242995,313802,1210
O,1556242995,314160,1498
O,1556242996,312741,2728
O,1556242997,311843,3217
O,1556242997,311774,4317
O,1556242998,311547,3300
O,1556242998,310358,2525
O,1556242999,310688,2549
O,1556242999,309874,1875
O,1556243000,312084,3880
O,1556243001,312053,5424
O,1556243001,314277,3333
O,1556243001,315553,1990
O,1556243001,314054,2388
O,1556243002,313568,1180
O,1556243002,314357,1113
O,1556243003,314513,1445
O,1556243004,314668,1798
O,1556243004,315912,1236
O,1556243005,315763,1533
O,1556243005,314852,1667
O,1556243006,315475,975
O,1556243006,315704,768
O,1556243007,315466,580
O,1556243007,313130,2646
O,1556243008,313784,4850
O,1556243009,312801,5074
O,1556243009,310378,5590
P,1556243010,5534
O,1556243010,310069,4299
O,1556243010,308284,4801
O,1556243011,310000,1685
O,1556243011,310135,2266
O,1556243012,310410,5065
O,1556243013,308248,2019
O,1556243013,309520,1413
O,1556243014,308526,3426
O,1556243014,308159,3108
O,1556243015,308268,1655
O,1556243015,308511,4513
O,1556243016,305327,6165
O,1556243017,309413,5491
O,1556243017,311419,3050
O,1556243018,311180,2636
O,1556243018,308713,4640
O,1556243019,309253,5136
O,1556243019,310925,2845
T,1556243020,2794
P,1556243040,5546
P,1556243069,5544
P,1556243098,5542
P,1556243127,5543
P,1556243157,5544
P,1556243186,5543
P,1556243215,5544
P,1556243245,5545
P,1556243274,5543
P,1556243304,5545
P,1556243333,5543
P,1556243363,5545
P,1556243392,5545
P,1556243421,5544
P,1556243451,5544
P,1556243480,5544
P,1556243509,5545
P,1556243538,5544
P,1556243568,5546
P,1556243598,5546
P,1556243627,5544
P,1556243657,5545
P,1556243686,5544
P,1556243715,5545
P,1556243744,5545
P,1556243774,5544
P,1556243803,5545
P,1556243832,5544
P,1556243862,5544
P,1556243892,5542
P,1556243921,5544
P,1556243950,5545
P,1556243980,5543
