H,1556854041,290972
P,1556854041,5397
P,1556854070,5397
P,1556854100,5396
P,1556854129,5397
P,1556854158,5397
P,1556854188,5398
P,1556854217,5397
P,1556854246,5397
P,1556854275,5397
P,1556854305,5396
P,1556854335,5396
P,1556854364,5396
P,1556854394,5397
P,1556854423,5397
P,1556854452,5397
P,1556854481,5396
P,1556854511,5396
P,1556854540,5398
P,1556854569,5397
P,1556854599,5396
P,1556854629,5396
P,1556854658,5396
P,1556854687,5395
P,1556854717,5398
P,1556854746,5397
P,1556854775,5396
P,1556854805,5397
P,1556854834,5396
P,1556854863,5397
P,1556854892,5396
P,1556854923,5398
P,1556854952,5397
P,1556854981,5397
P,1556855011,5395
P,1556855040,5395
P,1556855069,5395
P,1556855098,5397
P,1556855128,5397
P,1556855157,5396
P,1556855186,5396
P,1556855217,5398
P,1556855246,5395
P,1556855275,5397
P,1556855304,5395
P,1556855334,5397
P,1556855363,5396
P,1556855392,5395
P,1556855422,5396
P,1556855451,5396
P,1556855480,5397
P,1556855510,5396
P,1556855540,5397
P,1556855569,5395
P,1556855598,5396
O,1556855603,300720,15456
O,1556855604,302248,100
O,1556855604,302293,185
O,1556855605,302250,167
O,1556855605,302572,334
O,1556855606,302566,101
O,1556855607,302453,169
O,1556855607,302356,223
O,1556855608,302317,243
O,1556855608,302356,365
O,1556855609,302353,162
O,1556855609,302308,212
O,1556855610,302391,223
O,1556855611,302468,269
O,1556855611,302381,147
O,1556855612,302446,159
O,1556855612,302460,196
O,1556855613,302565,243
O,1556855613,302587,127
O,1556855614,302519,160
O,1556855615,302655,122
O,1556855615,302403,128
O,1556855616,302379,226
O,1556855616,302335,555
O,1556855617,302472,479
O,1556855617,302253,232
O,1556855618,302265,205
O,1556855618,302206,197
O,1556855619,302287,162
O,1556855620,302268,128
O,1556855620,302240,247
O,1556855621,302347,173
O,1556855621,302343,190
O,1556855622,302375,295
O,1556855622,302348,272
O,1556855623,302376,154
O,1556855624,302440,140
O,1556855624,302493,256
O,1556855625,302470,223
O,1556855625,302383,162
O,1556855626,302479,84
O,1556855626,302490,140
O,1556855627,302559,114
O,1556855628,302551,144
P,1556855628,5387
O,1556855628,302435,233
O,1556855628,302389,219
O,1556855628,302385,365
O,1556855629,302317,163
O,1556855629,302175,183
O,1556855630,302233,412
O,1556855631,302278,103
O,1556855631,302347,223
O,1556855632,302173,377
O,1556855632,302380,412
O,1556855633,302453,241
O,1556855633,302543,137
O,1556855634,302470,144
O,1556855634,302472,140
O,1556855635,302418,252
O,1556855636,302364,89
O,1556855636,302328,222
O,1556855637,302421,160
O,1556855637,302423,149
O,1556855638,302412,154
O,1556855638,302396,150
O,1556855639,302413,192
O,1556855640,302493,229
O,1556855640,302443,170
O,1556855641,302578,201
O,1556855641,302706,176
O,1556855642,302694,136
O,1556855642,302590,152
O,1556855643,302635,155
O,1556855644,302696,250
O,1556855644,302751,115
O,1556855645,302849,242
O,1556855645,302854,200
O,1556855646,302860,146
O,1556855646,302837,82
O,1556855647,302801,165
O,1556855647,302704,154
O,1556855648,302674,190
O,1556855649,302814,319
O,1556855649,303030,171
O,1556855650,303144,149
O,1556855650,303198,163
O,1556855651,303014,152
O,1556855651,302973,220
O,1556855652,302809,80
O,1556855653,302730,254
O,1556855653,302595,200
O,1556855654,302492,133
O,1556855654,302546,261
O,1556855655,302557,229
O,1556855655,302252,501
O,1556855656,302158,220
O,1556855657,302056,604
P,1556855657,5385
O,1556855657,302014,456
O,1556855658,301795,760
O,1556855658,301460,693
O,1556855659,302015,924
T,1556855659,2807
P,1556855686,5397
P,1556855715,5397
P,1556855745,5395
P,1556855774,5387
P,1556855804,5395
P,1556855833,5398
P,1556855863,5396
P,1556855892,5398
P,1556855921,5396
P,1556855951,5396
P,1556855980,5395
P,1556856009,5397
P,1556856038,5397
P,1556856068,5397
P,1556856098,5396
P,1556856127,5394
P,1556856157,5396
P,1556856186,5396
P,1556856215,5397
P,1556856244,5396
P,1556856274,5395
P,1556856303,5395
P,1556856332,5395
P,1556856362,5396
P,1556856392,5395
P,1556856421,5396
P,1556856451,5397
P,1556856481,5397
P,1556856510,5395
P,1556856539,5396
P,1556856569,5396
P,1556856598,5396
P,1556856627,5396
P,1556856656,5396
P,1556856687,5397
P,1556856716,5395
P,1556856745,5396
P,1556856775,5397
P,1556856804,5397
P,1556856833,5397
P,1556856862,5396
P,1556856892,5396
P,1556856921,5395
P,1556856950,5396
P,1556856981,5396
