H,1558161240,290972
P,1558161240,5250
P,1558161270,5250
P,1558161299,5250
P,1558161328,5250
P,1558161358,5251
P,1558161387,5251
P,1558161416,5252
P,1558161445,5252
P,1558161475,5251
P,1558161505,5251
P,1558161534,5250
P,1558161564,5251
P,1558161593,5252
P,1558161622,5250
P,1558161651,5251
P,1558161681,5252
P,1558161710,5252
P,1558161739,5252
P,1558161769,5251
P,1558161799,5251
P,1558161828,5251
P,1558161857,5251
P,1558161887,5251
P,1558161916,5251
P,1558161945,5251
P,1558161975,5252
P,1558162004,5250
P,1558162033,5251
P,1558162062,5250
P,1558162093,5251
P,1558162122,5252
P,1558162151,5251
P,1558162181,5251
P,1558162210,5250
P,1558162239,5252
P,1558162269,5250
P,1558162299,5250
P,1558162328,5250
P,1558162357,5251
P,1558162387,5250
P,1558162417,5250
P,1558162446,5250
P,1558162475,5250
P,1558162505,5251
P,1558162534,5250
P,1558162563,5251
P,1558162592,5250
P,1558162622,5250
P,1558162651,5251
P,1558162681,5252
P,1558162711,5251
P,1558162740,5250
P,1558162769,5251
P,1558162798,5251
P,1558162828,5252
P,1558162857,5251
P,1558162886,5250
P,1558162916,5251
P,1558162945,5252
P,1558162975,5251
P,1558163004,5251
P,1558163034,5251
P,1558163063,5251
P,1558163092,5251
P,1558163122,5240
O,1558163122,294312,2004
O,1558163123,294605,105
O,1558163124,294645,122
O,1558163124,294708,180
O,1558163125,294721,92
O,1558163125,294692,119
O,1558163125,294692,127
O,1558163125,294769,112
O,1558163126,294749,138
O,1558163127,294663,282
O,1558163127,294593,131
O,1558163128,294328,145
O,1558163128,294471,200
O,1558163129,294742,231
O,1558163129,294922,198
O,1558163130,294940,114
O,1558163131,294873,180
O,1558163131,294845,145
O,1558163132,294923,166
O,1558163132,295008,58
O,1558163133,294998,99
O,1558163133,294963,129
O,1558163134,294937,81
O,1558163134,294964,112
O,1558163135,294945,95
O,1558163136,294987,126
O,1558163136,294905,159
O,1558163137,294952,142
O,1558163137,294947,173
O,1558163138,294852,162
O,1558163138,294894,105
O,1558163139,295071,166
O,1558163140,295106,97
O,1558163140,294948,166
O,1558163141,294925,84
O,1558163141,295056,188
O,1558163142,295056,71
O,1558163142,295152,100
O,1558163143,295166,141
O,1558163144,295190,174
O,1558163144,295159,105
O,1558163145,295098,95
O,1558163145,295047,74
O,1558163146,295012,100
O,1558163146,294971,109
O,1558163147,294931,163
O,1558163148,294980,155
O,1558163148,294934,135
O,1558163149,294899,196
O,1558163149,294908,115
O,1558163150,294950,151
O,1558163150,295017,116
O,1558163151,295107,96
P,1558163151,5241
O,1558163151,295094,178
O,1558163152,295043,190
O,1558163153,295068,86
O,1558163153,295104,121
O,1558163154,295076,122
O,1558163154,294958,121
O,1558163155,295024,145
O,1558163155,294941,154
O,1558163156,294880,215
O,1558163157,294703,200
O,1558163157,294859,297
O,1558163158,295086,109
O,1558163158,294954,239
O,1558163159,294818,153
O,1558163159,294988,242
O,1558163160,295033,149
O,1558163161,295152,162
O,1558163161,295186,87
O,1558163162,295217,104
O,1558163162,295277,101
O,1558163163,295268,81
O,1558163163,295305,151
O,1558163164,295307,113
O,1558163164,295293,68
O,1558163165,295262,69
O,1558163166,295295,147
O,1558163166,295242,144
O,1558163166,295256,117
O,1558163166,295202,155
O,1558163167,295171,127
O,1558163167,295159,181
O,1558163168,295165,76
O,1558163169,295157,106
O,1558163169,295146,301
O,1558163170,295103,153
O,1558163170,295067,170
O,1558163171,295205,118
O,1558163171,295220,111
O,1558163172,295257,141
O,1558163173,295212,157
O,1558163173,295292,166
O,1558163174,295261,166
O,1558163174,295287,123
O,1558163175,295244,127
O,1558163175,295358,142
O,1558163176,295322,92
O,1558163177,295315,107
O,1558163177,295255,138
T,1558163177,2883
P,1558163180,5252
P,1558163209,5250
P,1558163239,5252
P,1558163269,5251
P,1558163298,5252
P,1558163328,5251
P,1558163357,5251
P,1558163386,5251
P,1558163415,5251
P,1558163445,5251
P,1558163474,5251
P,1558163503,5251
P,1558163533,5250
P,1558163563,5251
P,1558163592,5250
P,1558163621,5252
P,1558163651,5252
P,1558163680,5250
P,1558163709,5252
P,1558163739,5250
P,1558163768,5251
P,1558163797,5251
P,1558163826,5250
P,1558163857,5251
P,1558163886,5251
P,1558163915,5252
P,1558163945,5251
P,1558163974,5251
P,1558164003,5252
P,1558164032,5251
P,1558164062,5250
P,1558164091,5252
P,1558164120,5250
P,1558164150,5251
P,1558164180,5252
P,1558164209,5251
P,1558164238,5252
