H,1549175641,274884
P,1549175641,5116
P,1549175670,5117
P,1549175699,5115
P,1549175729,5116
P,1549175758,5115
P,1549175787,5117
P,1549175816,5116
P,1549175846,5116
P,1549175875,5117
P,1549175904,5117
P,1549175935,5116
P,1549175964,5116
P,1549175993,5115
P,1549176022,5115
P,1549176052,5117
P,1549176081,5115
P,1549176110,5116
P,1549176140,5116
P,1549176169,5115
P,1549176198,5116
P,1549176228,5118
P,1549176258,5117
P,1549176287,5116
P,1549176316,5117
P,1549176346,5117
P,1549176375,5117
P,1549176405,5118
P,1549176434,5117
P,1549176464,5115
P,1549176493,5115
P,1549176523,5117
P,1549176553,5117
P,1549176582,5116
P,1549176611,5116
P,1549176640,5116
P,1549176670,5118
P,1549176699,5116
P,1549176728,5116
P,1549176758,5117
P,1549176787,5116
P,1549176817,5117
P,1549176846,5117
P,1549176876,5115
P,1549176905,5116
P,1549176934,5116
P,1549176964,5116
P,1549176993,5117
P,1549177022,5116
P,1549177051,5116
P,1549177081,5117
P,1549177111,5115
P,1549177140,5118
P,1549177170,5116
P,1549177199,5116
P,1549177228,5117
P,1549177257,5117
O,1549177261,268317,1631
O,1549177262,268441,121
O,1549177262,268420,133
O,1549177263,268390,130
O,1549177263,268391,144
O,1549177264,268406,116
O,1549177265,268468,108
O,1549177265,268415,116
O,1549177266,268447,160
O,1549177266,268430,126
O,1549177267,268384,94
O,1549177267,268357,74
O,1549177268,268469,88
O,1549177269,268445,116
O,1549177269,268457,112
O,1549177270,268413,142
O,1549177270,268347,118
O,1549177271,268296,79
O,1549177271,268314,68
O,1549177272,268344,94
O,1549177273,268314,115
O,1549177273,268328,133
O,1549177274,268224,108
O,1549177274,268187,94
O,1549177275,268230,126
O,1549177275,268260,108
O,1549177276,268184,113
O,1549177276,268274,135
O,1549177277,268366,137
O,1549177278,268371,129
O,1549177278,268399,97
O,1549177279,268434,64
O,1549177279,268502,130
O,1549177280,268485,74
O,1549177280,268508,75
O,1549177281,268510,113
O,1549177282,268612,106
O,1549177282,268639,124
O,1549177283,268636,153
O,1549177283,268497,197
O,1549177284,268440,115
O,1549177284,268444,32
O,1549177285,268443,71
O,1549177286,268422,140
O,1549177286,268420,106
O,1549177287,268385,66
P,1549177287,5107
O,1549177287,268337,98
O,1549177288,268328,95
O,1549177288,268309,135
O,1549177289,268283,175
O,1549177290,268298,124
O,1549177290,268255,143
O,1549177291,268144,107
O,1549177291,268078,153
O,1549177292,268078,114
O,1549177292,268152,147
O,1549177293,268204,86
O,1549177293,268238,80
O,1549177293,268264,176
O,1549177294,268322,145
O,1549177294,268341,109
O,1549177295,268151,437
O,1549177295,267983,204
O,1549177296,268131,318
O,1549177296,268239,305
O,1549177297,268204,188
O,1549177298,268207,284
O,1549177298,268135,132
O,1549177299,268248,156
O,1549177299,268319,139
O,1549177300,268318,106
O,1549177300,268400,151
O,1549177301,268266,127
O,1549177302,268252,173
O,1549177302,268121,267
O,1549177303,268280,247
O,1549177303,268326,256
O,1549177304,268310,126
O,1549177304,268369,184
O,1549177305,268366,122
O,1549177305,268366,121
O,1549177306,268470,108
O,1549177307,268512,90
O,1549177307,268534,69
O,1549177308,268510,113
O,1549177308,268520,63
O,1549177309,268481,109
O,1549177309,268419,112
O,1549177310,268414,90
O,1549177311,268414,92
O,1549177311,268450,144
O,1549177312,268454,131
O,1549177312,268496,109
O,1549177313,268473,82
O,1549177313,268418,157
O,1549177314,268440,124
O,1549177315,268433,135
O,1549177315,268457,98
O,1549177316,268391,157
P,1549177316,5109
O,1549177316,268410,93
O,1549177317,268450,112
T,1549177317,2737
P,1549177345,5115
P,1549177375,5117
P,1549177405,5116
P,1549177434,5114
P,1549177463,5116
P,1549177493,5116
P,1549177522,5114
P,1549177551,5115
P,1549177580,5117
P,1549177610,5115
P,1549177639,5115
P,1549177668,5116
P,1549177699,5114
P,1549177728,5116
P,1549177757,5115
P,1549177786,5116
P,1549177816,5115
P,1549177845,5115
P,1549177874,5116
P,1549177904,5117
P,1549177933,5115
P,1549177962,5117
P,1549177992,5115
P,1549178022,5116
P,1549178051,5116
P,1549178080,5116
P,1549178110,5116
P,1549178139,5116
P,1549178168,5115
P,1549178197,5117
P,1549178227,5116
P,1549178256,5115
P,1549178286,5116
P,1549178316,5115
P,1549178345,5116
P,1549178374,5116
P,1549178403,5116
P,1549178433,5117
P,1549178462,5116
P,1549178491,5116
P,1549178521,5114
P,1549178550,5115
P,1549178580,5116
P,1549178609,5116
P,1549178639,5115
