H,1549215538,274884
P,1549215538,5119
P,1549215567,5118
P,1549215596,5118
P,1549215626,5120
P,1549215655,5119
P,1549215685,5119
P,1549215714,5119
P,1549215744,5119
P,1549215773,5119
P,1549215803,5117
P,1549215833,5117
P,1549215862,5119
P,1549215891,5118
P,1549215920,5116
P,1549215950,5118
P,1549215979,5119
P,1549216008,5117
P,1549216038,5117
P,1549216067,5119
P,1549216097,5116
P,1549216126,5116
P,1549216156,5120
P,1549216185,5117
P,1549216214,5118
P,1549216244,5118
P,1549216273,5119
P,1549216302,5119
P,1549216331,5119
P,1549216361,5118
P,1549216391,5118
P,1549216420,5117
P,1549216450,5117
P,1549216479,5118
P,1549216508,5118
P,1549216537,5119
P,1549216567,5118
P,1549216596,5117
P,1549216625,5117
P,1549216655,5119
P,1549216685,5119
P,1549216714,5118
P,1549216743,5118
P,1549216773,5119
O,1549216784,268264,1729
O,1549216784,268438,95
O,1549216785,268429,170
O,1549216785,268456,118
O,1549216786,268500,68
O,1549216786,268532,81
O,1549216787,268548,77
O,1549216787,268587,147
O,1549216788,268621,87
O,1549216789,268762,205
O,1549216789,268791,145
O,1549216790,268710,139
O,1549216790,268603,146
O,1549216791,268526,58
O,1549216791,268547,64
O,1549216792,268537,108
O,1549216793,268518,158
O,1549216793,268519,110
O,1549216794,268572,133
O,1549216794,268536,102
O,1549216795,268551,111
O,1549216795,268473,83
O,1549216796,268481,66
O,1549216797,268481,119
O,1549216797,268496,87
O,1549216798,268511,99
O,1549216798,268514,72
O,1549216799,268518,110
O,1549216799,268529,94
O,1549216800,268532,78
O,1549216801,268547,92
O,1549216801,268566,168
O,1549216802,268555,122
P,1549216802,5109
O,1549216802,268574,111
O,1549216803,268541,108
O,1549216803,268583,101
O,1549216804,268598,82
O,1549216804,268560,136
O,1549216805,268519,114
O,1549216806,268506,115
O,1549216806,268491,58
O,1549216807,268511,79
O,1549216807,268519,111
O,1549216808,268445,122
O,1549216808,268344,109
O,1549216809,268422,107
O,1549216810,268344,162
O,1549216810,268206,291
O,1549216811,268192,127
O,1549216811,268276,177
O,1549216812,268237,115
O,1549216812,268221,90
O,1549216813,268276,140
O,1549216814,268296,148
O,1549216814,268329,105
O,1549216815,268324,140
O,1549216815,268347,106
O,1549216816,268356,110
O,1549216816,268371,92
O,1549216817,268441,156
O,1549216818,268444,92
O,1549216818,268428,89
O,1549216819,268427,94
O,1549216819,268420,82
O,1549216819,268454,156
O,1549216819,268455,147
O,1549216820,268452,92
O,1549216820,268428,113
O,1549216821,268423,61
O,1549216822,268436,97
O,1549216822,268444,108
O,1549216823,268459,128
O,1549216823,268467,90
O,1549216824,268474,120
O,1549216824,268473,105
O,1549216825,268477,63
O,1549216826,268531,124
O,1549216826,268529,112
O,1549216827,268529,86
O,1549216827,268534,121
O,1549216828,268517,124
O,1549216828,268463,68
O,1549216829,268446,98
O,1549216830,268487,99
O,1549216830,268459,109
O,1549216831,268468,60
P,1549216831,5107
O,1549216831,268487,122
O,1549216832,268402,60
O,1549216832,268411,103
O,1549216833,268410,136
O,1549216833,268392,71
O,1549216834,268397,101
O,1549216835,268400,101
O,1549216835,268414,66
O,1549216836,268362,113
O,1549216836,268382,122
O,1549216837,268374,106
O,1549216837,268352,150
O,1549216838,268378,110
O,1549216839,268395,118
O,1549216839,268429,123
T,1549216839,2739
P,1549216860,5117
P,1549216890,5117
P,1549216919,5118
P,1549216948,5118
P,1549216979,5119
P,1549217008,5117
P,1549217037,5118
P,1549217066,5117
P,1549217096,5119
P,1549217125,5118
P,1549217154,5118
P,1549217184,5118
P,1549217213,5119
P,1549217242,5118
P,1549217272,5116
P,1549217302,5117
P,1549217331,5118
P,1549217360,5118
P,1549217390,5118
P,1549217419,5118
P,1549217448,5118
P,1549217477,5117
P,1549217507,5117
P,1549217536,5118
P,1549217566,5117
P,1549217596,5117
P,1549217625,5117
P,1549217654,5117
P,1549217683,5118
P,1549217713,5117
P,1549217742,5118
P,1549217771,5118
P,1549217801,5117
P,1549217830,5118
P,1549217860,5117
P,1549217889,5119
P,1549217919,5118
P,1549217948,5118
P,1549217977,5118
P,1549218007,5118
P,1549218036,5119
P,1549218065,5119
P,1549218094,5118
P,1549218124,5118
P,1549218154,5119
P,1549218183,5119
P,1549218213,5119
P,1549218242,5119
P,1549218271,5120
P,1549218301,5118
P,1549218331,5117
P,1549218360,5118
P,1549218389,5118
P,1549218419,5118
P,1549218449,5117
P,1549218478,5119
P,1549218507,5118
P,1549218537,5118
