H,1551545369,268731
P,1551545369,5212
P,1551545398,5210
P,1551545427,5209
P,1551545458,5211
P,1551545487,5209
P,1551545516,5211
P,1551545545,5212
P,1551545575,5211
P,1551545604,5212
P,1551545633,5210
P,1551545663,5211
P,1551545692,5211
P,1551545721,5212
P,1551545751,5211
P,1551545781,5211
P,1551545810,5211
P,1551545839,5212
P,1551545869,5211
P,1551545898,5212
P,1551545927,5211
P,1551545956,5209
P,1551545986,5210
P,1551546015,5209
P,1551546045,5210
P,1551546075,5211
P,1551546104,5212
P,1551546133,5210
P,1551546162,5210
P,1551546192,5211
P,1551546221,5212
P,1551546250,5212
P,1551546280,5211
P,1551546309,5212
P,1551546339,5210
P,1551546368,5211
P,1551546398,5210
P,1551546427,5211
P,1551546456,5211
P,1551546485,5210
P,1551546515,5211
P,1551546544,5211
P,1551546573,5209
P,1551546603,5209
P,1551546633,5210
P,1551546663,5210
P,1551546692,5209
P,1551546722,5211
P,1551546751,5209
P,1551546780,5212
P,1551546810,5211
P,1551546839,5210
P,1551546868,5211
P,1551546897,5211
P,1551546928,5211
P,1551546957,5212
P,1551546986,5210
P,1551547016,5212
P,1551547045,5211
P,1551547074,5205
O,1551547074,272303,1637
O,1551547075,272417,465
O,1551547075,272180,111
O,1551547076,272121,265
O,1551547077,271895,206
O,1551547077,271805,107
O,1551547078,271445,659
O,1551547078,270224,1807
O,1551547079,269679,616
O,1551547079,270074,719
O,1551547080,270939,588
O,1551547080,270821,1292
O,1551547081,270752,893
O,1551547082,271425,208
O,1551547082,271746,349
O,1551547083,271527,192
O,1551547083,271770,290
O,1551547084,271686,175
O,1551547084,271836,116
O,1551547085,271782,146
O,1551547086,271742,189
O,1551547086,271652,444
O,1551547087,271615,316
O,1551547087,271706,99
O,1551547088,271772,249
O,1551547088,271869,94
O,1551547089,271912,106
O,1551547090,271935,147
O,1551547090,272005,120
O,1551547091,272034,101
O,1551547091,272058,66
O,1551547092,272093,65
O,1551547092,272064,110
O,1551547093,272035,57
O,1551547094,271963,77
O,1551547094,271935,111
O,1551547095,271865,70
O,1551547095,271875,107
O,1551547096,271729,187
O,1551547096,271762,163
O,1551547097,271809,227
O,1551547097,271856,188
O,1551547098,271697,173
O,1551547099,271651,94
O,1551547099,271678,118
O,1551547100,271700,210
O,1551547100,271843,133
O,1551547101,271803,109
O,1551547101,271789,185
O,1551547101,271694,104
O,1551547102,271711,152
O,1551547102,271806,170
O,1551547103,271858,128
P,1551547103,5202
O,1551547103,271832,145
O,1551547104,271758,156
O,1551547104,271666,155
O,1551547105,271410,377
O,1551547106,271108,730
O,1551547106,270842,311
O,1551547107,271161,419
O,1551547107,271238,281
O,1551547108,271343,489
O,1551547108,271691,288
O,1551547109,271725,156
O,1551547110,271765,172
O,1551547110,271783,122
O,1551547111,271859,93
O,1551547111,271859,107
O,1551547112,271781,162
O,1551547112,271760,149
O,1551547113,271741,79
O,1551547113,271846,132
O,1551547114,271912,175
O,1551547115,271780,134
O,1551547115,271781,111
O,1551547116,271800,136
O,1551547116,271680,154
O,1551547117,271822,148
O,1551547117,271823,117
O,1551547118,271873,79
O,1551547119,271819,133
O,1551547119,271856,96
O,1551547120,271837,82
O,1551547120,271749,154
O,1551547121,271754,180
O,1551547121,271769,119
O,1551547122,271852,183
O,1551547123,271820,131
O,1551547123,271568,301
O,1551547124,271332,238
O,1551547124,271365,251
O,1551547125,271401,137
O,1551547125,271496,183
O,1551547126,271539,165
O,1551547126,271567,209
O,1551547127,271677,157
O,1551547128,271732,135
O,1551547128,271615,136
O,1551547129,271755,76
O,1551547129,271709,87
O,1551547130,271372,505
T,1551547130,2819
P,1551547133,5212
P,1551547162,5211
P,1551547191,5209
P,1551547222,5210
P,1551547251,5211
P,1551547280,5210
P,1551547309,5210
P,1551547339,5211
P,1551547368,5211
P,1551547397,5209
P,1551547427,5210
P,1551547456,5208
P,1551547485,5211
P,1551547515,5212
P,1551547545,5210
P,1551547574,5212
P,1551547603,5209
P,1551547633,5210
P,1551547662,5212
P,1551547691,5210
P,1551547720,5212
P,1551547750,5210
P,1551547779,5211
P,1551547809,5211
P,1551547839,5211
P,1551547868,5210
P,1551547897,5209
P,1551547926,5210
P,1551547956,5211
P,1551547985,5210
P,1551548014,5211
P,1551548044,5210
P,1551548073,5212
P,1551548103,5211
P,1551548132,5211
P,1551548162,5211
P,1551548191,5211
P,1551548220,5209
P,1551548249,5209
P,1551548279,5208
P,1551548308,5212
