H,1551855891,268731
P,1551855891,5151
P,1551855920,5152
P,1551855949,5151
P,1551855979,5151
P,1551856008,5150
P,1551856038,5149
P,1551856068,5150
P,1551856097,5151
P,1551856127,5153
P,1551856156,5151
P,1551856186,5151
P,1551856215,5151
P,1551856244,5151
P,1551856274,5150
P,1551856303,5151
P,1551856333,5152
P,1551856362,5151
P,1551856392,5151
P,1551856421,5151
P,1551856450,5151
P,1551856480,5151
P,1551856509,5151
P,1551856538,5151
P,1551856567,5151
P,1551856597,5152
P,1551856627,5151
P,1551856656,5153
P,1551856685,5153
P,1551856715,5153
P,1551856744,5151
P,1551856773,5151
P,1551856803,5152
P,1551856832,5152
P,1551856861,5150
P,1551856890,5152
P,1551856921,5152
P,1551856950,5152
P,1551856979,5152
P,1551857009,5152
P,1551857038,5152
P,1551857067,5151
P,1551857096,5151
P,1551857126,5152
P,1551857155,5151
P,1551857184,5152
P,1551857215,5151
P,1551857244,5150
P,1551857273,5151
P,1551857302,5151
P,1551857332,5152
P,1551857361,5151
P,1551857390,5151
P,1551857420,5151
P,1551857449,5152
P,1551857478,5151
P,1551857508,5153
P,1551857538,5152
P,1551857567,5152
P,1551857596,5151
P,1551857626,5151
O,1551857637,266442,1625
O,1551857638,266573,136
O,1551857638,266584,103
O,1551857639,266645,172
O,1551857639,266589,104
O,1551857640,266600,133
O,1551857640,266668,110
O,1551857641,266658,120
O,1551857642,266636,182
O,1551857642,266663,68
O,1551857643,266637,96
O,1551857643,266647,141
O,1551857644,266646,144
O,1551857644,266652,140
O,1551857645,266665,102
O,1551857646,266651,91
O,1551857646,266676,96
O,1551857647,266584,135
O,1551857647,266615,121
O,1551857648,266597,75
O,1551857648,266606,120
O,1551857649,266652,94
O,1551857650,266615,184
O,1551857650,266604,126
O,1551857651,266703,92
O,1551857651,266665,98
O,1551857652,266726,81
O,1551857652,266666,113
O,1551857653,266648,95
O,1551857653,266609,92
O,1551857654,266614,153
O,1551857655,266643,78
P,1551857655,5141
O,1551857655,266598,110
O,1551857656,266636,133
O,1551857656,266734,44
O,1551857657,266688,98
O,1551857657,266697,104
O,1551857658,266683,126
O,1551857659,266670,144
O,1551857659,266670,121
O,1551857660,266681,147
O,1551857660,266647,111
O,1551857661,266678,93
O,1551857661,266683,87
O,1551857662,266670,92
O,1551857663,266671,175
O,1551857663,266657,130
O,1551857664,266660,115
O,1551857664,266662,82
O,1551857665,266706,87
O,1551857665,266689,79
O,1551857666,266688,112
O,1551857667,266625,139
O,1551857667,266558,76
O,1551857668,266633,110
O,1551857668,266602,88
O,1551857669,266625,130
O,1551857669,266628,79
O,1551857669,266635,93
O,1551857669,266699,150
O,1551857670,266712,119
O,1551857671,266711,82
O,1551857671,266717,79
O,1551857672,266730,87
O,1551857672,266739,57
O,1551857673,266720,100
O,1551857673,266727,109
O,1551857674,266697,67
O,1551857675,266668,140
O,1551857675,266619,131
O,1551857676,266580,77
O,1551857676,266592,112
O,1551857677,266601,70
O,1551857677,266622,62
O,1551857678,266621,116
O,1551857679,266614,79
O,1551857679,266630,55
O,1551857680,266636,103
O,1551857680,266588,107
O,1551857681,266576,112
O,1551857681,266573,113
O,1551857682,266561,187
O,1551857682,266596,172
O,1551857683,266674,106
O,1551857684,266689,85
P,1551857684,5141
O,1551857684,266671,85
O,1551857685,266687,78
O,1551857685,266674,111
O,1551857686,266651,149
O,1551857686,266664,73
O,1551857687,266683,99
O,1551857688,266676,68
O,1551857688,266712,135
O,1551857689,266688,77
O,1551857689,266702,149
O,1551857690,266688,135
O,1551857690,266688,106
O,1551857691,266630,148
O,1551857692,266657,103
O,1551857692,266665,113
O,1551857693,266617,138
T,1551857693,2764
P,1551857713,5151
P,1551857743,5152
P,1551857772,5152
P,1551857802,5152
P,1551857832,5151
P,1551857861,5152
P,1551857890,5152
P,1551857919,5151
P,1551857949,5151
P,1551857978,5151
P,1551858007,5152
P,1551858037,5152
P,1551858066,5153
P,1551858096,5152
P,1551858125,5153
P,1551858155,5150
P,1551858184,5153
P,1551858213,5151
P,1551858243,5152
P,1551858272,5152
P,1551858301,5151
P,1551858330,5152
P,1551858360,5153
P,1551858390,5153
P,1551858419,5153
P,1551858448,5152
P,1551858478,5151
P,1551858507,5151
P,1551858536,5152
P,1551858566,5152
P,1551858595,5153
P,1551858624,5152
P,1551858653,5150
P,1551858684,5152
P,1551858713,5153
P,1551858743,5153
P,1551858773,5153
P,1551858802,5151
P,1551858831,5153
