H,1552857743,268731
P,1552857743,5137
X,1552857743,619981,1388
X,1552857744,620078,1553
X,1552857744,620060,1389
X,1552857745,620155,1340
X,1552857746,620095,1560
X,1552857746,620034,1235
X,1552857747,620134,1349
X,1552857747,620195,1239
X,1552857748,620109,977
X,1552857748,620104,761
X,1552857749,619962,1546
X,1552857750,620121,681
X,1552857750,620000,1547
X,1552857751,620197,1549
X,1552857751,620125,1014
X,1552857752,620056,1183
X,1552857752,620025,1254
X,1552857753,620055,1855
X,1552857754,620116,1107
X,1552857754,620137,1335
X,1552857755,620060,1070
X,1552857755,619892,765
X,1552857755,620199,1552
X,1552857755,620122,1742
X,1552857756,620064,1356
X,1552857757,620126,1337
X,1552857757,619968,900
X,1552857758,620207,860
X,1552857758,620170,2287
X,1552857759,620166,1425
X,1552857759,620211,1242
X,1552857760,620118,1374
X,1552857760,620128,1017
X,1552857761,620172,1517
X,1552857762,620244,1376
X,1552857762,620121,1394
X,1552857763,620157,943
X,1552857763,620065,1548
X,1552857764,620188,918
X,1552857764,620231,1993
X,1552857765,620191,1128
X,1552857766,620185,1034
X,1552857766,620132,1528
X,1552857767,620184,1311
X,1552857767,620249,1572
X,1552857768,620182,932
X,1552857768,620105,1202
X,1552857769,620100,1584
X,1552857770,620092,1535
X,1552857770,620199,1386
X,1552857771,620124,1306
X,1552857771,620187,1052
X,1552857772,620059,1400
P,1552857772,5135
X,1552857772,620191,2076
X,1552857773,620169,2876
X,1552857773,620294,1336
X,1552857774,620187,1142
X,1552857775,620115,1253
X,1552857775,620143,1017
X,1552857776,620246,790
X,1552857776,620234,750
X,1552857777,620168,834
X,1552857777,620098,2119
X,1552857778,620204,1680
X,1552857779,620212,1802
X,1552857779,620184,1066
X,1552857780,620150,1020
X,1552857780,620124,1142
X,1552857781,620220,1537
X,1552857781,620223,1602
X,1552857782,620221,1288
X,1552857783,620194,1256
X,1552857783,620118,2158
X,1552857784,620507,3477
X,1552857784,619827,2532
X,1552857785,620287,1266
X,1552857785,620212,576
A,1552857785,620125,354
T,1552857786,2776
U,1552857786,57274
X,1552857787,620307,1276
X,1552857788,620193,2712
X,1552857788,620070,2859
X,1552857789,620288,2906
X,1552857790,620681,42231
X,1552857790,622503,31875
X,1552857791,620354,53883
X,1552857791,617857,64299
X,1552857792,620605,10430
X,1552857792,620346,2530
X,1552857793,620208,5323
X,1552857794,620795,14147
X,1552857794,619814,16628
X,1552857795,620264,8565
X,1552857795,620028,6199
X,1552857796,620177,6058
X,1552857796,620206,1805
X,1552857796,620168,2148
X,1552857797,620277,1270
X,1552857797,620214,1307
X,1552857798,619995,1561
X,1552857798,620213,1342
X,1552857799,620166,1857
X,1552857799,620114,1162
X,1552857800,620146,910
X,1552857801,620062,1702
X,1552857801,620218,862
P,1552857801,5134
X,1552857802,620107,1825
X,1552857802,620167,1158
X,1552857803,620110,945
X,1552857803,620057,1095
X,1552857804,620140,1185
X,1552857804,620159,1313
X,1552857805,620153,1236
X,1552857806,620172,1316
X,1552857806,619979,1309
X,1552857807,620184,1213
X,1552857807,620194,1757
X,1552857808,620175,898
X,1552857808,620193,1374
X,1552857809,620037,1266
X,1552857810,620320,1659
X,1552857810,620183,1923
X,1552857811,620195,1463
X,1552857811,620092,1314
X,1552857812,620069,1224
X,1552857812,620095,1429
X,1552857813,620212,2230
X,1552857814,620126,1533
X,1552857814,620165,1232
X,1552857815,620161,1033
X,1552857815,620234,901
X,1552857816,620257,1747
X,1552857816,620186,1488
X,1552857817,620169,876
X,1552857818,620097,1196
X,1552857818,620182,1384
X,1552857819,620177,1840
X,1552857819,620119,1244
X,1552857820,620134,1318
X,1552857820,620059,1113
X,1552857821,620216,1649
X,1552857821,620149,1861
X,1552857822,620169,1141
X,1552857823,620142,1339
X,1552857823,620042,1870
X,1552857824,620263,1675
X,1552857824,620164,1537
X,1552857825,620183,1108
X,1552857825,620186,1505
X,1552857826,620200,1419
X,1552857827,620249,1055
X,1552857827,620266,1674
X,1552857828,620220,1253
X,1552857828,620210,880
X,1552857829,620158,891
X,1552857829,620237,1263
X,1552857830,620256,1513
X,1552857831,620199,1100
X,1552857831,620122,844
P,1552857832,5135
X,1552857832,620105,1202
X,1552857832,620103,1124
X,1552857833,620346,1483
X,1552857833,620163,1451
X,1552857834,620111,1421
X,1552857834,620098,1510
X,1552857835,620120,1864
X,1552857836,620297,1827
