H,1555948800,268731
U,1555948800,0
E,1555948800,1
P,1555948801,5098
P,1555948830,5097
P,1555948860,5098
P,1555948889,5097
P,1555948918,5100
P,1555948947,5098
P,1555948977,5100
P,1555949006,5099
P,1555949035,5099
P,1555949065,5096
P,1555949095,5099
P,1555949125,5099
P,1555949154,5096
P,1555949184,5099
P,1555949213,5097
P,1555949242,5099
P,1555949272,5099
P,1555949301,5099
P,1555949330,5097
P,1555949359,5098
P,1555949390,5099
P,1555949419,5099
P,1555949448,5099
P,1555949478,5098
P,1555949507,5097
P,1555949536,5097
P,1555949565,5100
P,1555949595,5097
P,1555949624,5097
P,1555949653,5100
P,1555949684,5099
P,1555949713,5100
P,1555949742,5099
P,1555949771,5098
P,1555949801,5097
P,1555949830,5099
P,1555949859,5098
P,1555949889,5096
P,1555949918,5100
P,1555949947,5098
P,1555949977,5100
P,1555950007,5098
P,1555950036,5098
P,1555950065,5099
O,1555950087,253829,1968
O,1555950088,254119,507
O,1555950088,254424,136
O,1555950089,254606,269
O,1555950089,254580,356
O,1555950090,254693,294
O,1555950091,254785,303
O,1555950091,254835,240
O,1555950092,254914,222
O,1555950092,255023,356
O,1555950093,255120,142
O,1555950093,255080,451
O,1555950094,254788,580
O,1555950094,255297,316
P,1555950095,5089
O,1555950095,254846,582
O,1555950095,254870,265
O,1555950095,254921,299
O,1555950096,255031,335
O,1555950096,255023,227
O,1555950097,255201,289
O,1555950097,255196,779
O,1555950098,255132,534
O,1555950099,254953,826
O,1555950099,254985,427
O,1555950100,255147,577
O,1555950100,255089,404
O,1555950101,255802,1193
O,1555950101,256168,678
O,1555950102,256044,1034
O,1555950103,255365,819
O,1555950103,254701,1067
O,1555950104,254448,735
O,1555950104,254620,880
O,1555950105,255361,566
O,1555950105,255398,413
O,1555950106,255164,428
O,1555950107,255212,708
O,1555950107,255483,478
O,1555950108,255607,562
O,1555950108,255591,200
O,1555950109,255635,185
O,1555950109,255584,130
O,1555950110,255638,217
O,1555950110,255834,249
O,1555950111,255862,152
O,1555950112,255861,130
O,1555950112,255835,139
O,1555950113,255797,82
O,1555950113,255813,90
O,1555950114,255803,188
O,1555950114,255715,179
O,1555950115,255601,208
O,1555950116,255362,340
O,1555950116,255484,300
O,1555950117,255358,197
O,1555950117,255390,173
O,1555950118,255379,263
O,1555950118,255455,470
O,1555950119,255529,549
O,1555950120,255545,140
O,1555950120,255511,328
O,1555950121,255552,222
O,1555950121,255511,345
O,1555950122,255561,196
O,1555950122,255537,324
O,1555950123,255520,168
O,1555950124,255537,223
P,1555950124,5092
O,1555950124,255669,148
O,1555950125,255679,154
O,1555950125,255790,158
O,1555950126,255721,308
O,1555950126,255596,194
O,1555950127,255593,173
O,1555950127,255826,352
O,1555950128,255873,479
O,1555950129,255697,221
O,1555950129,255892,195
O,1555950130,255797,145
O,1555950130,255670,120
O,1555950131,255663,249
O,1555950131,255717,289
O,1555950132,255459,468
O,1555950133,255727,292
O,1555950133,255688,177
O,1555950134,255788,174
O,1555950134,255708,188
O,1555950135,255739,112
O,1555950135,255813,152
O,1555950136,255817,92
O,1555950136,255849,113
O,1555950136,255811,147
O,1555950137,255831,146
O,1555950137,255922,123
O,1555950138,255902,94
O,1555950138,255936,138
O,1555950139,255906,159
O,1555950140,255827,306
O,1555950140,255810,216
O,1555950141,255724,235
O,1555950141,255746,149
O,1555950142,255644,139
T,1555950142,2958
P,1555950153,5101
P,1555950182,5098
P,1555950212,5098
P,1555950241,5098
P,1555950271,5098
P,1555950300,5098
P,1555950330,5097
P,1555950359,5099
P,1555950388,5098
P,1555950418,5095
P,1555950447,5100
P,1555950476,5098
P,1555950505,5098
P,1555950535,5099
P,1555950565,5099
P,1555950594,5098
P,1555950624,5100
P,1555950653,5099
P,1555950682,5099
P,1555950711,5098
P,1555950741,5098
P,1555950770,5100
P,1555950799,5099
P,1555950829,5096
P,1555950859,5099
P,1555950888,5098
P,1555950917,5098
P,1555950947,5098
P,1555950976,5099
P,1555951005,5098
P,1555951035,5098
P,1555951064,5100
P,1555951093,5096
P,1555951122,5097
P,1555951153,5099
P,1555951182,5100
P,1555951211,5097
P,1555951241,5099
P,1555951270,5098
P,1555951299,5100
P,1555951328,5097
P,1555951358,5100
P,1555951387,5099
P,1555951416,5100
P,1555951447,5099
P,1555951476,5097
P,1555951505,5097
P,1555951534,5099
P,1555951564,5098
P,1555951593,5101
P,1555951622,5099
P,1555951652,5101
P,1555951681,5100
P,1555951710,5096
P,1555951741,5097
