H,1557111925,268731
X,1557111925,619715,2037
X,1557111926,619585,1901
X,1557111926,619849,2475
X,1557111927,619698,1753
X,1557111928,619682,2117
X,1557111928,619623,2017
X,1557111929,619664,1783
X,1557111929,619735,1856
X,1557111930,619755,1415
X,1557111930,619750,1733
X,1557111931,619659,1295
X,1557111932,619719,1973
X,1557111932,619799,1522
X,1557111933,619761,1142
X,1557111933,619579,1286
X,1557111934,619680,1701
X,1557111934,619783,4357
X,1557111935,619746,1198
X,1557111936,619721,3084
X,1557111936,619818,1734
X,1557111937,619746,3813
X,1557111937,619782,1585
X,1557111938,619620,2132
X,1557111938,619711,1744
X,1557111939,619756,2795
X,1557111940,619829,1709
X,1557111940,619823,1690
X,1557111941,619768,1760
X,1557111941,619710,1627
X,1557111942,619715,1237
X,1557111942,619638,1360
X,1557111943,619609,1692
X,1557111943,619716,1206
X,1557111944,619876,2287
X,1557111944,619757,1809
X,1557111944,619634,2003
X,1557111945,619755,2239
X,1557111945,619747,1300
X,1557111946,619602,1463
X,1557111946,619697,1557
P,1557111947,4876
X,1557111947,619717,2197
X,1557111948,619719,2548
X,1557111948,619778,2333
X,1557111949,619645,2230
X,1557111949,619713,2472
X,1557111950,619672,2768
X,1557111950,619747,1236
X,1557111951,619740,1622
X,1557111952,619673,1947
X,1557111952,619616,2224
X,1557111953,619771,1243
X,1557111953,619805,1885
X,1557111954,619667,1908
X,1557111954,619846,1987
X,1557111955,619683,4162
X,1557111955,619713,1222
X,1557111956,619671,1273
X,1557111957,619691,4093
X,1557111957,619594,2749
X,1557111958,619721,1111
X,1557111958,619679,1300
X,1557111959,619724,1977
X,1557111959,619634,2387
X,1557111960,619754,1945
X,1557111961,619755,1675
X,1557111961,619666,3414
X,1557111962,619456,5534
X,1557111962,619825,2000
X,1557111963,619713,1933
X,1557111963,619646,1515
X,1557111964,619740,1677
X,1557111965,619844,2050
X,1557111965,619691,2033
X,1557111966,619694,1751
X,1557111966,619858,873
X,1557111967,619734,2256
X,1557111967,619730,2059
X,1557111968,619676,2140
X,1557111969,619842,1810
X,1557111969,619827,3008
X,1557111970,619798,1466
X,1557111970,619783,1492
X,1557111971,619838,1800
X,1557111971,619809,1736
X,1557111972,619764,2721
X,1557111972,619723,2613
X,1557111973,619806,2156
X,1557111974,619745,1177
X,1557111974,619802,1355
X,1557111975,619681,2499
X,1557111975,619832,1290
X,1557111976,619719,1949
X,1557111976,619823,1833
X,1557111977,619656,2040
P,1557111977,4924
X,1557111978,619864,1487
X,1557111978,619756,2607
X,1557111979,619851,2011
X,1557111979,619734,1870
X,1557111980,619888,1898
X,1557111980,619796,4252
X,1557111981,619757,1657
X,1557111982,619720,2011
X,1557111982,619866,2099
X,1557111983,619846,3494
X,1557111983,619827,1716
X,1557111984,619688,2181
X,1557111984,619739,1757
X,1557111985,619884,2683
X,1557111985,619843,1171
X,1557111985,619937,2175
X,1557111986,619828,4176
X,1557111986,619959,2929
X,1557111987,619722,1459
X,1557111987,619877,2175
X,1557111988,619842,2129
X,1557111988,619918,1650
X,1557111989,619650,1679
X,1557111990,619775,1866
X,1557111990,619804,3351
X,1557111991,619875,3312
X,1557111991,619724,2101
X,1557111992,619940,1775
X,1557111992,619778,2115
X,1557111993,619860,1102
X,1557111994,619780,1144
X,1557111994,619908,2589
X,1557111995,619958,3578
X,1557111995,619932,1320
X,1557111996,619937,1873
X,1557111996,619781,1615
X,1557111997,619812,2236
X,1557111998,619913,2207
X,1557111998,619879,1920
X,1557111999,619571,2702
X,1557111999,619860,1922
X,1557112000,619892,1853
X,1557112000,619951,2248
X,1557112001,619757,4296
X,1557112001,620007,1664
X,1557112002,619926,1639
X,1557112003,619931,1430
X,1557112003,619966,4870
X,1557112004,620012,1301
X,1557112004,619944,1428
X,1557112005,619977,2468
X,1557112005,619785,4098
X,1557112006,620056,1879
P,1557112006,4924
X,1557112007,619913,1761
X,1557112007,619815,1547
X,1557112008,619831,1271
X,1557112008,620001,2580
X,1557112009,619984,1533
X,1557112009,619818,2203
X,1557112010,619901,1991
X,1557112011,620091,1644
X,1557112011,619954,1732
X,1557112012,619895,2583
X,1557112012,620011,1336
X,1557112013,619977,2134
X,1557112013,619945,1243
X,1557112014,619919,1924
X,1557112015,620069,1172
X,1557112015,620089,2280
X,1557112016,620054,1886
X,1557112016,619933,1689
X,1557112017,620138,1173
X,1557112017,620234,4166
X,1557112018,620118,2147
