H,1551375537,268731
P,1551375537,5259
P,1551375566,5259
P,1551375596,5257
P,1551375626,5257
P,1551375655,5257
P,1551375684,5259
P,1551375714,5259
P,1551375743,5259
P,1551375772,5257
P,1551375802,5259
P,1551375831,5259
P,1551375860,5258
P,1551375889,5260
P,1551375920,5256
P,1551375949,5259
P,1551375978,5259
P,1551376008,5259
P,1551376037,5259
P,1551376066,5259
P,1551376095,5258
P,1551376125,5258
P,1551376154,5258
P,1551376183,5257
P,1551376214,5258
P,1551376244,5258
P,1551376273,5258
P,1551376302,5259
P,1551376332,5259
P,1551376361,5259
P,1551376390,5257
P,1551376420,5258
P,1551376449,5257
P,1551376478,5257
P,1551376508,5255
P,1551376538,5259
P,1551376567,5258
P,1551376596,5257
P,1551376626,5258
P,1551376655,5259
P,1551376684,5258
P,1551376713,5258
P,1551376743,5258
P,1551376772,5258
P,1551376802,5256
P,1551376831,5258
P,1551376861,5256
P,1551376890,5257
P,1551376919,5258
P,1551376949,5258
P,1551376978,5258
P,1551377007,5258
P,1551377036,5258
P,1551377066,5259
P,1551377096,5259
P,1551377125,5257
P,1551377155,5259
P,1551377184,5256
P,1551377213,5258
P,1551377242,5258
P,1551377272,5258
P,1551377301,5257
O,1551377318,268047,2308
O,1551377319,269013,848
O,1551377319,269307,337
O,1551377320,268875,351
O,1551377320,268912,743
O,1551377321,268846,419
O,1551377322,268970,232
O,1551377322,268872,234
O,1551377323,268783,134
O,1551377323,268983,360
O,1551377323,268636,636
O,1551377323,268374,568
O,1551377324,268487,200
O,1551377325,268547,346
O,1551377325,268809,426
O,1551377326,269085,109
O,1551377326,269074,295
O,1551377327,268880,207
O,1551377327,269018,482
O,1551377328,268714,304
O,1551377329,269022,458
O,1551377329,269193,196
O,1551377330,268817,299
O,1551377330,268888,356
P,1551377330,5250
O,1551377331,269116,521
O,1551377331,268541,1206
O,1551377332,268001,780
O,1551377332,268226,334
O,1551377333,268093,702
O,1551377334,268517,790
O,1551377334,268124,930
O,1551377335,269002,678
O,1551377335,269259,852
O,1551377336,269250,383
O,1551377336,269063,616
O,1551377337,268978,367
O,1551377338,269211,220
O,1551377338,269067,551
O,1551377339,269015,360
O,1551377339,269007,536
O,1551377340,269268,489
O,1551377340,268960,137
O,1551377341,268834,311
O,1551377342,268911,227
O,1551377342,268742,181
O,1551377343,268735,852
O,1551377343,268413,717
O,1551377344,268524,443
O,1551377344,268254,391
O,1551377345,268761,923
O,1551377346,269018,381
O,1551377346,268358,536
O,1551377347,268614,228
O,1551377347,268813,555
O,1551377348,268777,502
O,1551377348,269004,140
O,1551377349,268992,332
O,1551377349,268638,142
O,1551377350,268836,105
O,1551377351,268790,191
O,1551377351,268832,159
O,1551377352,268817,132
O,1551377352,268876,134
O,1551377353,268942,118
O,1551377353,268937,159
O,1551377354,268836,93
O,1551377355,268828,141
O,1551377355,268783,149
O,1551377356,268900,172
O,1551377356,268909,104
O,1551377357,268900,103
O,1551377357,268738,90
O,1551377358,268804,123
O,1551377359,268756,106
O,1551377359,268739,115
O,1551377360,268745,171
O,1551377360,268788,158
P,1551377360,5248
O,1551377361,268724,131
O,1551377361,268709,145
O,1551377362,268621,180
O,1551377362,268706,277
O,1551377363,268660,471
O,1551377364,268763,234
O,1551377364,268234,655
O,1551377364,267855,296
O,1551377364,267828,415
O,1551377365,268167,406
O,1551377365,267970,426
O,1551377366,267812,497
O,1551377367,267873,334
O,1551377367,268019,407
O,1551377368,268326,449
O,1551377368,268582,194
O,1551377369,268611,136
O,1551377369,268850,306
O,1551377370,269021,204
O,1551377371,268869,136
O,1551377371,268820,263
O,1551377372,269126,317
O,1551377372,269009,176
O,1551377373,268903,672
T,1551377373,2836
P,1551377390,5256
P,1551377419,5256
P,1551377448,5257
P,1551377478,5258
P,1551377507,5256
P,1551377536,5257
P,1551377566,5257
P,1551377595,5257
P,1551377624,5258
P,1551377653,5258
P,1551377684,5257
P,1551377713,5257
P,1551377742,5256
P,1551377772,5258
P,1551377801,5257
P,1551377830,5257
P,1551377859,5257
P,1551377889,5257
P,1551377918,5258
P,1551377947,5258
P,1551377978,5257
P,1551378007,5255
P,1551378036,5258
P,1551378065,5257
P,1551378095,5259
P,1551378124,5257
P,1551378153,5256
P,1551378183,5257
P,1551378212,5257
P,1551378241,5257
P,1551378271,5257
P,1551378301,5257
P,1551378330,5258
P,1551378359,5258
P,1551378389,5258
P,1551378418,5257
P,1551378447,5255
P,1551378476,5257
P,1551378506,5258
P,1551378535,5256
