H,1553055498,268731
P,1553055498,5134
P,1553055527,5132
P,1553055556,5132
P,1553055585,5133
P,1553055615,5134
P,1553055644,5134
P,1553055673,5132
P,1553055703,5134
P,1553055732,5133
P,1553055761,5133
P,1553055791,5133
P,1553055821,5133
P,1553055850,5133
P,1553055879,5134
P,1553055909,5132
P,1553055938,5133
P,1553055967,5134
P,1553055996,5134
P,1553056026,5133
P,1553056055,5133
P,1553056085,5134
P,1553056115,5132
P,1553056144,5132
P,1553056173,5133
P,1553056202,5132
P,1553056232,5133
P,1553056261,5134
P,1553056290,5134
P,1553056320,5134
P,1553056349,5133
P,1553056379,5133
P,1553056408,5134
P,1553056438,5134
P,1553056467,5133
P,1553056496,5134
P,1553056525,5132
P,1553056555,5134
P,1553056584,5133
P,1553056613,5135
P,1553056643,5133
P,1553056673,5133
P,1553056702,5133
P,1553056731,5134
P,1553056761,5134
P,1553056790,5133
P,1553056819,5134
D,1553056832,394496
R,1553056832,700D9DFBA
R,1553056832,700D9DFBA
R,1553056832,700D9DFBA
X,1553056834,588230,36862
X,1553056835,588119,57051
X,1553056835,587502,42138
X,1553056836,587203,38812
X,1553056836,588599,6007
X,1553056837,588408,6221
X,1553056838,588121,11876
X,1553056838,588504,16629
X,1553056839,587615,6314
X,1553056839,587675,13012
X,1553056840,587941,19165
X,1553056840,587925,3972
X,1553056841,587897,3751
X,1553056842,587443,18914
X,1553056842,587966,4515
X,1553056843,588096,4535
X,1553056843,588001,3742
X,1553056844,589519,39168
X,1553056844,586404,11822
X,1553056845,583199,37609
X,1553056845,590106,21159
X,1553056846,588065,3164
X,1553056847,587641,4294
X,1553056847,587875,3700
X,1553056848,588557,3021
X,1553056848,590500,6237
X,1553056849,590054,44415
P,1553056849,5127
X,1553056849,588825,6680
X,1553056850,590293,33445
X,1553056851,583968,54385
X,1553056851,589601,38974
X,1553056852,450728,42352
X,1553056852,266331,651
X,1553056853,266370,171
X,1553056853,266418,104
X,1553056853,266282,100
X,1553056854,266211,184
X,1553056854,266088,159
X,1553056855,266079,125
X,1553056855,265986,233
X,1553056856,265882,122
X,1553056856,265865,146
X,1553056857,265994,175
O,1553056858,266004,107
O,1553056858,266017,156
O,1553056859,266130,158
O,1553056859,266000,153
O,1553056860,265906,74
O,1553056860,265888,124
O,1553056861,265700,232
O,1553056861,265608,230
O,1553056862,265561,102
O,1553056863,265542,57
O,1553056863,265516,95
O,1553056864,265565,133
O,1553056864,265324,324
O,1553056865,265401,325
O,1553056865,265432,203
O,1553056866,265332,105
O,1553056867,265317,139
O,1553056867,265473,183
O,1553056868,265325,124
O,1553056868,265241,230
O,1553056869,265308,107
O,1553056869,265378,353
O,1553056870,265189,200
O,1553056871,265256,121
O,1553056871,265153,131
O,1553056872,265133,169
O,1553056872,265050,377
O,1553056873,265177,241
O,1553056873,265086,153
O,1553056874,265193,276
O,1553056874,265212,215
O,1553056875,265179,161
O,1553056876,265212,179
O,1553056876,265182,282
O,1553056877,264979,358
O,1553056877,265093,230
O,1553056878,265192,424
P,1553056878,5123
O,1553056878,265281,187
O,1553056879,265258,130
O,1553056880,265255,115
O,1553056880,265280,133
O,1553056881,265197,152
O,1553056881,265182,349
O,1553056882,265264,210
O,1553056882,265250,158
O,1553056883,265185,268
O,1553056884,265205,193
O,1553056884,265215,264
O,1553056885,265278,115
O,1553056885,265291,169
O,1553056886,265377,99
O,1553056886,265400,127
O,1553056887,265289,181
O,1553056888,265265,195
O,1553056888,265276,182
O,1553056889,265387,104
O,1553056889,265237,82
O,1553056890,265359,140
O,1553056890,265348,141
O,1553056891,265300,124
O,1553056891,265397,164
O,1553056892,265444,111
O,1553056893,265429,85
O,1553056893,265435,64
O,1553056894,265501,151
O,1553056894,265515,126
O,1553056894,265528,74
O,1553056894,265543,65
O,1553056895,265504,80
O,1553056896,265531,112
O,1553056896,265529,121
O,1553056897,265519,64
O,1553056897,265505,91
O,1553056898,265494,79
O,1553056898,265492,118
O,1553056899,265513,114
O,1553056900,265480,131
O,1553056900,265440,75
O,1553056901,265457,86
O,1553056901,265430,79
O,1553056902,265390,152
O,1553056902,265373,79
O,1553056903,265383,110
O,1553056904,265375,116
O,1553056904,265381,115
O,1553056905,265413,52
O,1553056905,265425,88
O,1553056906,265437,99
O,1553056906,265399,159
O,1553056907,265612,113
T,1553056907,2744
