H,1555820856,268731
P,1555820856,5072
P,1555820886,5073
P,1555820916,5074
P,1555820945,5074
P,1555820974,5072
P,1555821004,5071
P,1555821033,5073
P,1555821062,5072
P,1555821091,5073
P,1555821121,5071
P,1555821150,5070
P,1555821180,5073
P,1555821210,5075
P,1555821239,5074
P,1555821268,5075
P,1555821297,5073
P,1555821327,5071
P,1555821356,5072
P,1555821385,5074
P,1555821415,5072
P,1555821444,5071
P,1555821474,5072
P,1555821503,5072
P,1555821533,5074
P,1555821562,5072
P,1555821591,5072
P,1555821621,5073
P,1555821650,5074
P,1555821679,5074
P,1555821708,5074
P,1555821738,5073
P,1555821768,5073
P,1555821797,5074
P,1555821826,5074
P,1555821856,5073
P,1555821885,5073
P,1555821914,5073
P,1555821944,5073
P,1555821973,5074
P,1555822002,5073
P,1555822031,5073
O,1555822061,264706,1659
P,1555822062,5065
O,1555822062,264837,123
O,1555822062,264870,56
O,1555822063,264854,116
O,1555822063,264853,83
O,1555822064,264854,71
O,1555822065,264890,120
O,1555822065,264935,71
O,1555822066,264916,80
O,1555822066,264865,93
O,1555822067,264837,134
O,1555822067,264912,78
O,1555822068,264914,138
O,1555822069,264904,184
O,1555822069,264872,81
O,1555822070,264784,130
O,1555822070,264776,149
O,1555822071,264822,141
O,1555822071,264823,114
O,1555822072,264854,137
O,1555822072,264820,133
O,1555822072,264857,102
O,1555822073,264825,103
O,1555822073,264819,73
O,1555822074,264828,82
O,1555822074,264806,97
O,1555822075,264771,63
O,1555822076,264771,73
O,1555822076,264813,107
O,1555822077,264785,87
O,1555822077,264792,99
O,1555822078,264790,166
O,1555822078,264743,99
O,1555822079,264780,142
O,1555822079,264788,142
O,1555822080,264790,146
O,1555822081,264807,84
O,1555822081,264825,131
O,1555822082,264817,111
O,1555822082,264825,75
O,1555822083,264845,70
O,1555822083,264810,84
O,1555822084,264813,63
O,1555822085,264750,85
O,1555822085,264775,110
O,1555822086,264779,123
O,1555822086,264793,143
O,1555822087,264848,91
O,1555822087,264882,94
O,1555822088,264879,102
O,1555822089,264843,118
O,1555822089,264854,114
O,1555822090,264850,90
O,1555822090,264839,104
P,1555822091,5065
O,1555822091,264839,65
O,1555822091,264814,81
O,1555822092,264803,99
O,1555822092,264813,63
O,1555822093,264765,82
O,1555822094,264717,84
O,1555822094,264579,125
O,1555822095,264610,121
O,1555822095,264671,213
O,1555822096,264782,89
O,1555822096,264825,78
O,1555822097,264812,61
O,1555822098,264826,98
O,1555822098,264812,97
O,1555822099,264813,111
O,1555822099,264767,65
O,1555822100,264700,129
O,1555822100,264697,63
O,1555822101,264735,131
O,1555822102,264816,124
O,1555822102,264800,71
O,1555822103,264797,104
O,1555822103,264797,89
O,1555822104,264840,125
O,1555822104,264854,99
O,1555822105,264824,114
O,1555822106,264824,68
O,1555822106,264821,139
O,1555822107,264838,104
O,1555822107,264841,110
O,1555822108,264831,133
O,1555822108,264838,62
O,1555822109,264833,103
O,1555822109,264826,128
O,1555822110,264842,112
O,1555822111,264833,131
O,1555822111,264846,73
O,1555822112,264849,98
O,1555822112,264843,75
O,1555822113,264845,85
O,1555822113,264817,101
O,1555822113,264870,101
O,1555822114,264794,159
O,1555822114,264726,106
O,1555822115,264718,113
O,1555822115,264772,118
O,1555822116,264766,91
T,1555822116,2813
P,1555822120,5072
P,1555822150,5071
P,1555822179,5073
P,1555822208,5073
P,1555822237,5073
P,1555822267,5074
P,1555822296,5072
P,1555822325,5074
P,1555822356,5071
P,1555822385,5073
P,1555822414,5073
P,1555822443,5074
P,1555822473,5073
P,1555822502,5074
P,1555822531,5073
P,1555822561,5073
P,1555822590,5073
P,1555822619,5075
P,1555822649,5073
P,1555822679,5075
P,1555822708,5074
P,1555822737,5074
P,1555822767,5072
P,1555822796,5074
P,1555822825,5073
P,1555822854,5074
P,1555822884,5073
P,1555822913,5074
P,1555822943,5074
P,1555822973,5072
P,1555823002,5074
P,1555823031,5073
P,1555823060,5073
P,1555823090,5073
P,1555823119,5074
P,1555823148,5074
P,1555823178,5073
P,1555823207,5074
P,1555823237,5071
P,1555823266,5074
P,1555823296,5074
P,1555823326,5074
P,1555823355,5073
P,1555823385,5073
P,1555823414,5075
P,1555823443,5074
P,1555823472,5072
P,1555823502,5074
P,1555823532,5075
P,1555823561,5072
P,1555823590,5074
P,1555823620,5073
P,1555823649,5074
P,1555823678,5074
P,1555823708,5073
P,1555823737,5073
P,1555823766,5073
P,1555823795,5074
