H,1560998388,289363
X,1560998388,599316,1274
X,1560998388,599064,2260
X,1560998389,599181,1228
X,1560998389,599371,1699
X,1560998389,599311,1745
P,1560998389,5328
X,1560998390,599192,1190
X,1560998390,599184,1741
X,1560998391,599254,1586
X,1560998391,599232,2021
X,1560998392,599974,9214
X,1560998392,598867,1976
X,1560998393,599159,1561
X,1560998393,599106,1810
X,1560998394,599128,1519
X,1560998395,599089,1291
X,1560998395,598979,2738
X,1560998396,599180,1200
X,1560998396,599325,6048
X,1560998397,599204,1163
X,1560998397,599118,1047
X,1560998398,598911,1269
X,1560998399,599271,1977
X,1560998399,599529,1689
X,1560998400,598634,3355
X,1560998400,599387,1505
X,1560998401,599042,3378
X,1560998401,599640,5470
X,1560998402,599243,1616
X,1560998403,599246,1603
X,1560998403,599264,1902
X,1560998404,599222,6137
X,1560998404,599655,3435
X,1560998405,599410,1554
X,1560998405,599470,1689
X,1560998406,599369,1642
X,1560998407,599376,1758
X,1560998407,599272,2223
X,1560998408,599242,753
X,1560998408,599087,811
X,1560998409,599071,1425
X,1560998409,599100,2078
X,1560998410,598962,1181
X,1560998410,599249,31352
X,1560998411,598917,2973
X,1560998412,598766,1745
X,1560998412,598389,1895
X,1560998413,598497,499
X,1560998413,598727,1815
X,1560998414,598869,2248
X,1560998414,598734,2320
X,1560998415,598671,1378
X,1560998416,598642,1873
X,1560998416,598357,1710
X,1560998417,598383,1570
X,1560998417,598734,4698
X,1560998418,599106,3064
X,1560998418,598967,1181
X,1560998419,598912,1204
P,1560998419,5333
X,1560998420,598955,1294
X,1560998420,598916,1264
X,1560998421,599014,1336
X,1560998421,599037,1685
X,1560998422,598917,2216
X,1560998422,599004,34082
X,1560998423,599027,2392
X,1560998424,599019,1725
X,1560998424,599225,1352
X,1560998425,599334,759
X,1560998425,599325,845
X,1560998426,599003,1733
X,1560998426,598935,1339
X,1560998427,599102,1201
X,1560998427,599059,8346
X,1560998428,599221,1941
X,1560998429,599233,1625
X,1560998429,599235,2803
X,1560998430,599139,2811
X,1560998430,599335,1575
X,1560998430,599218,1481
X,1560998430,599255,1142
X,1560998431,599769,12705
X,1560998432,598294,14490
X,1560998432,599153,2419
X,1560998433,599094,1639
X,1560998433,599099,1870
X,1560998434,599080,1099
X,1560998434,599299,1046
X,1560998435,599152,2098
X,1560998436,599055,1779
X,1560998436,598991,1631
X,1560998437,598886,838
X,1560998437,599114,1657
X,1560998438,598842,1601
X,1560998438,598768,1910
X,1560998439,598528,1923
X,1560998440,598968,7463
X,1560998440,598948,1876
X,1560998441,598816,1296
X,1560998441,598890,950
X,1560998442,598793,5338
X,1560998442,598956,4429
X,1560998443,599308,6211
X,1560998443,598988,1558
X,1560998444,599050,907
X,1560998445,598899,1585
X,1560998445,599117,1627
X,1560998446,598940,14533
X,1560998446,599028,1694
X,1560998447,599120,1493
X,1560998447,599112,1155
X,1560998448,599138,2126
P,1560998449,5333
X,1560998449,599037,3215
X,1560998449,599172,4045
X,1560998450,599225,1723
X,1560998450,599241,961
X,1560998451,599084,697
X,1560998451,599058,1295
X,1560998452,598802,20195
X,1560998453,599051,3228
X,1560998453,599092,1695
X,1560998454,599098,1556
X,1560998454,599246,1684
X,1560998455,599235,6628
X,1560998455,599155,1847
X,1560998456,599080,1005
X,1560998457,599085,829
X,1560998457,599086,1854
X,1560998458,599029,3516
X,1560998458,599201,1704
X,1560998459,599156,1764
X,1560998459,599094,1031
X,1560998460,599147,704
X,1560998460,599164,1153
X,1560998461,599091,1923
X,1560998462,599090,1159
X,1560998462,599030,1361
X,1560998463,598683,21928
X,1560998463,599124,22898
X,1560998464,599123,1356
X,1560998464,599158,749
X,1560998465,599084,624
A,1560998465,599103,837
T,1560998465,2914
R,1560998465,700D9DFCC
X,1560998467,599097,1182
X,1560998468,599108,892
X,1560998468,600053,10309
X,1560998469,598296,6015
X,1560998469,599217,2467
X,1560998470,599197,1267
X,1560998470,599160,1687
X,1560998471,599682,3833
X,1560998471,598966,1911
X,1560998471,599487,10738
X,1560998472,599275,2750
X,1560998472,599160,1157
X,1560998473,599271,2532
X,1560998473,599263,3331
X,1560998474,599132,12449
X,1560998474,599193,1762
X,1560998475,599179,2613
X,1560998476,599159,1777
X,1560998476,598996,2829
X,1560998477,599385,1657
X,1560998477,599179,2947
P,1560998478,5338
X,1560998478,599223,1633
X,1560998478,599174,1074
