H,1561236984,289363
P,1561236984,5309
P,1561237014,5311
P,1561237043,5309
P,1561237072,5310
P,1561237102,5311
P,1561237131,5308
P,1561237160,5311
P,1561237189,5311
P,1561237219,5311
P,1561237249,5309
P,1561237278,5312
P,1561237307,5309
P,1561237337,5310
P,1561237366,5309
P,1561237395,5309
P,1561237425,5309
P,1561237454,5308
P,1561237483,5312
P,1561237512,5310
P,1561237543,5310
P,1561237572,5311
P,1561237601,5310
P,1561237631,5310
P,1561237660,5310
P,1561237689,5311
P,1561237718,5310
P,1561237748,5308
P,1561237777,5309
P,1561237806,5310
P,1561237837,5309
P,1561237866,5310
P,1561237895,5308
P,1561237924,5311
P,1561237954,5311
P,1561237983,5311
P,1561238012,5311
P,1561238042,5308
P,1561238071,5311
P,1561238100,5311
P,1561238130,5310
P,1561238160,5310
P,1561238189,5311
P,1561238218,5311
P,1561238248,5309
D,1561238277,377088
P,1561238277,5310
P,1561238306,5311
P,1561238336,5311
P,1561238366,5310
P,1561238395,5309
P,1561238425,5309
P,1561238455,5309
P,1561238484,5311
P,1561238513,5311
P,1561238542,5309
P,1561238572,5310
P,1561238601,5309
O,1561238629,266691,1715
O,1561238629,267133,798
O,1561238630,267141,724
O,1561238630,266720,1049
P,1561238630,5306
O,1561238631,267069,612
O,1561238631,266667,1865
O,1561238632,266961,340
O,1561238632,266622,1073
O,1561238633,266309,508
O,1561238634,266378,583
O,1561238634,266826,529
O,1561238635,266957,154
O,1561238635,266755,639
O,1561238636,266357,391
O,1561238636,266512,462
O,1561238637,266504,505
O,1561238638,266547,398
O,1561238638,266720,220
O,1561238639,266771,277
O,1561238639,266941,381
O,1561238640,266347,936
O,1561238640,266126,74
O,1561238641,266391,287
O,1561238642,266658,418
O,1561238642,266531,269
O,1561238643,266478,403
O,1561238643,266489,125
O,1561238644,266476,564
O,1561238644,266653,1539
O,1561238645,266919,778
O,1561238646,267128,408
O,1561238646,267030,443
O,1561238647,266961,463
O,1561238647,266336,943
O,1561238648,266900,810
O,1561238648,266660,639
O,1561238649,266353,329
O,1561238649,266302,450
O,1561238650,266267,641
O,1561238651,266792,1062
O,1561238651,266842,248
O,1561238652,266900,271
O,1561238652,266763,491
O,1561238653,266514,1299
O,1561238653,266730,213
O,1561238654,266628,343
O,1561238655,266529,456
O,1561238655,266568,376
O,1561238656,266559,418
O,1561238656,266499,343
O,1561238657,266132,795
O,1561238657,266150,412
O,1561238658,266007,795
O,1561238659,265661,452
O,1561238659,265841,539
O,1561238660,266056,740
O,1561238660,267433,812
P,1561238660,5302
O,1561238661,267352,991
O,1561238661,266596,1267
O,1561238661,266521,1116
O,1561238662,266717,502
O,1561238662,266389,93
O,1561238663,266306,119
O,1561238663,266331,148
O,1561238664,266228,226
O,1561238664,266158,111
O,1561238665,266184,159
O,1561238665,266227,202
O,1561238666,266357,304
O,1561238667,266441,167
O,1561238667,266915,419
O,1561238668,266538,386
O,1561238668,266408,143
O,1561238669,266315,158
O,1561238669,266357,234
O,1561238670,266170,178
O,1561238671,266221,142
O,1561238671,266165,223
O,1561238672,266086,148
O,1561238672,266127,169
O,1561238673,266298,112
O,1561238673,266266,70
O,1561238674,266335,141
O,1561238675,266353,126
O,1561238675,266393,386
O,1561238676,266520,147
O,1561238676,266334,180
O,1561238677,266268,129
O,1561238677,266359,167
O,1561238678,266815,1097
O,1561238679,267840,967
O,1561238679,267535,1396
O,1561238680,268397,1348
O,1561238680,267549,663
O,1561238681,266637,571
O,1561238681,266635,507
O,1561238682,266238,200
O,1561238682,266179,213
O,1561238683,266171,341
O,1561238684,266059,244
O,1561238684,266182,198
T,1561238684,2921
P,1561238689,5309
P,1561238719,5309
P,1561238748,5308
P,1561238778,5309
P,1561238807,5309
P,1561238836,5308
P,1561238866,5309
P,1561238895,5309
P,1561238924,5310
P,1561238953,5310
P,1561238983,5310
P,1561239013,5311
P,1561239042,5309
P,1561239071,5311
P,1561239101,5310
P,1561239130,5309
P,1561239159,5309
D,1561239180,380160
D,1561239182,384768
D,1561239184,369664
P,1561239189,5309
P,1561239218,5309
P,1561239247,5310
P,1561239276,5309
P,1561239307,5311
P,1561239336,5310
P,1561239365,5309
P,1561239395,5307
P,1561239424,5311
P,1561239453,5311
P,1561239482,5311
P,1561239512,5311
P,1561239541,5309
P,1561239570,5309
P,1561239601,5310
P,1561239630,5311
P,1561239659,5309
P,1561239688,5309
P,1561239718,5309
P,1561239747,5309
P,1561239776,5308
P,1561239806,5310
P,1561239835,5308
P,1561239864,5309
