H,1563811200,289363
U,1563811200,0
E,1563811200,1
P,1563811201,5171
P,1563811230,5169
P,1563811259,5170
P,1563811289,5172
P,1563811318,5171
P,1563811347,5168
P,1563811377,5171
P,1563811406,5172
P,1563811435,5171
P,1563811464,5170
P,1563811495,5170
P,1563811524,5170
P,1563811553,5172
P,1563811583,5172
P,1563811612,5168
P,1563811641,5171
P,1563811670,5171
P,1563811700,5167
P,1563811729,5172
P,1563811758,5171
P,1563811789,5168
P,1563811818,5171
P,1563811847,5171
P,1563811876,5172
P,1563811906,5169
P,1563811935,5171
P,1563811964,5172
P,1563811994,5171
P,1563812023,5171
P,1563812052,5171
P,1563812082,5170
P,1563812112,5172
P,1563812141,5172
P,1563812170,5171
P,1563812200,5171
P,1563812229,5170
O,1563812247,240132,1471
O,1563812247,240297,129
O,1563812248,240076,269
O,1563812248,240395,120
O,1563812249,240055,634
O,1563812249,240257,255
O,1563812250,239882,209
O,1563812250,239874,214
O,1563812251,239701,162
O,1563812252,239620,287
O,1563812252,239872,151
O,1563812253,239979,195
O,1563812253,240023,273
O,1563812254,240009,307
O,1563812254,239992,396
O,1563812255,240099,742
O,1563812256,239877,548
O,1563812256,240097,191
O,1563812257,240294,154
O,1563812257,240394,341
O,1563812258,240341,369
P,1563812258,5164
O,1563812258,239828,742
O,1563812259,239662,748
O,1563812260,239811,358
O,1563812260,239677,400
O,1563812261,239267,664
O,1563812261,238872,493
O,1563812262,239256,531
O,1563812262,239866,414
O,1563812263,240205,226
O,1563812264,240116,210
O,1563812264,239925,347
O,1563812265,240010,218
O,1563812265,239910,240
O,1563812266,239949,235
O,1563812266,239797,186
O,1563812267,239642,132
O,1563812267,239781,373
O,1563812268,240036,189
O,1563812269,240314,287
O,1563812269,240249,296
O,1563812270,240318,261
O,1563812270,240377,245
O,1563812271,240321,219
O,1563812271,240287,384
O,1563812272,240346,522
O,1563812273,240507,224
O,1563812273,240349,275
O,1563812274,240158,388
O,1563812274,240008,431
O,1563812275,239856,571
O,1563812275,239990,371
O,1563812276,239714,354
O,1563812277,239850,269
O,1563812277,239913,303
O,1563812278,239957,313
O,1563812278,239883,381
O,1563812279,240143,147
O,1563812279,240190,255
O,1563812280,239992,495
O,1563812281,239968,668
O,1563812281,240036,282
O,1563812282,240015,307
O,1563812282,239995,643
O,1563812282,240276,597
O,1563812282,240611,385
O,1563812283,240589,294
O,1563812283,240757,493
O,1563812284,240469,385
O,1563812285,240345,406
O,1563812285,240340,343
O,1563812286,240341,223
O,1563812286,240122,225
O,1563812287,240112,106
P,1563812287,5162
O,1563812287,240025,267
O,1563812288,240064,230
O,1563812289,240226,353
O,1563812289,240394,172
O,1563812290,240308,243
O,1563812290,240225,252
O,1563812291,240111,184
O,1563812291,240091,170
O,1563812292,239986,231
O,1563812293,240160,324
O,1563812293,239965,396
O,1563812294,239974,156
O,1563812294,240013,502
O,1563812295,239789,477
O,1563812295,239687,497
O,1563812296,239541,485
O,1563812297,239358,459
O,1563812297,239572,401
O,1563812298,239833,278
O,1563812298,239770,170
O,1563812299,239834,217
O,1563812299,239818,210
O,1563812300,239756,154
O,1563812300,239732,288
O,1563812301,239745,388
O,1563812302,239658,408
O,1563812302,239606,450
T,1563812302,3059
P,1563812317,5169
P,1563812346,5171
P,1563812376,5169
P,1563812405,5171
P,1563812435,5172
P,1563812464,5171
P,1563812493,5172
P,1563812523,5171
P,1563812552,5172
P,1563812581,5167
P,1563812610,5171
P,1563812640,5172
P,1563812670,5171
P,1563812699,5172
P,1563812729,5170
P,1563812758,5171
P,1563812787,5171
P,1563812816,5170
P,1563812846,5171
P,1563812875,5171
P,1563812904,5171
P,1563812934,5172
P,1563812964,5171
P,1563812993,5172
P,1563813022,5172
P,1563813052,5172
P,1563813081,5172
P,1563813111,5171
P,1563813141,5172
P,1563813170,5171
P,1563813199,5169
P,1563813228,5169
P,1563813259,5172
P,1563813288,5172
P,1563813317,5170
P,1563813347,5172
P,1563813376,5172
P,1563813405,5170
P,1563813434,5171
P,1563813464,5170
P,1563813493,5172
P,1563813522,5171
P,1563813553,5168
P,1563813582,5172
P,1563813611,5169
P,1563813640,5172
P,1563813670,5171
P,1563813699,5172
P,1563813728,5169
P,1563813758,5172
P,1563813787,5170
P,1563813816,5172
P,1563813846,5172
P,1563813876,5170
P,1563813905,5171
P,1563813934,5172
P,1563813964,5171
P,1563813993,5170
P,1563814022,5171
P,1563814051,5171
P,1563814081,5171
P,1563814110,5172
P,1563814140,5172
