H,1560813749,289363
X,1560813749,601117,1315
X,1560813749,601155,5593
X,1560813750,601149,1661
X,1560813751,601107,1226
X,1560813751,601081,1453
X,1560813752,601231,1710
X,1560813752,601318,1169
X,1560813753,601174,1250
X,1560813753,600997,836
X,1560813754,601165,1208
X,1560813754,600850,989
X,1560813755,600862,1506
X,1560813756,601144,1319
X,1560813756,600924,1339
X,1560813757,600988,1746
X,1560813757,601161,1069
X,1560813758,601088,1181
X,1560813758,601360,1569
X,1560813759,601209,1486
X,1560813760,600875,1274
X,1560813760,601080,1323
X,1560813761,601174,1288
X,1560813761,601332,1089
X,1560813762,601183,1150
X,1560813762,601213,1018
X,1560813763,601090,797
A,1560813763,601610,1642
T,1560813763,2912
R,1560813763,700D9DFCC
X,1560813765,600890,761
X,1560813766,600916,1604
X,1560813766,600926,898
X,1560813766,600577,869
X,1560813766,600564,811
X,1560813767,600603,1556
X,1560813767,600608,1344
X,1560813768,600315,1137
X,1560813768,600597,917
X,1560813769,600374,1659
X,1560813770,600357,1122
X,1560813770,600274,8509
X,1560813771,600439,1677
X,1560813771,600859,1680
X,1560813772,600804,728
X,1560813772,600612,1093
X,1560813773,600612,1061
X,1560813774,600769,1222
P,1560813774,5390
X,1560813774,600683,1538
X,1560813775,600876,760
X,1560813775,600958,820
X,1560813776,600977,1072
X,1560813776,600906,610
X,1560813777,600728,910
X,1560813778,600657,2187
X,1560813778,600859,1726
X,1560813779,601263,1519
X,1560813779,601321,1004
X,1560813780,601291,1334
X,1560813780,601456,1812
X,1560813781,601611,3660
X,1560813782,600488,17347
X,1560813782,601301,2413
X,1560813783,600464,12919
X,1560813783,600377,35457
X,1560813784,602235,36945
X,1560813784,601278,20296
X,1560813785,601580,23408
X,1560813785,601515,17115
X,1560813786,600731,22967
X,1560813787,601638,13516
X,1560813787,601312,15513
X,1560813788,601445,48836
X,1560813788,602162,18660
X,1560813789,601527,1561
X,1560813789,601384,2574
X,1560813790,601449,13585
X,1560813791,602370,8981
X,1560813791,601779,22315
X,1560813792,602752,33841
X,1560813792,598407,25764
X,1560813793,599769,11369
X,1560813793,597802,21284
X,1560813794,601127,21148
X,1560813795,601565,5411
X,1560813795,602960,63538
X,1560813796,600987,49578
X,1560813796,601108,16091
X,1560813797,601187,7094
X,1560813797,601534,3600
X,1560813798,601106,17591
X,1560813799,601605,10177
X,1560813799,600886,39341
X,1560813800,602017,10457
X,1560813800,601599,1580
X,1560813801,601824,1246
X,1560813801,601756,861
X,1560813802,602985,6869
X,1560813802,601887,24950
X,1560813803,599528,38354
X,1560813804,602660,31760
P,1560813804,5388
X,1560813804,602489,31216
X,1560813805,604811,46341
X,1560813805,603474,9549
X,1560813806,602730,12547
X,1560813806,602657,28438
X,1560813807,603373,19859
X,1560813807,602912,2664
X,1560813807,602089,20096
X,1560813808,601910,47471
X,1560813808,602852,5155
X,1560813809,602983,1913
X,1560813809,603027,2265
X,1560813810,601205,10865
X,1560813811,601523,32690
X,1560813811,601199,25726
X,1560813812,600047,58280
X,1560813812,601954,29074
X,1560813813,603156,30864
X,1560813813,601585,40287
X,1560813814,601747,20232
X,1560813815,602357,25065
X,1560813815,601674,12570
X,1560813816,600555,33735
X,1560813816,601957,3856
X,1560813817,602270,4578
X,1560813817,602371,2018
X,1560813818,602374,3068
X,1560813818,602332,2137
X,1560813819,602377,4151
X,1560813820,602495,12473
X,1560813820,602615,50078
X,1560813821,602226,10565
X,1560813821,603374,5432
X,1560813822,601867,42365
X,1560813822,602617,9441
X,1560813823,602865,1532
X,1560813824,602866,2302
X,1560813824,602851,1228
X,1560813825,602708,2240
X,1560813825,602864,1542
X,1560813826,602715,1910
X,1560813826,602906,1654
X,1560813827,602932,1419
X,1560813828,603046,1407
X,1560813828,602833,2317
X,1560813829,602799,1604
X,1560813829,602472,1513
X,1560813830,602580,987
X,1560813830,602685,1662
X,1560813831,602763,1680
X,1560813832,602725,1571
X,1560813832,602727,1542
X,1560813833,602670,870
P,1560813833,5389
X,1560813833,602327,4620
X,1560813834,603296,26177
X,1560813834,602201,6444
X,1560813835,602253,9072
X,1560813835,602425,7151
X,1560813836,602248,4069
X,1560813837,602380,2542
X,1560813837,602275,3409
X,1560813838,601900,2637
X,1560813838,602380,1457
X,1560813839,602786,3145
X,1560813839,602328,2483
X,1560813840,602113,1705
X,1560813841,602338,3801
