H,1561824000,289363
U,1561824000,0
E,1561824000,1
P,1561824000,5258
P,1561824030,5258
P,1561824059,5259
P,1561824088,5258
P,1561824118,5259
P,1561824147,5256
P,1561824176,5258
P,1561824205,5259
P,1561824235,5257
P,1561824265,5256
P,1561824294,5256
P,1561824324,5259
P,1561824353,5257
P,1561824382,5259
P,1561824411,5258
P,1561824441,5258
P,1561824470,5257
P,1561824499,5251
P,1561824529,5258
P,1561824559,5254
P,1561824588,5256
P,1561824617,5258
P,1561824647,5259
P,1561824676,5257
P,1561824705,5258
P,1561824734,5255
P,1561824764,5260
P,1561824793,5256
P,1561824822,5255
P,1561824853,5258
P,1561824882,5256
P,1561824911,5259
P,1561824940,5258
P,1561824970,5258
P,1561824999,5257
P,1561825028,5259
P,1561825058,5258
P,1561825087,5259
P,1561825116,5256
P,1561825146,5259
P,1561825176,5258
P,1561825205,5257
P,1561825234,5256
P,1561825264,5258
P,1561825293,5259
P,1561825322,5257
P,1561825351,5257
P,1561825381,5256
P,1561825410,5258
P,1561825440,5259
P,1561825470,5255
O,1561825478,240710,1497
O,1561825478,240792,102
O,1561825479,240832,117
O,1561825480,240786,125
O,1561825480,240697,249
O,1561825481,240432,448
O,1561825481,240251,70
O,1561825482,240420,121
O,1561825482,240525,167
O,1561825483,240606,161
O,1561825484,240705,126
O,1561825484,240760,201
O,1561825485,240691,136
O,1561825485,240737,159
O,1561825486,240773,100
O,1561825486,240844,170
O,1561825487,240868,159
O,1561825488,240916,100
O,1561825488,241018,96
O,1561825489,241031,74
O,1561825489,240998,192
O,1561825490,240995,121
O,1561825490,241017,105
O,1561825491,241031,144
O,1561825491,241049,91
O,1561825492,241044,101
O,1561825493,241050,155
O,1561825493,241029,140
O,1561825494,241009,540
O,1561825494,240933,267
O,1561825495,240887,286
O,1561825495,240616,150
O,1561825496,240573,207
O,1561825497,240545,300
O,1561825497,240574,158
O,1561825498,240566,162
O,1561825498,240650,88
P,1561825499,5250
O,1561825499,240617,209
O,1561825499,240522,111
O,1561825500,240669,214
O,1561825501,240640,153
O,1561825501,240638,183
O,1561825502,240657,221
O,1561825502,240670,109
O,1561825503,240698,102
O,1561825503,240656,203
O,1561825504,240740,131
O,1561825505,240764,198
O,1561825505,240792,166
O,1561825506,240988,119
O,1561825506,240952,249
O,1561825507,241062,177
O,1561825507,241037,119
O,1561825508,241041,105
O,1561825508,241007,70
O,1561825509,241015,129
O,1561825510,240985,141
O,1561825510,241006,132
O,1561825511,240986,196
O,1561825511,241025,176
O,1561825512,241079,170
O,1561825512,241095,88
O,1561825513,241100,65
O,1561825513,241073,172
O,1561825513,241075,102
O,1561825514,241120,102
O,1561825514,241127,136
O,1561825515,241072,105
O,1561825515,241070,67
O,1561825516,241040,91
O,1561825517,241037,125
O,1561825517,241083,135
O,1561825518,241091,118
O,1561825518,240988,103
O,1561825519,240984,320
O,1561825519,240896,202
O,1561825520,240996,115
O,1561825521,240993,68
O,1561825521,241074,188
O,1561825522,241088,191
O,1561825522,241023,179
O,1561825523,240927,219
O,1561825523,240953,74
O,1561825524,240951,280
O,1561825525,240861,203
O,1561825525,240646,224
O,1561825526,240409,241
O,1561825526,240590,239
O,1561825527,240733,120
O,1561825527,240811,79
P,1561825528,5249
O,1561825528,240842,139
O,1561825528,240868,191
O,1561825529,240807,172
O,1561825530,240840,160
O,1561825530,240792,287
O,1561825531,240804,108
O,1561825531,240884,178
O,1561825532,240892,121
O,1561825532,240870,83
O,1561825533,240751,140
O,1561825534,240780,157
T,1561825534,3066
P,1561825557,5258
P,1561825587,5255
P,1561825617,5257
P,1561825646,5259
P,1561825676,5259
P,1561825705,5254
P,1561825735,5258
P,1561825764,5255
P,1561825794,5257
P,1561825823,5256
P,1561825852,5259
P,1561825882,5259
P,1561825911,5259
P,1561825940,5258
P,1561825969,5258
P,1561825999,5258
P,1561826029,5258
P,1561826058,5258
P,1561826088,5258
P,1561826117,5255
P,1561826146,5259
P,1561826175,5256
P,1561826205,5257
P,1561826234,5256
P,1561826263,5258
P,1561826293,5258
P,1561826323,5258
P,1561826352,5257
P,1561826381,5257
P,1561826411,5256
P,1561826440,5258
P,1561826469,5258
P,1561826498,5255
P,1561826528,5257
P,1561826557,5258
P,1561826586,5258
P,1561826617,5254
P,1561826646,5255
P,1561826675,5259
P,1561826704,5259
P,1561826734,5259
P,1561826763,5258
P,1561826792,5255
P,1561826822,5256
P,1561826851,5258
P,1561826880,5257
P,1561826910,5258
P,1561826940,5257
