H,1563292800,289363
U,1563292800,0
E,1563292800,1
P,1563292800,5171
P,1563292829,5171
P,1563292860,5170
P,1563292889,5165
P,1563292918,5169
P,1563292947,5170
P,1563292977,5170
P,1563293006,5171
P,1563293035,5170
P,1563293065,5170
P,1563293094,5171
P,1563293123,5169
P,1563293153,5170
P,1563293183,5170
P,1563293212,5169
P,1563293241,5170
P,1563293271,5168
P,1563293300,5170
P,1563293329,5171
P,1563293358,5170
P,1563293388,5171
P,1563293417,5169
P,1563293447,5169
P,1563293477,5170
P,1563293506,5171
P,1563293535,5171
P,1563293564,5171
P,1563293594,5169
P,1563293623,5171
P,1563293652,5171
P,1563293682,5168
P,1563293711,5170
P,1563293741,5170
P,1563293770,5171
P,1563293800,5168
P,1563293829,5166
P,1563293858,5170
P,1563293888,5170
P,1563293917,5168
P,1563293947,5170
P,1563293976,5171
P,1563294006,5170
P,1563294036,5171
P,1563294065,5171
P,1563294095,5169
P,1563294124,5169
P,1563294153,5169
P,1563294182,5168
P,1563294212,5171
P,1563294241,5171
O,1563294253,244273,1505
O,1563294254,244432,135
O,1563294255,244458,162
O,1563294255,244472,93
O,1563294256,244490,116
O,1563294256,244485,80
O,1563294257,244520,90
O,1563294257,244475,113
O,1563294258,244479,101
O,1563294258,244476,57
O,1563294259,244496,99
O,1563294259,244509,94
O,1563294259,244514,120
O,1563294260,244511,88
O,1563294260,244490,85
O,1563294261,244520,190
O,1563294261,244525,106
O,1563294262,244515,94
O,1563294263,244525,106
O,1563294263,244531,119
O,1563294264,244530,137
O,1563294264,244541,74
O,1563294265,244537,111
O,1563294265,244514,136
O,1563294266,244508,119
O,1563294267,244500,160
O,1563294267,244496,102
O,1563294268,244497,101
O,1563294268,244490,62
O,1563294269,244484,103
O,1563294269,244465,129
O,1563294270,244495,115
P,1563294270,5162
O,1563294271,244461,86
O,1563294271,244474,104
O,1563294272,244478,157
O,1563294272,244483,118
O,1563294273,244475,116
O,1563294273,244477,112
O,1563294274,244480,134
O,1563294274,244492,126
O,1563294275,244487,89
O,1563294276,244523,103
O,1563294276,244534,122
O,1563294277,244524,70
O,1563294277,244530,135
O,1563294278,244523,92
O,1563294278,244539,118
O,1563294279,244537,91
O,1563294280,244494,117
O,1563294280,244487,102
O,1563294281,244494,88
O,1563294281,244522,81
O,1563294282,244507,84
O,1563294282,244513,75
O,1563294283,244519,104
O,1563294284,244486,122
O,1563294284,244501,118
O,1563294285,244541,92
O,1563294285,244523,90
O,1563294286,244475,121
O,1563294286,244476,152
O,1563294287,244591,92
O,1563294288,244601,114
O,1563294288,244642,105
O,1563294289,244601,140
O,1563294289,244549,100
O,1563294290,244547,61
O,1563294290,244539,64
O,1563294291,244569,155
O,1563294291,244524,114
O,1563294292,244547,101
O,1563294293,244513,103
O,1563294293,244541,109
O,1563294294,244539,84
O,1563294294,244513,122
O,1563294295,244503,117
O,1563294295,244518,121
O,1563294296,244537,153
O,1563294297,244505,101
O,1563294297,244535,105
O,1563294298,244536,83
O,1563294298,244520,118
O,1563294299,244484,82
O,1563294299,244536,120
O,1563294300,244507,75
P,1563294300,5162
O,1563294300,244516,88
O,1563294300,244501,147
O,1563294301,244520,127
O,1563294301,244517,125
O,1563294302,244515,120
O,1563294302,244524,149
O,1563294303,244534,121
O,1563294304,244513,155
O,1563294304,244480,153
O,1563294305,244524,115
O,1563294305,244522,119
O,1563294306,244534,164
O,1563294306,244539,112
O,1563294307,244570,134
O,1563294307,244566,88
O,1563294308,244556,149
T,1563294308,3014
P,1563294330,5170
P,1563294359,5170
P,1563294388,5172
P,1563294418,5169
P,1563294447,5170
P,1563294476,5170
P,1563294505,5171
P,1563294535,5167
P,1563294564,5171
P,1563294593,5168
P,1563294624,5169
P,1563294653,5170
P,1563294682,5171
P,1563294711,5167
P,1563294741,5171
P,1563294770,5169
P,1563294799,5169
P,1563294829,5168
P,1563294858,5171
P,1563294887,5169
P,1563294917,5171
P,1563294947,5172
P,1563294976,5169
P,1563295005,5170
P,1563295035,5169
P,1563295064,5170
P,1563295093,5170
P,1563295122,5168
P,1563295152,5170
P,1563295181,5168
P,1563295211,5167
P,1563295241,5170
P,1563295270,5170
P,1563295299,5164
P,1563295328,5167
P,1563295358,5171
P,1563295387,5171
P,1563295416,5169
P,1563295446,5171
P,1563295475,5169
P,1563295505,5169
P,1563295534,5171
P,1563295564,5171
P,1563295593,5170
P,1563295622,5171
P,1563295652,5169
P,1563295681,5170
P,1563295710,5169
P,1563295739,5170
