H,1563778356,289363
P,1563778356,5160
P,1563778385,5161
P,1563778415,5161
P,1563778445,5159
P,1563778474,5161
P,1563778503,5160
P,1563778533,5160
P,1563778562,5159
P,1563778591,5161
P,1563778620,5158
P,1563778650,5157
P,1563778679,5162
P,1563778709,5161
P,1563778739,5160
P,1563778768,5160
P,1563778797,5161
P,1563778826,5161
P,1563778856,5161
P,1563778885,5160
P,1563778914,5157
P,1563778944,5161
P,1563778973,5162
P,1563779003,5156
P,1563779032,5161
P,1563779062,5161
P,1563779092,5162
P,1563779121,5162
P,1563779151,5160
P,1563779180,5161
P,1563779209,5162
P,1563779238,5162
P,1563779268,5162
P,1563779298,5159
P,1563779327,5159
P,1563779357,5160
P,1563779386,5160
P,1563779415,5162
P,1563779444,5160
P,1563779474,5162
P,1563779503,5163
P,1563779532,5162
P,1563779562,5161
P,1563779592,5159
P,1563779621,5161
P,1563779650,5160
P,1563779680,5158
P,1563779709,5162
P,1563779738,5162
P,1563779768,5162
P,1563779797,5162
P,1563779826,5162
P,1563779855,5162
P,1563779886,5153
O,1563779886,241211,1439
O,1563779886,241343,157
O,1563779887,241412,159
O,1563779887,241222,285
O,1563779888,241149,152
O,1563779888,241217,58
O,1563779889,241250,232
O,1563779890,241216,251
O,1563779890,241327,229
O,1563779891,241351,76
O,1563779891,241308,99
O,1563779892,241178,82
O,1563779892,241196,172
O,1563779892,241294,191
O,1563779893,241390,131
O,1563779893,241391,108
O,1563779894,241425,126
O,1563779894,241401,179
O,1563779895,241415,82
O,1563779895,241351,177
O,1563779896,241371,74
O,1563779897,241398,73
O,1563779897,241363,185
O,1563779898,241509,218
O,1563779898,241536,214
O,1563779899,241546,159
O,1563779899,241544,122
O,1563779900,241450,209
O,1563779901,241454,141
O,1563779901,241455,180
O,1563779902,241328,339
O,1563779902,241078,135
O,1563779903,241135,95
O,1563779903,241182,209
O,1563779904,241157,120
O,1563779905,241229,135
O,1563779905,241208,161
O,1563779906,241228,69
O,1563779906,241128,263
O,1563779907,240819,206
O,1563779907,240841,175
O,1563779908,241072,330
O,1563779908,241332,126
O,1563779909,241410,194
O,1563779910,241496,101
O,1563779910,241554,203
O,1563779911,241579,122
O,1563779911,241686,115
O,1563779912,241691,128
O,1563779912,241709,97
O,1563779913,241745,114
O,1563779914,241747,116
O,1563779914,241780,110
P,1563779915,5153
O,1563779915,241793,101
O,1563779915,241861,106
O,1563779916,241880,108
O,1563779916,241957,171
O,1563779917,241995,192
O,1563779918,242084,98
O,1563779918,242153,96
O,1563779919,242215,156
O,1563779919,242311,87
O,1563779920,242303,71
O,1563779920,242276,96
O,1563779921,242180,476
O,1563779922,241960,172
O,1563779922,241833,171
O,1563779923,241704,311
O,1563779923,241729,190
O,1563779924,241629,199
O,1563779924,241715,157
O,1563779925,241839,207
O,1563779925,241884,155
O,1563779926,241863,161
O,1563779927,241673,199
O,1563779927,241748,160
O,1563779928,241810,141
O,1563779928,241750,168
O,1563779929,241671,286
O,1563779929,241634,289
O,1563779930,241703,63
O,1563779931,241685,217
O,1563779931,241441,336
O,1563779932,241325,148
O,1563779932,241298,123
O,1563779933,241307,201
O,1563779933,241243,221
O,1563779933,241229,154
O,1563779934,241261,132
O,1563779934,241422,148
O,1563779935,241421,246
O,1563779935,241324,171
O,1563779936,241303,130
O,1563779936,241318,167
O,1563779937,241285,108
O,1563779938,241228,249
O,1563779938,241388,120
O,1563779939,241494,147
O,1563779939,241613,100
O,1563779940,241625,105
O,1563779940,241611,66
T,1563779940,3065
P,1563779944,5162
P,1563779974,5162
P,1563780003,5161
P,1563780032,5162
P,1563780061,5160
P,1563780091,5162
P,1563780120,5163
P,1563780149,5163
P,1563780179,5162
P,1563780209,5163
P,1563780238,5162
P,1563780267,5160
P,1563780297,5161
P,1563780326,5162
P,1563780355,5162
P,1563780384,5161
P,1563780414,5161
P,1563780443,5160
P,1563780473,5163
P,1563780503,5162
P,1563780532,5160
P,1563780561,5159
P,1563780590,5163
P,1563780620,5162
P,1563780649,5158
P,1563780678,5161
P,1563780708,5162
P,1563780737,5161
P,1563780767,5160
P,1563780796,5162
P,1563780826,5161
P,1563780855,5162
P,1563780884,5163
P,1563780914,5159
P,1563780943,5162
P,1563780972,5162
P,1563781001,5161
P,1563781031,5163
P,1563781061,5160
P,1563781090,5160
P,1563781120,5163
P,1563781149,5163
P,1563781178,5164
P,1563781207,5161
P,1563781237,5161
P,1563781266,5161
P,1563781295,5164
P,1563781325,5162
P,1563781355,5164
