H,1552191688,306256
X,1552191688,693791,10850
X,1552191689,694623,12628
X,1552191690,694748,6624
X,1552191690,691876,6977
X,1552191690,692774,3660
X,1552191690,692408,9293
X,1552191691,693485,2233
X,1552191691,693997,1223
X,1552191692,693859,682
X,1552191693,694116,986
X,1552191693,694788,2107
X,1552191694,694726,1335
X,1552191694,694751,1095
X,1552191695,694506,16785
X,1552191695,695134,4582
X,1552191696,695145,566
X,1552191697,695052,935
X,1552191697,695027,1160
X,1552191698,694352,1009
X,1552191698,694197,1450
X,1552191699,693993,1229
X,1552191699,692812,848
X,1552191700,693335,725
X,1552191700,693077,2249
X,1552191701,692542,2310
X,1552191702,691492,3180
X,1552191702,693255,4391
X,1552191703,693642,1728
X,1552191703,692639,2711
P,1552191704,5153
X,1552191704,693689,2591
X,1552191704,695272,2368
X,1552191705,695895,1101
X,1552191706,695058,2168
X,1552191706,694882,884
X,1552191707,695272,675
A,1552191707,694333,2460
T,1552191707,2827
R,1552191707,5C00DDFBFC
X,1552191709,695326,1799
X,1552191709,694770,670
X,1552191710,695182,574
X,1552191710,695296,1240
X,1552191711,694503,982
X,1552191712,694900,1911
X,1552191712,694468,1586
X,1552191713,694400,1057
X,1552191713,694384,1182
X,1552191714,694142,640
X,1552191714,693577,1249
X,1552191715,693934,2435
X,1552191715,694222,762
X,1552191716,694473,1085
X,1552191717,694747,1051
X,1552191717,695054,625
X,1552191718,695320,1763
X,1552191718,695827,1765
X,1552191719,695260,1488
X,1552191719,695269,1018
X,1552191720,695656,9483
X,1552191721,695561,2353
X,1552191721,694985,1892
X,1552191722,695424,1367
X,1552191722,695360,1010
X,1552191723,694477,2639
X,1552191723,695961,1818
X,1552191724,693964,1160
X,1552191725,693582,924
X,1552191725,694147,1205
X,1552191726,694685,1256
X,1552191726,693971,2331
X,1552191727,694467,2203
X,1552191727,693308,1691
X,1552191728,693570,1112
X,1552191729,694443,2116
X,1552191729,695063,1163
X,1552191730,694117,1428
X,1552191730,694571,1794
X,1552191731,695019,1450
X,1552191731,694993,1358
X,1552191731,694949,2523
X,1552191731,693986,1706
X,1552191732,694247,1526
X,1552191733,693673,5243
P,1552191733,5152
X,1552191733,693738,1299
X,1552191734,693727,863
X,1552191734,693017,2026
X,1552191735,691989,3033
X,1552191735,693548,1678
X,1552191736,694560,1396
X,1552191737,694168,1168
X,1552191737,694439,600
X,1552191738,694094,1435
X,1552191738,693061,1615
X,1552191739,692971,1698
X,1552191739,694059,1111
X,1552191740,692069,1338
X,1552191741,691402,1956
X,1552191741,691836,2894
X,1552191742,693628,1647
X,1552191742,693100,1671
X,1552191743,691762,1626
X,1552191743,689276,3241
X,1552191744,690740,3975
X,1552191745,690521,4565
X,1552191745,694165,3091
X,1552191746,695350,1650
X,1552191746,695240,2068
X,1552191747,695193,1196
X,1552191747,695363,733
X,1552191748,695383,505
X,1552191749,695076,682
X,1552191749,694832,1327
X,1552191750,695160,1590
X,1552191750,695313,1178
X,1552191751,695355,1019
X,1552191751,695378,970
X,1552191752,695365,1033
X,1552191752,695500,1020
X,1552191753,695536,1684
X,1552191754,695297,604
X,1552191754,695070,1559
X,1552191755,694840,1413
X,1552191755,694660,682
X,1552191756,694202,1016
X,1552191756,692369,1615
X,1552191757,692529,662
X,1552191758,692552,714
X,1552191758,692536,1120
X,1552191759,693620,1249
X,1552191759,694163,784
X,1552191760,694480,1005
X,1552191760,694687,1245
X,1552191761,694874,1087
X,1552191762,694754,1460
X,1552191762,694740,1237
X,1552191763,694815,782
P,1552191763,5152
X,1552191763,695089,1461
X,1552191764,695165,839
A,1552191764,694500,2854
T,1552191764,2827
R,1552191764,5C00DDFBFC
X,1552191766,695340,1057
X,1552191766,695234,1826
X,1552191767,695395,1065
X,1552191767,694981,1139
X,1552191768,694877,1654
X,1552191769,694697,1323
X,1552191769,694547,1689
X,1552191770,694159,790
X,1552191770,693061,1513
X,1552191771,693437,1606
X,1552191771,693480,9838
X,1552191772,693225,3266
X,1552191772,693741,1414
X,1552191772,694421,776
X,1552191773,694420,1628
X,1552191773,694620,1345
X,1552191774,695188,1906
X,1552191774,695109,1563
X,1552191775,694910,921
X,1552191776,694794,1411
X,1552191776,694679,1232
X,1552191777,694551,1496
X,1552191777,694487,776
X,1552191778,694449,1031
X,1552191778,694415,1053
X,1552191779,694274,3503
X,1552191780,694617,6412
