H,1549074249,409816
P,1549074249,5119
P,1549074278,5120
P,1549074307,5119
P,1549074337,5120
P,1549074367,5120
P,1549074396,5119
P,1549074426,5119
P,1549074456,5120
P,1549074485,5120
P,1549074514,5120
P,1549074544,5120
P,1549074573,5120
P,1549074602,5120
P,1549074631,5118
P,1549074661,5118
P,1549074690,5119
P,1549074720,5120
P,1549074750,5119
P,1549074779,5120
P,1549074808,5118
P,1549074837,5120
P,1549074867,5120
P,1549074896,5120
P,1549074925,5119
P,1549074955,5120
P,1549074984,5116
P,1549075014,5119
P,1549075043,5120
P,1549075073,5119
P,1549075102,5119
P,1549075131,5120
P,1549075161,5120
P,1549075190,5118
P,1549075219,5119
P,1549075248,5119
P,1549075278,5118
P,1549075308,5119
P,1549075337,5120
P,1549075367,5119
P,1549075396,5119
P,1549075425,5118
P,1549075454,5120
P,1549075484,5120
P,1549075513,5119
P,1549075542,5119
P,1549075572,5117
P,1549075602,5119
P,1549075631,5120
P,1549075660,5119
P,1549075690,5120
P,1549075719,5120
P,1549075748,5118
P,1549075778,5120
P,1549075807,5119
P,1549075836,5119
P,1549075865,5120
P,1549075896,5119
P,1549075925,5118
P,1549075954,5119
O,1549075972,333677,3048
O,1549075973,333856,470
O,1549075973,333040,711
O,1549075974,332936,949
O,1549075975,332933,806
O,1549075975,332819,412
O,1549075976,332875,239
O,1549075976,332859,426
O,1549075977,332866,398
O,1549075977,332578,456
O,1549075978,332582,657
O,1549075979,332613,386
O,1549075979,332485,560
O,1549075980,332773,218
O,1549075980,332960,794
O,1549075981,333648,567
O,1549075981,333970,714
O,1549075982,333629,1077
O,1549075983,334149,636
O,1549075983,335300,1182
O,1549075984,333768,1182
P,1549075984,5110
O,1549075984,333376,1029
O,1549075984,334270,543
O,1549075984,333717,484
O,1549075985,333662,554
O,1549075986,333988,368
O,1549075986,333688,1165
O,1549075987,333923,1193
O,1549075987,334094,354
O,1549075988,333761,161
O,1549075988,333811,536
O,1549075989,333399,165
O,1549075989,333262,269
O,1549075990,333117,182
O,1549075991,333013,106
O,1549075991,332904,129
O,1549075992,332883,95
O,1549075992,332977,205
O,1549075993,332913,175
O,1549075993,332696,361
O,1549075994,332885,205
O,1549075995,333098,587
O,1549075995,333154,321
O,1549075996,333067,337
O,1549075996,332610,425
O,1549075997,332672,300
O,1549075997,332888,228
O,1549075998,333100,117
O,1549075999,333050,185
O,1549075999,332875,110
O,1549076000,332640,690
O,1549076000,332382,670
O,1549076001,332192,1140
O,1549076001,332792,1366
O,1549076002,332136,353
O,1549076003,332636,887
O,1549076003,332682,431
O,1549076004,332751,812
O,1549076004,332281,749
O,1549076005,332498,1359
O,1549076005,333287,393
O,1549076006,333294,188
O,1549076006,333159,236
O,1549076007,332972,209
O,1549076008,332872,145
O,1549076008,332912,121
O,1549076009,332800,193
O,1549076009,332801,192
O,1549076010,332509,465
O,1549076010,332723,257
O,1549076011,332221,1056
O,1549076012,332445,1534
O,1549076012,332972,531
O,1549076013,332946,448
P,1549076013,5111
O,1549076013,333281,840
O,1549076014,332972,749
O,1549076014,333384,818
O,1549076015,333323,1178
O,1549076016,333134,1005
O,1549076016,332523,725
O,1549076017,332655,224
O,1549076017,332802,690
O,1549076018,332834,361
O,1549076018,333011,130
O,1549076019,332968,153
O,1549076020,332991,237
O,1549076020,333003,332
O,1549076021,332735,566
O,1549076021,332622,1553
O,1549076022,332947,374
O,1549076022,332971,193
O,1549076023,332908,347
O,1549076023,332649,523
O,1549076024,332807,348
O,1549076025,332913,554
O,1549076025,332442,865
O,1549076025,332657,1002
O,1549076025,332735,766
O,1549076026,332752,780
O,1549076026,332444,531
O,1549076027,332409,1102
T,1549076027,2735
P,1549076042,5118
P,1549076071,5116
P,1549076101,5118
P,1549076130,5119
P,1549076159,5119
P,1549076189,5118
P,1549076219,5120
P,1549076248,5119
P,1549076277,5120
P,1549076307,5120
P,1549076336,5118
P,1549076365,5119
P,1549076394,5118
P,1549076424,5120
P,1549076453,5121
P,1549076483,5120
P,1549076513,5118
P,1549076542,5120
P,1549076571,5119
P,1549076600,5119
P,1549076630,5118
P,1549076659,5119
P,1549076688,5119
P,1549076718,5120
P,1549076747,5119
P,1549076777,5117
P,1549076806,5120
P,1549076836,5120
P,1549076865,5119
P,1549076894,5120
P,1549076924,5119
P,1549076953,5119
P,1549076983,5118
P,1549077012,5117
P,1549077042,5120
P,1549077072,5118
P,1549077101,5120
P,1549077131,5119
P,1549077160,5119
P,1549077189,5119
