H,1549425875,409816
P,1549425875,5113
P,1549425904,5112
P,1549425933,5113
P,1549425962,5111
P,1549425992,5112
P,1549426022,5111
P,1549426051,5113
P,1549426081,5112
P,1549426110,5112
P,1549426139,5113
P,1549426168,5111
P,1549426198,5113
P,1549426227,5111
P,1549426256,5113
P,1549426286,5113
P,1549426316,5109
P,1549426345,5111
P,1549426374,5113
P,1549426404,5112
P,1549426433,5111
P,1549426462,5113
P,1549426492,5113
P,1549426521,5111
P,1549426550,5112
P,1549426579,5112
P,1549426610,5112
P,1549426639,5111
P,1549426668,5112
P,1549426698,5112
P,1549426727,5112
P,1549426756,5110
P,1549426785,5113
P,1549426815,5110
P,1549426844,5112
P,1549426873,5111
P,1549426904,5111
P,1549426933,5113
P,1549426962,5112
P,1549426991,5112
P,1549427021,5113
P,1549427050,5113
P,1549427079,5111
P,1549427109,5112
P,1549427138,5111
P,1549427167,5111
P,1549427197,5109
P,1549427227,5113
P,1549427256,5112
P,1549427285,5113
P,1549427315,5111
P,1549427344,5111
P,1549427373,5112
P,1549427402,5111
P,1549427432,5112
O,1549427436,334668,2026
O,1549427436,334712,160
O,1549427437,334763,132
O,1549427438,334840,219
O,1549427438,334769,111
O,1549427438,334741,104
O,1549427438,334741,120
O,1549427439,334749,150
O,1549427439,334755,202
O,1549427440,334784,169
O,1549427441,334905,326
O,1549427441,334687,429
O,1549427442,334694,76
O,1549427442,334785,217
O,1549427443,334872,119
O,1549427443,334882,75
O,1549427444,334893,68
O,1549427445,334943,116
O,1549427445,334953,147
O,1549427446,334955,71
O,1549427446,334932,108
O,1549427447,334953,134
O,1549427447,335097,108
O,1549427448,335017,83
O,1549427448,335017,183
O,1549427449,335026,120
O,1549427450,335018,72
O,1549427450,335156,160
O,1549427451,335209,97
O,1549427451,335167,88
O,1549427452,335169,93
O,1549427452,335165,109
O,1549427453,335197,163
O,1549427454,335171,119
O,1549427454,335149,105
O,1549427455,335157,77
O,1549427455,335172,135
O,1549427456,335161,88
O,1549427456,335119,98
O,1549427457,335137,113
O,1549427458,335187,67
O,1549427458,335158,90
O,1549427459,335187,121
O,1549427459,335195,115
O,1549427460,335182,63
O,1549427460,335212,124
O,1549427461,335255,83
P,1549427461,5104
O,1549427462,335205,95
O,1549427462,335187,96
O,1549427463,335121,107
O,1549427463,335101,92
O,1549427464,335043,124
O,1549427464,335030,136
O,1549427465,335025,133
O,1549427465,335001,103
O,1549427466,334962,81
O,1549427467,334963,131
O,1549427467,334954,121
O,1549427468,334973,82
O,1549427468,334946,104
O,1549427469,334939,144
O,1549427469,334925,143
O,1549427470,334925,74
O,1549427471,334912,92
O,1549427471,334924,66
O,1549427472,334917,68
O,1549427472,334909,95
O,1549427473,334908,106
O,1549427473,334918,95
O,1549427474,334918,115
O,1549427475,334941,124
O,1549427475,334949,96
O,1549427476,334926,99
O,1549427476,334899,99
O,1549427477,334955,108
O,1549427477,334973,96
O,1549427478,334961,101
O,1549427479,334956,100
O,1549427479,334935,135
O,1549427479,334948,132
O,1549427479,334941,85
O,1549427480,334951,54
O,1549427480,334977,74
O,1549427481,334939,119
O,1549427481,334946,85
O,1549427482,334943,134
O,1549427483,334939,92
O,1549427483,334931,68
O,1549427484,334952,114
O,1549427484,334983,160
O,1549427485,334957,142
O,1549427485,334898,59
O,1549427486,334931,102
O,1549427487,334946,126
O,1549427487,334935,107
O,1549427488,334941,95
O,1549427488,334920,113
O,1549427489,334917,114
O,1549427489,334900,90
O,1549427490,334866,69
O,1549427491,334873,165
P,1549427491,5103
T,1549427491,2698
P,1549427520,5112
P,1549427550,5111
P,1549427579,5112
P,1549427608,5111
P,1549427638,5112
P,1549427667,5111
P,1549427696,5112
P,1549427725,5111
P,1549427755,5113
P,1549427785,5113
P,1549427814,5112
P,1549427844,5112
P,1549427873,5112
P,1549427902,5112
P,1549427931,5111
P,1549427961,5112
P,1549427990,5112
P,1549428019,5112
P,1549428049,5111
P,1549428079,5112
P,1549428108,5111
P,1549428137,5110
P,1549428167,5111
P,1549428196,5111
P,1549428225,5111
P,1549428255,5112
P,1549428284,5112
P,1549428313,5112
P,1549428343,5111
P,1549428374,5111
P,1549428403,5111
P,1549428432,5111
P,1549428462,5110
P,1549428491,5111
P,1549428520,5112
P,1549428549,5112
P,1549428579,5113
P,1549428608,5112
P,1549428637,5112
P,1549428668,5113
P,1549428697,5111
P,1549428726,5113
P,1549428755,5112
P,1549428785,5113
P,1549428814,5113
