H,1552244849,306256
R,1552244849,5C00DDFBFC
R,1552244849,5C00DDFBFC
R,1552244849,5C00DDFBFC
X,1552244850,665116,18033
X,1552244851,663684,3214
X,1552244851,663691,1451
X,1552244852,663617,3319
X,1552244853,663301,2277
X,1552244853,663681,3548
X,1552244854,663833,16152
X,1552244854,664305,10166
X,1552244855,663903,4272
X,1552244855,664116,1885
X,1552244856,664188,2090
X,1552244857,664174,1281
X,1552244857,663977,1127
X,1552244858,663913,917
X,1552244858,663913,1802
X,1552244859,664332,2147
X,1552244859,664015,1885
P,1552244860,5168
X,1552244860,663772,1379
X,1552244860,663740,1605
X,1552244861,663707,1553
X,1552244862,663739,1387
X,1552244862,664010,1338
X,1552244863,664070,1233
X,1552244863,663067,1776
X,1552244864,658884,3683
X,1552244864,662382,19359
X,1552244865,663011,2802
X,1552244866,663098,3541
X,1552244866,662464,1919
X,1552244867,662620,995
X,1552244867,662908,2166
X,1552244868,663129,2010
X,1552244868,663492,1884
X,1552244869,663751,1100
X,1552244870,663083,13049
X,1552244870,663330,2517
X,1552244871,663043,2663
X,1552244871,664289,1617
X,1552244872,664642,1887
X,1552244872,665069,1686
X,1552244873,664573,1530
X,1552244874,664427,1369
X,1552244874,664079,1205
X,1552244874,664112,909
X,1552244874,664530,1406
X,1552244875,663999,1816
X,1552244875,663565,1117
X,1552244876,664185,1204
X,1552244876,664576,4520
X,1552244877,664526,14015
X,1552244878,664770,5015
X,1552244878,664513,2276
X,1552244879,664449,2682
X,1552244879,664675,1889
X,1552244880,664461,1587
X,1552244880,664814,1009
X,1552244881,664510,1547
X,1552244882,664007,1402
X,1552244882,664268,965
X,1552244883,664126,1742
X,1552244883,664165,4299
X,1552244884,664773,5511
X,1552244884,665246,1420
X,1552244885,665347,1180
X,1552244886,665171,1517
X,1552244886,665195,2125
X,1552244887,665382,818
X,1552244887,665331,1384
X,1552244888,665165,1417
X,1552244888,665012,1381
P,1552244889,5169
X,1552244889,664956,1912
X,1552244890,665069,1544
X,1552244890,664689,1320
X,1552244891,663994,9191
X,1552244891,664278,2964
X,1552244892,663630,2404
X,1552244892,663320,1194
X,1552244893,663264,1843
X,1552244894,663595,1591
X,1552244894,663381,1982
X,1552244895,663584,2338
X,1552244895,664533,1385
X,1552244896,665036,881
X,1552244896,664971,13223
X,1552244897,665218,2020
X,1552244897,664897,2671
X,1552244898,665119,1424
X,1552244899,665363,955
X,1552244899,665284,1243
X,1552244900,665118,2213
X,1552244900,664884,1445
X,1552244901,665080,1833
X,1552244901,664719,1117
X,1552244902,664846,7512
X,1552244903,664901,15860
X,1552244903,663866,5876
X,1552244904,655998,37710
X,1552244904,525955,447
X,1552244905,314747,11514
X,1552244905,313788,2907
X,1552244906,313810,1045
X,1552244907,313610,878
X,1552244907,313695,512
X,1552244908,313831,710
X,1552244908,313633,249
X,1552244909,313674,192
X,1552244909,313341,363
X,1552244910,313302,174
X,1552244911,313248,394
O,1552244911,313368,148
O,1552244912,313458,195
O,1552244912,313317,189
O,1552244913,313513,214
O,1552244913,313590,239
O,1552244914,313129,1008
O,1552244914,312319,704
O,1552244915,312537,315
O,1552244915,312728,476
O,1552244915,313185,432
O,1552244916,313481,222
O,1552244916,313460,192
O,1552244917,313486,133
O,1552244917,313466,129
P,1552244918,5169
O,1552244918,313467,262
O,1552244919,313403,143
O,1552244919,313372,114
O,1552244920,313378,196
O,1552244920,313421,178
O,1552244921,313391,172
O,1552244921,313395,132
O,1552244922,313403,109
O,1552244923,313390,95
O,1552244923,313356,104
O,1552244924,313338,84
O,1552244924,313239,312
O,1552244925,312861,238
O,1552244925,312918,395
O,1552244926,313016,388
O,1552244927,313018,249
O,1552244927,313246,212
O,1552244928,313262,160
O,1552244928,313127,232
O,1552244929,312999,285
O,1552244929,313119,434
O,1552244930,312923,167
O,1552244930,313021,263
O,1552244931,313066,223
O,1552244932,312812,272
O,1552244932,312933,223
O,1552244933,312743,281
O,1552244933,312615,376
O,1552244934,312602,143
O,1552244934,312745,745
O,1552244935,312985,413
O,1552244936,312980,226
O,1552244936,313039,196
O,1552244937,312512,687
O,1552244937,312161,414
O,1552244938,312495,451
O,1552244938,312833,177
O,1552244939,312932,159
O,1552244940,312301,870
O,1552244940,312188,1102
O,1552244941,312618,373
