H,1552448094,306256
X,1552448094,704825,971
X,1552448095,704782,1646
X,1552448095,704655,1481
X,1552448096,704552,988
X,1552448096,704694,1625
X,1552448097,704549,2152
X,1552448097,704338,1932
X,1552448098,704711,3000
X,1552448099,704168,4006
X,1552448099,704325,1593
X,1552448100,704298,3432
X,1552448100,704254,1412
X,1552448101,704423,1091
X,1552448101,704755,1648
X,1552448102,704858,796
X,1552448103,704765,1191
X,1552448103,704800,1493
X,1552448104,704672,1463
X,1552448104,704818,949
A,1552448104,704710,904
T,1552448104,2782
U,1552448105,64508
X,1552448106,704960,1344
X,1552448107,705032,999
X,1552448107,704964,1221
X,1552448108,705060,979
X,1552448108,704931,1331
X,1552448109,705049,858
X,1552448110,705106,548
X,1552448110,705140,996
P,1552448111,5139
X,1552448111,705026,2135
X,1552448111,705023,1008
X,1552448112,705045,524
X,1552448112,705015,762
X,1552448113,704924,1660
X,1552448114,705040,1660
X,1552448114,705045,490
X,1552448115,704945,797
X,1552448115,704942,1073
X,1552448116,704814,1962
X,1552448116,704911,587
X,1552448117,704968,366
X,1552448118,705053,1033
X,1552448118,704947,1717
X,1552448118,705125,1069
X,1552448118,705135,721
X,1552448119,704967,1126
X,1552448119,706082,12425
X,1552448120,703096,23475
X,1552448120,704483,1727
X,1552448121,704551,875
X,1552448122,704501,751
X,1552448122,704240,14986
X,1552448123,704440,1926
X,1552448123,704483,931
X,1552448124,704938,887
X,1552448124,705056,1009
X,1552448125,704993,1260
X,1552448126,704777,1055
X,1552448126,704860,854
X,1552448127,704797,867
X,1552448127,705081,920
X,1552448128,705014,2271
X,1552448128,705052,686
A,1552448128,704935,657
T,1552448129,2782
U,1552448129,64508
X,1552448130,705080,1782
X,1552448131,705038,805
X,1552448132,705017,696
X,1552448132,705243,944
X,1552448133,705014,2907
X,1552448133,705082,682
X,1552448134,705067,832
X,1552448134,705109,1353
X,1552448135,705126,1663
X,1552448135,705194,1138
X,1552448136,705216,1133
X,1552448137,705091,879
X,1552448137,705135,650
X,1552448138,705189,1083
X,1552448138,705037,913
X,1552448139,704882,1186
X,1552448139,705006,916
P,1552448140,5137
X,1552448140,704928,1506
X,1552448141,704883,781
X,1552448141,704633,904
X,1552448142,704648,1002
X,1552448142,704450,1546
X,1552448143,704532,1158
X,1552448143,704607,937
X,1552448144,704629,1421
X,1552448145,704724,2766
X,1552448145,704880,1447
X,1552448146,704831,2974
X,1552448146,704741,3135
X,1552448147,704821,892
X,1552448147,704953,1523
X,1552448148,704806,936
X,1552448149,704847,542
X,1552448149,705051,1103
X,1552448150,705207,1458
X,1552448150,705294,992
X,1552448151,705427,604
X,1552448151,705690,1129
X,1552448152,705676,1120
X,1552448152,706123,1396
X,1552448153,706090,1241
X,1552448154,705932,663
X,1552448154,705949,1381
X,1552448155,706125,1952
X,1552448155,705780,899
X,1552448156,705574,732
A,1552448156,705116,1325
T,1552448156,2782
U,1552448156,64508
X,1552448158,703923,890
X,1552448158,704249,1334
X,1552448159,704000,2046
X,1552448159,704211,1201
X,1552448159,704232,1747
X,1552448160,704362,1119
X,1552448160,704637,856
X,1552448161,705205,1443
X,1552448161,704799,2064
X,1552448162,704707,1121
X,1552448163,704677,683
X,1552448163,704549,1142
X,1552448164,704910,2481
X,1552448164,704967,877
X,1552448165,704875,1375
X,1552448165,704728,655
X,1552448166,704625,833
X,1552448167,704744,1333
X,1552448167,704813,1195
X,1552448168,704831,1129
X,1552448168,704908,1284
P,1552448169,5141
X,1552448169,704951,2372
X,1552448169,704954,775
X,1552448170,705045,485
X,1552448170,705008,1114
X,1552448171,704897,1426
X,1552448172,704850,1059
X,1552448172,704703,808
X,1552448173,704612,817
X,1552448173,704463,1645
X,1552448174,704608,1115
X,1552448174,704766,777
X,1552448175,704787,733
X,1552448176,705087,1012
X,1552448176,705037,2563
X,1552448177,704986,882
X,1552448177,704933,780
X,1552448178,704698,1773
X,1552448178,704446,2096
X,1552448179,704303,1117
X,1552448180,704677,973
X,1552448180,704554,640
X,1552448181,704764,1439
X,1552448181,704506,1885
X,1552448182,704629,1881
X,1552448182,704442,1165
X,1552448183,704175,917
X,1552448184,704194,2373
X,1552448184,703506,864
X,1552448185,702595,1131
X,1552448185,703420,1023
X,1552448186,704337,1852
X,1552448186,704287,1257
