H,1553392542,306256
P,1553392542,5149
P,1553392573,5148
P,1553392602,5149
P,1553392631,5148
P,1553392660,5149
P,1553392690,5148
P,1553392719,5149
P,1553392748,5149
P,1553392778,5150
P,1553392807,5149
P,1553392836,5147
P,1553392866,5148
P,1553392896,5147
P,1553392925,5148
P,1553392954,5147
P,1553392984,5149
P,1553393013,5149
P,1553393043,5149
P,1553393072,5149
P,1553393102,5148
P,1553393131,5148
P,1553393161,5148
P,1553393191,5149
P,1553393220,5149
P,1553393249,5148
P,1553393278,5149
P,1553393308,5149
P,1553393337,5148
P,1553393366,5148
P,1553393396,5149
P,1553393425,5148
P,1553393455,5149
P,1553393484,5148
P,1553393514,5148
P,1553393543,5147
P,1553393572,5148
P,1553393602,5149
P,1553393631,5149
P,1553393660,5149
P,1553393689,5148
P,1553393719,5149
P,1553393749,5149
P,1553393778,5148
P,1553393807,5149
P,1553393837,5149
P,1553393866,5148
P,1553393895,5148
P,1553393925,5147
P,1553393954,5149
P,1553393983,5150
P,1553394012,5149
P,1553394043,5148
P,1553394072,5148
P,1553394101,5147
P,1553394131,5148
P,1553394160,5147
P,1553394189,5148
P,1553394218,5148
P,1553394248,5148
P,1553394277,5149
P,1553394306,5149
P,1553394337,5149
P,1553394366,5148
P,1553394395,5149
O,1553394420,305787,1976
O,1553394420,305934,141
O,1553394421,305950,94
O,1553394421,305946,68
O,1553394422,305904,108
O,1553394422,305943,113
O,1553394422,305944,89
O,1553394423,305914,94
O,1553394423,305927,121
O,1553394424,305923,104
P,1553394424,5142
O,1553394424,305906,110
O,1553394425,305926,98
O,1553394425,305943,124
O,1553394426,305942,55
O,1553394427,305965,88
O,1553394427,305943,93
O,1553394428,305960,128
O,1553394428,305967,83
O,1553394429,305937,118
O,1553394429,305930,112
O,1553394430,305944,87
O,1553394431,305955,100
O,1553394431,305933,86
O,1553394432,305967,86
O,1553394432,305991,139
O,1553394433,305990,63
O,1553394433,306006,84
O,1553394434,305990,109
O,1553394435,306018,125
O,1553394435,306001,117
O,1553394436,305984,113
O,1553394436,306000,67
O,1553394437,305980,78
O,1553394437,306010,96
O,1553394438,306002,81
O,1553394438,305975,118
O,1553394439,305982,92
O,1553394440,305987,51
O,1553394440,305972,101
O,1553394441,305960,70
O,1553394441,305932,98
O,1553394442,305948,104
O,1553394442,305940,75
O,1553394443,305948,70
O,1553394444,305949,87
O,1553394444,305981,104
O,1553394445,305957,74
O,1553394445,305963,79
O,1553394446,305955,100
O,1553394446,305946,112
O,1553394447,305951,93
O,1553394448,305961,130
O,1553394448,305952,112
O,1553394449,305942,93
O,1553394449,305943,101
O,1553394450,305943,119
O,1553394450,305936,116
O,1553394451,305958,138
O,1553394452,305947,85
O,1553394452,305935,150
O,1553394453,305941,77
O,1553394453,305931,188
O,1553394454,305943,129
P,1553394454,5141
O,1553394454,305958,74
O,1553394455,305944,106
O,1553394455,305959,108
O,1553394456,305930,93
O,1553394457,305933,142
O,1553394457,305964,82
O,1553394458,305931,86
O,1553394458,305933,138
O,1553394459,305911,68
O,1553394459,305936,127
O,1553394460,305950,79
O,1553394461,305914,80
O,1553394461,305889,112
O,1553394462,305908,181
O,1553394462,305932,64
O,1553394463,305936,103
O,1553394463,305964,102
O,1553394463,305947,137
O,1553394464,305931,115
O,1553394464,305922,70
O,1553394465,305972,114
O,1553394465,305938,92
O,1553394466,305901,108
O,1553394466,305944,54
O,1553394467,305902,96
O,1553394468,305923,73
O,1553394468,305915,86
O,1553394469,305924,116
O,1553394469,305908,156
O,1553394470,305924,93
O,1553394470,305915,103
O,1553394471,305891,105
O,1553394471,305918,109
O,1553394472,305906,48
O,1553394473,305910,138
O,1553394473,305913,108
O,1553394474,305897,70
O,1553394474,305901,105
T,1553394474,2786
P,1553394483,5148
P,1553394512,5148
P,1553394542,5149
P,1553394571,5149
P,1553394600,5148
P,1553394630,5149
P,1553394660,5149
P,1553394689,5149
P,1553394718,5148
P,1553394748,5148
P,1553394777,5148
P,1553394806,5148
P,1553394835,5148
P,1553394865,5149
P,1553394894,5148
P,1553394924,5148
P,1553394954,5149
P,1553394983,5147
P,1553395012,5149
P,1553395041,5148
P,1553395071,5149
P,1553395100,5148
P,1553395129,5148
P,1553395159,5148
P,1553395188,5149
P,1553395218,5148
P,1553395247,5148
P,1553395277,5147
P,1553395306,5147
P,1553395335,5148
P,1553395365,5148
P,1553395394,5148
P,1553395423,5147
P,1553395452,5147
P,1553395482,5148
P,1553395512,5147
P,1553395541,5148
