H,1554492052,306256
P,1554492052,5080
P,1554492081,5081
P,1554492111,5081
P,1554492140,5081
P,1554492169,5081
P,1554492198,5081
P,1554492228,5080
P,1554492257,5080
P,1554492287,5081
P,1554492316,5081
P,1554492346,5081
P,1554492375,5080
P,1554492404,5080
P,1554492434,5079
P,1554492463,5082
P,1554492492,5081
P,1554492521,5079
P,1554492551,5081
P,1554492581,5081
P,1554492610,5081
P,1554492640,5080
P,1554492669,5081
P,1554492698,5082
P,1554492727,5080
P,1554492757,5081
P,1554492786,5081
P,1554492815,5081
P,1554492845,5083
P,1554492875,5081
P,1554492904,5082
P,1554492933,5081
P,1554492963,5082
P,1554492992,5080
D,1554493000,438784
D,1554493002,437248
R,1554493002,5C00DDFBFC
R,1554493002,5C00DDFBFC
R,1554493002,5C00DDFBFC
X,1554493004,628272,5955
X,1554493004,628890,4410
X,1554493005,628610,16155
X,1554493006,631637,5666
X,1554493006,631393,32106
X,1554493007,633289,24412
X,1554493007,638338,26404
X,1554493008,342859,38402
X,1554493008,311990,1567
X,1554493009,312038,861
X,1554493009,312035,595
X,1554493010,311941,297
X,1554493011,311938,243
X,1554493011,311878,145
X,1554493012,311858,156
X,1554493012,311873,169
X,1554493013,311757,141
X,1554493013,311715,135
O,1554493013,311689,116
O,1554493014,311720,91
O,1554493014,311727,137
O,1554493015,311775,123
O,1554493015,311717,149
O,1554493016,311739,132
O,1554493016,311750,103
O,1554493017,311714,132
O,1554493018,311708,86
O,1554493018,311656,111
O,1554493019,311642,95
O,1554493019,311598,103
O,1554493020,311646,167
O,1554493020,311623,98
O,1554493021,311495,225
P,1554493021,5075
O,1554493022,311394,141
O,1554493022,311424,160
O,1554493023,311376,104
O,1554493023,311293,101
O,1554493024,311214,156
O,1554493024,311261,369
O,1554493025,311047,205
O,1554493026,310873,228
O,1554493026,310941,259
O,1554493027,310683,225
O,1554493027,310599,663
O,1554493028,310509,1074
O,1554493028,310499,514
O,1554493029,310778,476
O,1554493029,310750,282
O,1554493030,310868,247
O,1554493031,311044,170
O,1554493031,311045,141
O,1554493032,310953,455
O,1554493032,310636,237
O,1554493033,310694,300
O,1554493033,310977,129
O,1554493034,310821,274
O,1554493035,310766,317
O,1554493035,310962,265
O,1554493036,311085,264
O,1554493036,311332,204
O,1554493037,311521,444
O,1554493037,651992,48478
T,1554493038,2773
D,1554493039,407808
R,1554493039,5C00DDFBFC
R,1554493039,5C00DDFBFC
R,1554493039,5C00DDFBFC
X,1554493041,628775,21726
X,1554493041,628970,3375
X,1554493042,629028,2398
X,1554493042,628761,11276
X,1554493043,629703,3921
X,1554493043,629409,5109
X,1554493044,629268,2919
X,1554493045,629298,2628
X,1554493045,629438,2119
X,1554493046,629406,2264
X,1554493046,629606,1570
X,1554493047,630481,10500
X,1554493047,626746,63047
X,1554493048,634534,37351
X,1554493049,631091,6621
X,1554493049,629851,1788
X,1554493050,629794,1928
X,1554493050,630060,1721
X,1554493051,629862,1539
P,1554493051,5072
X,1554493051,629916,3010
X,1554493052,629993,2034
X,1554493052,630943,7623
X,1554493053,628617,11262
X,1554493054,629921,2459
X,1554493054,629887,1782
X,1554493054,629727,10591
X,1554493054,631040,13721
X,1554493055,626913,61468
X,1554493055,633403,54293
X,1554493056,628197,33698
X,1554493057,674390,28062
X,1554493057,319588,750
X,1554493058,309759,52130
X,1554493058,309346,40091
X,1554493059,313724,13450
X,1554493059,313200,4941
X,1554493060,313141,2579
X,1554493061,312711,1205
X,1554493061,312460,973
X,1554493062,312238,399
X,1554493062,312125,219
X,1554493063,311925,220
O,1554493063,311913,163
O,1554493064,311860,245
O,1554493065,311735,94
O,1554493065,311702,236
O,1554493066,311545,104
O,1554493066,311632,110
O,1554493067,311628,74
O,1554493067,311594,95
O,1554493068,311612,129
O,1554493068,311505,118
O,1554493069,311524,81
O,1554493070,311475,133
O,1554493070,311477,135
O,1554493071,311515,166
O,1554493071,311502,63
O,1554493072,311510,92
O,1554493072,311500,805
O,1554493073,311426,298
O,1554493074,311448,200
O,1554493074,311454,139
O,1554493075,311457,190
O,1554493075,311421,99
O,1554493076,311439,97
O,1554493076,311469,150
O,1554493077,311482,96
O,1554493078,311459,103
O,1554493078,311473,112
O,1554493079,311492,167
O,1554493079,311435,169
O,1554493080,311432,136
P,1554493080,5073
O,1554493080,311391,44
O,1554493081,311400,80
O,1554493082,311364,115
O,1554493082,311342,83
