H,1549825895,188453
X,1549825895,240224,2374
X,1549825895,239930,1072
X,1549825896,241385,1037
X,1549825896,241889,608
X,1549825897,241347,2505
X,1549825898,242586,2810
X,1549825898,242056,3101
X,1549825899,241671,572
X,1549825899,241275,137
X,1549825900,240926,443
X,1549825900,240968,206
A,1549825900,240859,2137
T,1549825901,2787
U,1549825901,57313
X,1549825902,240984,102
X,1549825903,241017,138
X,1549825903,241204,112
X,1549825904,241158,127
X,1549825905,241035,199
X,1549825905,240963,99
X,1549825906,240947,153
X,1549825906,240867,179
X,1549825907,240854,96
X,1549825907,240810,239
X,1549825908,240789,153
X,1549825909,240772,174
X,1549825909,240647,365
X,1549825910,240421,410
X,1549825910,240397,209
X,1549825911,240319,198
X,1549825911,240725,479
X,1549825912,240733,364
X,1549825913,240165,403
X,1549825913,240318,232
A,1549825913,240756,1039
T,1549825913,2787
U,1549825914,57313
X,1549825915,240703,288
X,1549825916,240594,282
X,1549825916,240672,273
X,1549825917,240859,187
X,1549825917,241191,272
X,1549825918,241227,166
X,1549825918,241019,626
X,1549825919,240782,416
X,1549825920,240557,286
X,1549825920,240129,417
X,1549825921,240678,352
X,1549825921,240510,663
X,1549825922,240724,224
X,1549825922,240614,204
X,1549825923,239852,1821
X,1549825924,238134,3582
P,1549825924,5108
X,1549825924,240470,330
X,1549825925,241044,1103
X,1549825925,240142,761
X,1549825925,240657,892
X,1549825925,240934,175
X,1549825926,241586,814
X,1549825927,241875,1520
X,1549825927,241362,2219
X,1549825928,240430,512
A,1549825928,240723,1457
T,1549825928,2787
U,1549825928,57313
X,1549825930,240967,253
X,1549825930,241177,283
X,1549825931,240883,336
X,1549825931,240600,511
X,1549825932,240355,486
X,1549825932,239901,1453
X,1549825933,239481,888
X,1549825934,239803,688
X,1549825934,239822,763
X,1549825935,240005,749
X,1549825935,240448,504
X,1549825936,240745,387
X,1549825936,240640,640
X,1549825937,240843,387
X,1549825938,241010,115
X,1549825938,240891,319
X,1549825939,240422,834
X,1549825939,239978,1174
X,1549825940,240280,280
X,1549825940,240416,228
X,1549825941,240208,257
X,1549825942,240437,690
A,1549825942,240471,1696
T,1549825942,2787
U,1549825942,57313
X,1549825943,240008,1518
X,1549825944,239924,714
X,1549825945,240178,1015
X,1549825945,240815,793
X,1549825946,240409,1288
X,1549825946,240348,1024
X,1549825947,238745,1449
X,1549825947,239869,2125
X,1549825948,241550,875
X,1549825949,241079,170
X,1549825949,240805,548
X,1549825950,240360,1005
X,1549825950,239322,952
X,1549825951,239815,565
X,1549825951,240217,308
X,1549825952,240264,789
X,1549825953,240344,334
P,1549825953,5109
X,1549825953,240558,377
X,1549825954,240231,286
X,1549825954,240299,578
X,1549825955,240155,544
X,1549825955,240129,427
X,1549825956,240110,437
X,1549825957,240488,661
X,1549825957,240398,551
X,1549825958,241123,706
X,1549825958,240816,398
A,1549825958,240422,2228
T,1549825958,2787
U,1549825959,57313
X,1549825960,239970,1458
X,1549825961,239947,1353
X,1549825961,239270,814
X,1549825962,238656,750
X,1549825962,239324,1356
X,1549825963,239149,864
X,1549825964,239102,1190
X,1549825964,239347,924
X,1549825965,239655,2161
X,1549825965,237726,3444
X,1549825966,239519,1278
X,1549825966,240347,893
X,1549825966,240883,762
X,1549825967,240880,912
X,1549825967,241247,583
X,1549825968,240752,1476
X,1549825968,240209,4935
X,1549825969,239203,3661
X,1549825969,238479,2634
X,1549825970,238025,2567
X,1549825971,237612,4346
X,1549825971,238093,5826
X,1549825972,239797,1245
X,1549825972,241643,2359
X,1549825973,240517,2649
X,1549825973,238129,3051
X,1549825974,237251,3093
X,1549825975,237790,2434
X,1549825975,237632,3667
X,1549825976,239274,1856
X,1549825976,243557,5333
X,1549825977,243071,3686
X,1549825977,241525,903
X,1549825978,241222,425
X,1549825978,241232,789
X,1549825979,241170,723
X,1549825980,240788,342
X,1549825980,240551,200
X,1549825981,240748,125
X,1549825981,240729,210
X,1549825982,240711,219
P,1549825982,5108
X,1549825982,240303,865
X,1549825983,239797,394
X,1549825984,239997,173
A,1549825984,240427,2869
T,1549825984,2787
U,1549825984,57313
X,1549825985,239884,1525
X,1549825986,239920,785
X,1549825987,239758,1364
X,1549825987,239938,928
