1658,387328
D,1556231660,383744
D,1556231662,387840
P,1556231663,5326
D,1556231664,387328
D,1556231666,387840
D,1556231669,387840
D,1556231671,387328
D,1556231673,381952
D,1556231675,388352
D,1556231677,389120
D,1556231680,386816
D,1556231682,387840
D,1556231684,379648
P,1556231692,5325
P,1556231722,5324
D,1556231730,394496
D,1556231731,389888
D,1556231734,385536
D,1556231736,386816
D,1556231738,386048
D,1556231740,386560
D,1556231742,385536
D,1556231745,386560
D,1556231747,387328
D,1556231749,388608
P,1556231751,5326
D,1556231751,379392
D,1556231753,388352
D,1556231756,387328
D,1556231758,386304
D,1556231760,386816
D,1556231762,388096
D,1556231764,386048
D,1556231767,385536
D,1556231769,388352
D,1556231771,388096
D,1556231772,386816
D,1556231775,386304
D,1556231777,386048
D,1556231779,386304
P,1556231780,5324
D,1556231781,386816
D,1556231783,386304
D,1556231786,386560
D,1556231788,388352
D,1556231790,386560
D,1556231792,387328
D,1556231794,385792
D,1556231797,386304
D,1556231799,386816
D,1556231801,386560
D,1556231803,386304
D,1556231805,386560
D,1556231808,386304
D,1556231810,386816
P,1556231810,5324
D,1556231812,387328
D,1556231813,388864
D,1556231815,387072
D,1556231818,386560
D,1556231820,386816
D,1556231822,386816
D,1556231824,387072
D,1556231826,387072
D,1556231829,386560
D,1556231831,382976
D,1556231833,376320
D,1556231835,389632
D,1556231837,388096
P,1556231839,5324
D,1556231840,384000
D,1556231842,394240
D,1556231844,392192
D,1556231846,401408
D,1556231848,378368
D,1556231851,388352
D,1556231853,385792
D,1556231854,386560
D,1556231856,389120
D,1556231858,392448
D,1556231861,383488
D,1556231863,387072
D,1556231865,397056
D,1556231867,379904
P,1556231868,5324
D,1556231869,370432
D,1556231872,376576
D,1556231874,404224
D,1556231876,384512
D,1556231878,384256
D,1556231880,386560
D,1556231883,383232
D,1556231885,382976
D,1556231887,379904
D,1556231889,377856
D,1556231891,384000
D,1556231894,386560
D,1556231895,386304
D,1556231897,386304
P,1556231897,5326
D,1556231899,386816
D,1556231901,385280
D,1556231904,386816
D,1556231906,386304
D,1556231908,386816
D,1556231910,398592
D,1556231912,387072
D,1556231915,408832
D,1556231917,391168
D,1556231919,387840
D,1556231921,386816
D,1556231923,385792
D,1556231926,390144
P,1556231928,5326
D,1556231928,375296
D,1556231930,385024
D,1556231932,386048
D,1556231934,387072
D,1556231936,387328
D,1556231938,386560
D,1556231940,386304
D,1556231942,386304
D,1556231944,386816
D,1556231947,387584
D,1556231949,386304
D,1556231951,386816
D,1556231953,386560
D,1556231955,387328
P,1556231957,5326
D,1556231958,387072
D,1556231960,386816
D,1556231962,386816
D,1556231964,387072
D,1556231966,386560
D,1556231969,387072
D,1556231971,386560
D,1556231973,386304
D,1556231975,386816
D,1556231977,387072
D,1556231979,387072
D,1556231981,386816
D,1556231983,387328
D,1556231985,386560
P,1556231986,5323
D,1556231988,387072
D,1556231990,387072
D,1556231992,386304
D,1556231994,387584
D,1556231996,387072
D,1556231999,387072
D,1556232001,386304
D,1556232003,386304
D,1556232005,387072
D,1556232007,386304
D,1556232010,385792
D,1556232012,387072
D,1556232014,385536
P,1556232016,5322
D,1556232016,386816
D,1556232018,387072
D,1556232020,386048
D,1556232022,386816
D,1556232024,387328
D,1556232026,405760
D,1556232028,385536
D,1556232031,385792
D,1556232033,386304
D,1556232035,386816
D,1556232037,386560
D,1556232039,386816
D,1556232042,386048
D,1556232044,386560
P,1556232045,5324
D,1556232046,387584
D,1556232048,386304
D,1556232050,387584
D,1556232053,386816
D,1556232055,387328
D,1556232057,387072
D,1556232059,386048
D,1556232060,386560
D,1556232063,386304
D,1556232065,387072
D,1556232067,387072
D,1556232069,386816
D,1556232071,384768
D,1556232074,386304
P,1556232074,5324
D,1556232076,386048
D,1556232078,386304
D,1556232080,387072
D,1556232082,386816
D,1556232085,387072
D,1556232087,386304
D,1556232089,386048
D,1556232091,380672
D,1556232093,384768
D,1556232096,388352
D,1556232098,385280
D,1556232100,386560
D,1556232101,383744
P,1556232103,5324
D,1556232103,389632
D,1556232106,385792
D,1556232108,386560
D,1556232110,386560
D,1556232112,386816
D,1556232114,385792
D,1556232117,386304
D,1556232119,386560
D,1556232121,386816
D,1556232123,386560
D,1556232125,386304
D,1556232128,386816
D,1556232130,415232
D,1556232132,384256
P,1556232133,5324
D,1556232134,387328
D,1556232136,385280
D,1556232139,386560
D,1556232141,386048
D,1556232142,385536
D,1556232144,387072
D,1556232146,384768
D,1556232149,386816
D,1556232151,386304
D,1556232153,386816
D,1556232155,388096
D,1556232157,385792
D,1556232160,385280
D,1556232162,385536
P,1556232162,5325
D,1556232164,385280
D,1556232166,387072
D,1556232168,387072
D,1556232171,387072
D,1556232173,386304
D,1556232175,386560
D,1556232177,386560
D,1556232179,386304
D,1556232182,386816
