H,1549126170,367706
P,1549126170,5108
P,1549126199,5110
P,1549126229,5110
P,1549126259,5110
P,1549126288,5110
P,1549126317,5110
P,1549126346,5110
P,1549126376,5110
P,1549126405,5108
P,1549126434,5108
P,1549126464,5109
P,1549126493,5109
P,1549126523,5110
P,1549126552,5107
P,1549126582,5110
P,1549126611,5110
P,1549126640,5111
P,1549126670,5106
P,1549126699,5108
P,1549126728,5108
P,1549126757,5107
P,1549126787,5110
P,1549126817,5108
P,1549126846,5110
P,1549126875,5108
P,1549126905,5108
P,1549126934,5110
P,1549126963,5110
P,1549126993,5106
P,1549127022,5110
P,1549127051,5108
P,1549127080,5110
P,1549127111,5110
P,1549127140,5110
P,1549127169,5109
P,1549127199,5109
P,1549127228,5109
P,1549127257,5105
P,1549127286,5107
P,1549127316,5110
P,1549127345,5108
P,1549127374,5110
P,1549127405,5110
P,1549127434,5110
P,1549127463,5110
P,1549127492,5109
P,1549127522,5109
P,1549127551,5110
P,1549127580,5110
P,1549127610,5109
P,1549127639,5108
P,1549127668,5109
O,1549127685,374533,2261
O,1549127685,374775,184
O,1549127686,374690,270
O,1549127686,374563,298
O,1549127687,374099,1494
O,1549127688,374086,855
O,1549127688,373933,1439
O,1549127689,373739,1279
O,1549127689,374343,837
O,1549127690,374271,126
O,1549127690,374378,515
O,1549127691,374031,926
O,1549127691,373982,977
O,1549127692,373671,709
O,1549127693,373964,716
O,1549127693,374279,1080
O,1549127694,374002,608
O,1549127694,374423,392
O,1549127695,374290,254
O,1549127695,374082,340
O,1549127695,374457,260
O,1549127696,374541,268
O,1549127696,374567,208
O,1549127697,374287,176
O,1549127697,374334,141
P,1549127698,5098
O,1549127698,374414,100
O,1549127698,374679,340
O,1549127699,374403,231
O,1549127700,374462,209
O,1549127700,374693,215
O,1549127701,374729,91
O,1549127701,374707,114
O,1549127702,374778,121
O,1549127702,374805,97
O,1549127703,374751,252
O,1549127704,375004,291
O,1549127704,375017,207
O,1549127705,374991,162
O,1549127705,375042,156
O,1549127706,374982,179
O,1549127706,374871,274
O,1549127707,374621,113
O,1549127708,374636,108
O,1549127708,374645,183
O,1549127709,374681,139
O,1549127709,374656,130
O,1549127710,374546,179
O,1549127710,374260,375
O,1549127711,374135,238
O,1549127712,374495,254
O,1549127712,374521,124
O,1549127713,374561,137
O,1549127713,374518,105
O,1549127714,374591,199
O,1549127714,374666,89
O,1549127715,374695,89
O,1549127715,374693,131
O,1549127716,374707,115
O,1549127717,374741,97
O,1549127717,374726,107
O,1549127718,374740,102
O,1549127718,374708,103
O,1549127719,374655,100
O,1549127719,374683,100
O,1549127720,374713,128
O,1549127721,374759,89
O,1549127721,374841,164
O,1549127722,374883,127
O,1549127722,374754,129
O,1549127723,374836,384
O,1549127723,375430,691
O,1549127724,376141,1168
O,1549127725,376465,1474
O,1549127725,375489,468
O,1549127726,376279,2613
O,1549127726,376446,1849
O,1549127727,375641,495
O,1549127727,375442,676
P,1549127728,5100
O,1549127728,375457,1097
O,1549127729,376433,675
O,1549127729,376525,1250
O,1549127730,377404,1616
O,1549127730,383547,8885
O,1549127731,380323,1786
O,1549127731,377920,1732
O,1549127732,376238,1099
O,1549127733,375940,1371
O,1549127733,374478,7380
O,1549127734,374060,1445
O,1549127734,375178,880
O,1549127735,374970,536
O,1549127735,375536,1758
O,1549127736,376614,504
O,1549127736,376168,1279
O,1549127736,375175,1184
O,1549127737,374793,344
O,1549127737,374816,905
O,1549127738,374356,355
O,1549127738,374231,185
O,1549127739,374375,191
O,1549127739,374608,171
T,1549127740,2747
P,1549127757,5109
P,1549127786,5110
P,1549127816,5109
P,1549127845,5107
P,1549127874,5110
P,1549127903,5106
P,1549127933,5107
P,1549127962,5108
P,1549127992,5108
P,1549128022,5110
P,1549128051,5109
P,1549128080,5107
P,1549128109,5109
P,1549128139,5109
P,1549128168,5109
P,1549128197,5110
P,1549128227,5107
P,1549128256,5109
P,1549128286,5108
P,1549128315,5109
P,1549128345,5110
P,1549128374,5110
P,1549128403,5110
P,1549128433,5110
P,1549128462,5109
P,1549128491,5109
P,1549128520,5106
P,1549128550,5111
P,1549128580,5111
P,1549128609,5109
P,1549128638,5110
P,1549128668,5109
P,1549128697,5110
P,1549128726,5110
P,1549128756,5110
P,1549128786,5108
P,1549128815,5109
P,1549128844,5109
P,1549128875,5110
P,1549128904,5109
P,1549128933,5110
P,1549128963,5110
P,1549128992,5108
P,1549129021,5110
P,1549129050,5110
P,1549129080,5110
P,1549129109,5109
