H,1549765477,367706
P,1549765477,5110
P,1549765508,5110
P,1549765537,5112
P,1549765566,5110
P,1549765595,5113
P,1549765625,5110
P,1549765654,5113
P,1549765683,5110
P,1549765713,5112
P,1549765742,5112
P,1549765771,5110
P,1549765801,5112
P,1549765831,5112
P,1549765860,5113
P,1549765889,5112
P,1549765919,5111
P,1549765948,5111
P,1549765978,5111
P,1549766007,5112
P,1549766037,5109
P,1549766066,5111
P,1549766096,5112
P,1549766126,5112
P,1549766155,5111
P,1549766184,5111
P,1549766213,5111
P,1549766243,5112
P,1549766272,5111
P,1549766301,5112
P,1549766331,5112
P,1549766360,5112
P,1549766390,5112
P,1549766419,5110
P,1549766449,5109
P,1549766478,5113
P,1549766507,5112
P,1549766537,5112
P,1549766566,5110
P,1549766595,5111
O,1549766603,369395,2471
O,1549766603,369817,147
O,1549766604,369621,145
O,1549766605,369529,91
O,1549766605,369557,195
O,1549766606,369657,253
O,1549766606,369577,135
O,1549766607,369416,133
O,1549766607,369658,114
O,1549766608,369515,252
O,1549766609,370092,769
O,1549766609,370093,1519
O,1549766610,368959,1725
O,1549766610,370649,1558
O,1549766611,369895,1010
O,1549766611,372380,1616
O,1549766612,370577,2436
O,1549766613,370524,1435
O,1549766613,370922,1238
O,1549766614,369580,1376
O,1549766614,370493,655
O,1549766615,371193,437
O,1549766615,371749,372
O,1549766616,372526,1608
O,1549766617,371599,954
O,1549766617,371855,1027
O,1549766618,371039,1515
O,1549766618,369749,2606
O,1549766619,368860,1003
O,1549766619,369213,915
O,1549766620,368413,801
O,1549766621,368316,1239
O,1549766621,368882,2958
O,1549766621,368366,1543
O,1549766621,367806,951
O,1549766622,368238,2109
O,1549766622,369160,1461
O,1549766623,369300,904
O,1549766623,369074,2220
O,1549766624,369209,1415
P,1549766624,5103
O,1549766625,369114,811
O,1549766625,369690,210
O,1549766626,369469,1053
O,1549766626,369144,1086
O,1549766627,369470,688
O,1549766627,369300,595
O,1549766628,369309,461
O,1549766629,369500,231
O,1549766629,369747,259
O,1549766630,369461,413
O,1549766630,369735,395
O,1549766631,370128,456
O,1549766631,370138,235
O,1549766632,369906,488
O,1549766633,369495,538
O,1549766633,369546,311
O,1549766634,369954,594
O,1549766634,369928,744
O,1549766635,369668,532
O,1549766635,370336,397
O,1549766636,370211,486
O,1549766637,370212,555
O,1549766637,369952,600
O,1549766638,369641,677
O,1549766638,370467,356
O,1549766639,369759,799
O,1549766639,370385,585
O,1549766640,371137,2549
O,1549766641,370919,5570
O,1549766641,367705,2575
O,1549766642,367125,2166
O,1549766642,367691,3135
O,1549766643,370273,1817
O,1549766643,371562,2287
O,1549766644,370296,1368
O,1549766645,370899,1608
O,1549766645,370938,2297
O,1549766646,371135,1976
O,1549766646,370639,1460
O,1549766647,369345,3275
O,1549766647,370761,2112
O,1549766648,369094,604
O,1549766648,368975,1964
O,1549766649,369610,1116
O,1549766650,370168,348
O,1549766650,369929,253
O,1549766651,369878,258
O,1549766651,369809,82
O,1549766652,369644,252
O,1549766652,369800,776
O,1549766653,370495,715
O,1549766654,371327,276
O,1549766654,371220,353
P,1549766654,5102
O,1549766655,371048,698
O,1549766655,370775,414
O,1549766656,371353,1069
O,1549766656,371723,620
O,1549766657,371300,411
O,1549766658,370737,416
O,1549766658,370691,455
O,1549766659,370245,145
T,1549766659,2782
P,1549766684,5112
P,1549766713,5111
P,1549766743,5109
P,1549766772,5110
P,1549766801,5111
P,1549766830,5112
P,1549766860,5110
P,1549766889,5112
P,1549766918,5113
P,1549766948,5110
P,1549766978,5112
P,1549767007,5108
P,1549767036,5111
P,1549767066,5112
P,1549767095,5112
P,1549767124,5111
P,1549767154,5111
P,1549767183,5111
P,1549767212,5112
P,1549767241,5112
P,1549767272,5112
P,1549767301,5107
P,1549767330,5112
P,1549767359,5112
P,1549767389,5112
P,1549767418,5108
P,1549767447,5112
P,1549767477,5111
P,1549767506,5112
P,1549767535,5112
P,1549767565,5111
P,1549767595,5112
P,1549767624,5112
P,1549767653,5110
P,1549767683,5110
P,1549767712,5112
P,1549767741,5110
P,1549767770,5112
P,1549767800,5112
P,1549767829,5112
P,1549767859,5111
P,1549767889,5111
P,1549767918,5112
P,1549767947,5112
P,1549767976,5112
P,1549768006,5112
P,1549768035,5111
P,1549768064,5110
P,1549768094,5112
P,1549768123,5109
P,1549768153,5112
P,1549768182,5111
P,1549768212,5113
P,1549768241,5111
P,1549768270,5112
P,1549768300,5111
P,1549768329,5112
P,1549768358,5110
P,1549768387,5112
P,1549768417,5111
