H,1549768447,367706
P,1549768447,5112
P,1549768476,5111
P,1549768506,5112
P,1549768535,5108
P,1549768564,5112
P,1549768594,5112
P,1549768624,5112
P,1549768653,5112
P,1549768682,5112
P,1549768712,5108
P,1549768742,5108
P,1549768771,5112
P,1549768800,5112
P,1549768830,5110
P,1549768859,5107
P,1549768888,5110
P,1549768918,5112
P,1549768947,5111
P,1549768976,5112
P,1549769005,5110
P,1549769036,5107
P,1549769065,5112
P,1549769094,5111
P,1549769123,5112
P,1549769153,5111
P,1549769182,5110
P,1549769211,5112
P,1549769241,5109
P,1549769270,5112
P,1549769299,5112
P,1549769329,5112
P,1549769359,5109
P,1549769388,5110
P,1549769417,5112
P,1549769447,5110
P,1549769476,5109
P,1549769505,5111
P,1549769534,5108
P,1549769564,5111
P,1549769593,5113
P,1549769623,5112
P,1549769653,5110
P,1549769682,5111
P,1549769711,5112
P,1549769740,5111
P,1549769770,5111
P,1549769799,5109
P,1549769828,5112
P,1549769858,5110
P,1549769887,5111
P,1549769917,5112
P,1549769946,5112
P,1549769976,5111
P,1549770005,5112
P,1549770034,5112
P,1549770064,5112
P,1549770093,5113
P,1549770122,5112
P,1549770151,5109
P,1549770181,5111
O,1549770184,370314,2386
O,1549770184,370477,235
O,1549770185,370357,112
O,1549770186,370213,221
O,1549770186,370132,193
O,1549770187,370245,272
O,1549770187,370239,188
O,1549770188,370113,183
O,1549770188,370089,178
O,1549770189,369949,118
O,1549770189,370080,347
O,1549770189,370225,161
O,1549770190,370265,116
O,1549770190,370239,150
O,1549770191,370354,160
O,1549770191,370281,352
O,1549770192,370436,464
O,1549770193,370400,364
O,1549770193,370514,273
O,1549770194,370368,219
O,1549770194,370392,242
O,1549770195,370499,244
O,1549770195,370425,447
O,1549770196,370449,352
O,1549770197,370654,287
O,1549770197,370505,212
O,1549770198,370406,296
O,1549770198,370467,258
O,1549770199,370464,318
O,1549770199,370729,416
O,1549770200,370501,540
O,1549770200,370445,244
O,1549770201,370442,286
O,1549770202,370575,277
O,1549770202,370764,353
O,1549770203,370576,241
O,1549770203,370597,304
O,1549770204,370558,123
O,1549770204,370411,302
O,1549770205,370473,383
O,1549770206,370517,405
O,1549770206,370487,226
O,1549770207,370438,313
O,1549770207,370373,275
O,1549770208,370286,266
O,1549770208,370400,231
O,1549770209,370526,250
O,1549770210,370735,442
O,1549770210,370636,369
P,1549770211,5102
O,1549770211,370457,271
O,1549770211,370378,299
O,1549770212,370209,315
O,1549770212,370319,159
O,1549770213,370447,234
O,1549770214,370495,205
O,1549770214,370411,180
O,1549770215,370265,300
O,1549770215,370314,179
O,1549770216,370284,311
O,1549770216,370381,424
O,1549770217,370363,214
O,1549770218,370509,458
O,1549770218,370542,200
O,1549770219,370556,306
O,1549770219,370494,387
O,1549770220,370531,473
O,1549770220,370531,280
O,1549770221,370526,334
O,1549770222,370538,308
O,1549770222,370591,293
O,1549770223,370663,269
O,1549770223,370607,213
O,1549770224,370528,248
O,1549770224,370491,233
O,1549770225,370540,260
O,1549770225,370442,208
O,1549770226,370447,151
O,1549770227,370421,99
O,1549770227,370432,159
O,1549770228,370408,177
O,1549770228,370396,184
O,1549770229,370379,210
O,1549770229,370449,132
O,1549770230,370539,162
O,1549770230,370514,138
O,1549770230,370619,204
O,1549770231,370528,226
O,1549770231,370373,287
O,1549770232,370443,294
O,1549770232,370439,178
O,1549770233,370442,171
O,1549770234,370438,255
O,1549770234,370476,240
O,1549770235,370437,180
O,1549770235,370346,235
O,1549770236,370444,167
O,1549770236,370385,198
O,1549770237,370320,176
O,1549770238,370317,203
O,1549770238,370302,228
O,1549770239,370338,159
T,1549770239,2781
P,1549770240,5110
P,1549770270,5111
P,1549770299,5112
P,1549770328,5112
P,1549770357,5110
P,1549770387,5112
P,1549770416,5111
P,1549770445,5110
P,1549770475,5111
P,1549770505,5112
P,1549770534,5112
P,1549770563,5110
P,1549770593,5108
P,1549770622,5110
P,1549770651,5112
P,1549770681,5111
P,1549770710,5112
P,1549770739,5112
P,1549770768,5109
P,1549770799,5112
P,1549770828,5111
P,1549770857,5112
P,1549770886,5113
P,1549770916,5112
P,1549770945,5111
P,1549770974,5111
P,1549771004,5112
P,1549771033,5109
P,1549771062,5110
P,1549771092,5111
P,1549771122,5108
P,1549771151,5111
P,1549771180,5112
P,1549771210,5112
P,1549771240,5110
P,1549771269,5112
P,1549771298,5108
P,1549771328,5110
P,1549771357,5112
P,1549771387,5112
P,1549771417,5111
P,1549771446,5111
