H,1552670684,273894
D,1552670684,328960
P,1552670685,5125
D,1552670686,344832
D,1552670689,329984
D,1552670691,326912
D,1552670693,332032
D,1552670695,329984
D,1552670697,334080
D,1552670699,331520
D,1552670701,329472
D,1552670703,328960
D,1552670705,329728
D,1552670707,329216
D,1552670710,331264
D,1552670712,327936
D,1552670714,330240
P,1552670714,5126
D,1552670716,333824
D,1552670718,329472
D,1552670721,329728
D,1552670723,329472
D,1552670725,332800
D,1552670727,342272
D,1552670729,330240
D,1552670732,334336
D,1552670734,335104
D,1552670736,332544
D,1552670738,331264
D,1552670739,328960
D,1552670742,328448
P,1552670743,5123
D,1552670744,324608
D,1552670746,329216
D,1552670748,329984
D,1552670750,331264
D,1552670753,327424
D,1552670755,328960
D,1552670757,331008
D,1552670759,329984
D,1552670761,329984
P,1552670773,5125
P,1552670802,5125
P,1552670832,5125
P,1552670861,5125
P,1552670891,5126
P,1552670920,5127
P,1552670949,5126
P,1552670979,5127
P,1552671008,5126
P,1552671037,5126
P,1552671066,5126
P,1552671096,5126
P,1552671126,5126
P,1552671155,5127
P,1552671185,5126
P,1552671214,5126
P,1552671243,5125
P,1552671272,5127
P,1552671302,5125
P,1552671331,5123
P,1552671360,5126
P,1552671390,5125
P,1552671420,5126
O,1552671433,271991,3370
O,1552671433,272119,2044
O,1552671434,272360,897
O,1552671434,272257,402
O,1552671435,272129,672
O,1552671435,271011,2814
O,1552671435,271024,1312
O,1552671436,271108,419
O,1552671436,271998,1083
O,1552671437,272417,622
O,1552671437,272227,889
O,1552671438,271734,660
O,1552671438,271977,470
O,1552671439,271903,514
O,1552671440,271602,550
O,1552671440,271908,436
O,1552671441,271578,1335
O,1552671441,271757,984
O,1552671442,272267,565
O,1552671442,272029,507
O,1552671443,272029,614
O,1552671444,272351,333
O,1552671444,271939,851
O,1552671445,272449,360
O,1552671445,272372,1484
O,1552671446,272152,708
O,1552671446,272416,732
O,1552671447,271455,1143
O,1552671448,272168,873
O,1552671448,272480,1089
P,1552671449,5119
O,1552671449,272873,381
O,1552671449,273202,625
O,1552671450,273268,1000
O,1552671450,272781,158
O,1552671451,272845,162
O,1552671452,272825,141
O,1552671452,272826,103
O,1552671453,272920,113
O,1552671453,272804,256
O,1552671454,272707,414
O,1552671454,272403,537
O,1552671455,272264,321
O,1552671456,272418,304
O,1552671456,272440,263
O,1552671457,272725,272
O,1552671457,272757,180
O,1552671458,272773,196
O,1552671458,272612,237
O,1552671459,272701,252
O,1552671459,272598,173
O,1552671460,272578,157
O,1552671461,272648,210
O,1552671461,272730,146
O,1552671462,272835,165
O,1552671462,272805,151
O,1552671463,272678,151
O,1552671463,272635,138
O,1552671464,272601,186
O,1552671465,272397,474
O,1552671465,272031,549
O,1552671466,271604,864
O,1552671466,271140,525
O,1552671467,271443,1143
O,1552671467,271110,987
O,1552671468,271481,1039
O,1552671469,271109,1011
O,1552671469,271052,1016
O,1552671470,271322,1500
O,1552671470,270905,677
O,1552671471,270465,1609
O,1552671471,270470,1784
O,1552671472,271976,1309
O,1552671473,272707,738
O,1552671473,272427,606
O,1552671474,272327,992
O,1552671474,271499,1357
O,1552671475,271475,887
O,1552671475,271329,1389
O,1552671476,271684,799
O,1552671476,272442,312
O,1552671476,272243,933
O,1552671477,271913,485
O,1552671477,272647,885
P,1552671478,5118
O,1552671478,272816,434
O,1552671478,272329,577
O,1552671479,272520,385
O,1552671480,272634,229
O,1552671480,272366,445
O,1552671481,271885,886
O,1552671481,271319,972
O,1552671482,271617,1992
O,1552671482,272387,866
O,1552671483,271922,609
O,1552671483,272060,593
O,1552671484,272622,637
O,1552671485,273088,296
O,1552671485,272642,420
O,1552671486,272617,331
O,1552671486,272678,494
O,1552671487,272332,1067
O,1552671487,271261,1714
T,1552671488,2834
P,1552671508,5125
P,1552671537,5126
P,1552671566,5125
P,1552671596,5124
P,1552671625,5127
P,1552671654,5126
P,1552671683,5126
P,1552671714,5126
P,1552671743,5127
P,1552671772,5125
P,1552671802,5123
P,1552671831,5126
P,1552671860,5125
P,1552671889,5127
P,1552671919,5122
P,1552671948,5127
P,1552671977,5123
P,1552672008,5127
P,1552672037,5126
P,1552672066,5126
P,1552672095,5125
P,1552672125,5126
P,1552672154,5126
P,1552672183,5124
P,1552672213,5126
P,1552672242,5123
P,1552672271,5126
P,1552672301,5126
P,1552672331,5125
P,1552672360,5127
P,1552672389,5126
P,1552672419,5126
P,1552672448,5126
P,1552672477,5126
P,1552672506,5127
P,1552672536,5124
P,1552672565,5126
P,1552672595,5124
