H,1556078675,277761
P,1556078675,5412
P,1556078705,5410
P,1556078735,5412
P,1556078764,5412
P,1556078793,5410
P,1556078822,5412
P,1556078852,5412
P,1556078881,5410
P,1556078910,5412
P,1556078940,5412
P,1556078969,5412
P,1556078999,5412
P,1556079028,5411
P,1556079058,5411
P,1556079087,5412
P,1556079116,5411
P,1556079146,5412
P,1556079175,5412
P,1556079204,5412
P,1556079233,5412
P,1556079263,5411
P,1556079293,5412
P,1556079322,5409
P,1556079352,5412
P,1556079381,5410
P,1556079410,5410
P,1556079439,5412
P,1556079469,5411
P,1556079498,5412
P,1556079527,5413
P,1556079557,5412
P,1556079587,5410
P,1556079616,5411
P,1556079645,5411
P,1556079675,5411
P,1556079704,5411
P,1556079733,5411
P,1556079763,5412
O,1556079773,272799,1991
O,1556079773,272962,205
O,1556079774,272810,168
O,1556079774,272816,94
O,1556079775,272756,147
O,1556079775,272654,214
O,1556079776,272625,134
O,1556079777,272729,166
O,1556079777,272875,161
O,1556079778,272874,128
O,1556079778,272872,104
O,1556079779,272927,140
O,1556079779,272953,99
O,1556079780,273005,79
O,1556079781,273061,447
O,1556079781,273060,516
O,1556079782,273077,378
O,1556079782,273042,140
O,1556079783,272924,122
O,1556079783,272947,135
O,1556079784,272861,140
O,1556079785,272730,139
O,1556079785,272799,156
O,1556079786,272878,172
O,1556079786,272843,259
O,1556079787,273043,161
O,1556079787,273054,156
O,1556079788,273129,204
O,1556079788,273160,97
O,1556079789,273267,199
O,1556079790,273284,194
O,1556079790,273200,214
O,1556079791,273027,173
O,1556079791,272872,259
O,1556079792,273065,131
P,1556079792,5407
O,1556079792,273099,150
O,1556079793,273028,125
O,1556079794,272992,128
O,1556079794,273055,159
O,1556079795,273098,71
O,1556079795,273031,113
O,1556079796,273076,110
O,1556079796,273090,119
O,1556079797,273154,124
O,1556079798,273229,110
O,1556079798,273244,154
O,1556079799,273152,158
O,1556079799,273135,106
O,1556079800,273194,109
O,1556079800,273163,139
O,1556079801,273127,101
O,1556079802,273146,108
O,1556079802,273049,141
O,1556079803,273013,165
O,1556079803,273021,140
O,1556079804,273072,149
O,1556079804,273139,108
O,1556079804,273127,80
O,1556079805,273144,107
O,1556079805,273125,116
O,1556079806,273132,86
O,1556079806,273156,112
O,1556079807,273160,119
O,1556079807,273144,87
O,1556079808,273132,106
O,1556079809,273154,102
O,1556079809,273101,91
O,1556079810,273132,85
O,1556079810,273054,78
O,1556079811,273046,71
O,1556079811,273072,82
O,1556079812,273135,112
O,1556079812,273129,76
O,1556079813,273157,129
O,1556079814,273155,141
O,1556079814,273140,94
O,1556079815,273153,155
O,1556079815,273183,69
O,1556079816,273193,154
O,1556079816,273180,78
O,1556079817,273178,105
O,1556079818,273226,122
O,1556079818,273234,155
O,1556079819,273197,111
O,1556079819,273184,122
O,1556079820,273185,161
O,1556079820,273196,103
O,1556079821,273150,119
P,1556079821,5405
O,1556079822,273158,85
O,1556079822,273153,112
O,1556079823,273177,479
O,1556079823,273208,256
O,1556079824,273188,214
O,1556079824,273157,190
O,1556079825,273172,124
O,1556079826,273176,172
O,1556079826,273190,103
O,1556079827,273211,107
O,1556079827,273207,155
O,1556079828,273228,130
O,1556079828,273229,109
T,1556079829,2835
P,1556079850,5411
P,1556079881,5410
P,1556079910,5410
P,1556079939,5412
P,1556079968,5412
P,1556079998,5410
P,1556080027,5412
P,1556080056,5410
P,1556080086,5411
P,1556080115,5411
P,1556080144,5412
P,1556080174,5411
P,1556080204,5410
P,1556080233,5411
P,1556080262,5411
P,1556080292,5412
P,1556080321,5411
P,1556080350,5412
P,1556080379,5412
P,1556080409,5409
P,1556080438,5411
P,1556080468,5412
P,1556080498,5411
P,1556080527,5411
P,1556080556,5411
P,1556080585,5411
P,1556080615,5409
P,1556080644,5411
P,1556080673,5411
P,1556080703,5410
P,1556080732,5409
P,1556080762,5411
P,1556080791,5411
P,1556080821,5411
P,1556080850,5411
P,1556080879,5410
P,1556080909,5410
P,1556080938,5411
P,1556080967,5410
P,1556080997,5410
P,1556081027,5411
P,1556081057,5410
P,1556081086,5411
P,1556081116,5411
P,1556081145,5411
P,1556081174,5411
P,1556081203,5412
P,1556081233,5411
P,1556081262,5412
P,1556081291,5410
P,1556081321,5409
P,1556081351,5410
P,1556081380,5410
P,1556081409,5412
P,1556081439,5409
P,1556081468,5409
P,1556081497,5410
P,1556081527,5409
P,1556081556,5410
P,1556081585,5410
P,1556081614,5411
