H,1556954932,277761
P,1556954932,5244
P,1556954961,5242
P,1556954990,5244
P,1556955020,5244
P,1556955049,5242
P,1556955078,5244
P,1556955108,5244
P,1556955138,5242
P,1556955167,5242
P,1556955196,5242
P,1556955226,5242
P,1556955255,5241
P,1556955284,5242
P,1556955313,5242
P,1556955343,5243
P,1556955372,5244
P,1556955401,5244
P,1556955432,5242
P,1556955461,5243
P,1556955490,5244
P,1556955519,5242
P,1556955549,5244
P,1556955578,5243
P,1556955607,5243
P,1556955637,5244
P,1556955666,5243
P,1556955695,5241
P,1556955725,5244
P,1556955755,5243
P,1556955784,5242
P,1556955813,5243
P,1556955843,5244
P,1556955872,5242
P,1556955901,5242
P,1556955930,5242
P,1556955960,5243
P,1556955989,5243
O,1556956008,275813,2036
O,1556956009,275835,604
O,1556956009,275366,863
O,1556956010,275434,238
O,1556956010,275477,625
O,1556956010,275436,351
O,1556956011,275215,1093
O,1556956011,275541,833
O,1556956012,275810,309
O,1556956012,275612,547
O,1556956013,275692,233
O,1556956013,275993,363
O,1556956014,276212,321
O,1556956015,275937,527
O,1556956015,276205,494
O,1556956016,276188,268
O,1556956016,275988,152
O,1556956017,275983,626
O,1556956017,275729,1016
O,1556956018,276039,666
P,1556956019,5237
O,1556956019,276149,484
O,1556956019,276111,765
O,1556956020,276097,679
O,1556956020,276346,296
O,1556956021,276266,181
O,1556956021,276366,202
O,1556956022,276495,166
O,1556956023,276408,112
O,1556956023,276350,150
O,1556956024,276046,259
O,1556956024,275942,410
O,1556956025,276179,359
O,1556956025,276319,93
O,1556956026,276253,224
O,1556956027,276185,258
O,1556956027,276391,276
O,1556956028,276586,222
O,1556956028,276709,399
O,1556956029,276649,238
O,1556956029,276770,505
O,1556956030,276847,535
O,1556956031,276892,213
O,1556956031,276928,302
O,1556956032,276627,454
O,1556956032,276211,315
O,1556956033,276168,125
O,1556956033,276013,250
O,1556956034,276227,560
O,1556956034,276399,414
O,1556956035,276434,109
O,1556956036,276632,198
O,1556956036,276310,1028
O,1556956037,275660,525
O,1556956037,275833,202
O,1556956038,275956,249
O,1556956038,276165,190
O,1556956039,276174,119
O,1556956040,276145,269
O,1556956040,275798,192
O,1556956041,276109,326
O,1556956041,276156,149
O,1556956042,276164,202
O,1556956042,276175,331
O,1556956043,276226,286
O,1556956044,276215,166
O,1556956044,276151,185
O,1556956045,275981,165
O,1556956045,276003,277
O,1556956046,276004,179
O,1556956046,275994,238
O,1556956047,275727,489
O,1556956048,275707,419
O,1556956048,276028,236
P,1556956049,5238
O,1556956049,276217,304
O,1556956049,276129,86
O,1556956050,275995,90
O,1556956050,276028,64
O,1556956051,275806,348
O,1556956051,275685,209
O,1556956051,275922,230
O,1556956052,275675,601
O,1556956052,275959,255
O,1556956053,275938,238
O,1556956053,276028,258
O,1556956054,276163,365
O,1556956055,276026,212
O,1556956055,276077,295
O,1556956056,275916,284
O,1556956056,276113,270
O,1556956057,276061,222
O,1556956057,275923,220
O,1556956058,275976,321
O,1556956058,275981,391
O,1556956059,276090,205
O,1556956060,276067,149
O,1556956060,275888,146
O,1556956061,275989,395
O,1556956061,275916,1050
O,1556956062,275910,396
O,1556956062,276023,250
O,1556956063,275846,547
T,1556956063,2834
P,1556956078,5242
P,1556956107,5244
P,1556956136,5242
P,1556956166,5243
P,1556956195,5244
P,1556956224,5241
P,1556956254,5243
P,1556956283,5243
P,1556956313,5244
P,1556956342,5241
P,1556956372,5243
P,1556956401,5242
P,1556956430,5243
P,1556956460,5243
P,1556956489,5242
P,1556956518,5244
P,1556956547,5242
P,1556956577,5241
P,1556956607,5243
P,1556956636,5244
P,1556956666,5244
P,1556956695,5243
P,1556956724,5243
P,1556956753,5244
P,1556956783,5240
E,1556956813,0
