H,1557852570,277761
P,1557852570,5210
P,1557852599,5210
P,1557852628,5212
P,1557852658,5210
P,1557852687,5211
P,1557852716,5210
P,1557852746,5209
P,1557852775,5211
P,1557852804,5211
P,1557852833,5210
P,1557852864,5212
P,1557852893,5210
P,1557852922,5208
P,1557852952,5211
P,1557852981,5211
P,1557853010,5208
P,1557853039,5210
P,1557853069,5211
P,1557853098,5212
P,1557853127,5212
P,1557853158,5212
P,1557853187,5212
P,1557853216,5211
P,1557853245,5211
P,1557853275,5209
P,1557853304,5211
P,1557853333,5212
P,1557853363,5212
P,1557853392,5210
P,1557853421,5211
P,1557853451,5211
P,1557853481,5210
P,1557853511,5212
P,1557853540,5212
P,1557853570,5211
P,1557853599,5212
P,1557853628,5211
P,1557853657,5211
P,1557853687,5210
P,1557853716,5211
P,1557853746,5211
P,1557853776,5210
P,1557853805,5210
P,1557853834,5212
P,1557853863,5210
P,1557853893,5211
P,1557853922,5211
P,1557853951,5210
P,1557853981,5208
P,1557854010,5212
P,1557854040,5206
P,1557854069,5211
O,1557854088,268383,6451
O,1557854089,269127,3019
O,1557854089,270438,3245
O,1557854090,270854,4319
O,1557854090,272138,1866
O,1557854091,271087,2249
O,1557854092,272448,1196
O,1557854092,273932,777
O,1557854093,273607,979
O,1557854093,272003,2333
O,1557854094,272939,224
O,1557854094,273919,568
O,1557854095,274798,2102
O,1557854096,275982,2889
O,1557854096,278836,3812
O,1557854097,279727,3491
O,1557854097,281723,4723
O,1557854098,278509,3625
O,1557854098,284024,11064
P,1557854099,5205
O,1557854099,278201,3136
O,1557854100,277795,1945
O,1557854100,278687,3702
O,1557854101,275114,1254
O,1557854101,276640,6378
O,1557854102,272126,4535
O,1557854102,281009,7260
O,1557854103,283743,10779
O,1557854104,291007,18538
O,1557854104,285370,4385
O,1557854105,275609,5747
O,1557854105,273797,841
O,1557854105,276306,3991
O,1557854105,278705,3521
O,1557854106,278704,2735
O,1557854107,275347,4847
O,1557854107,273932,1189
O,1557854108,277422,3992
O,1557854108,277748,3897
O,1557854109,273477,1485
O,1557854109,271954,1571
O,1557854110,273809,1574
O,1557854110,272722,3087
O,1557854111,271687,6335
O,1557854112,274097,2017
O,1557854112,273095,732
O,1557854113,273196,591
O,1557854113,273842,2417
O,1557854114,274125,416
O,1557854114,274455,1032
O,1557854115,274297,985
O,1557854116,273668,466
O,1557854116,274240,427
O,1557854117,275428,4455
O,1557854117,282224,11112
O,1557854118,281196,3881
O,1557854118,278890,9360
O,1557854119,272919,2893
O,1557854120,273635,1071
O,1557854120,276610,3443
O,1557854121,279878,6090
O,1557854121,274821,3196
O,1557854122,277005,3959
O,1557854122,275635,2317
O,1557854123,271986,12470
O,1557854124,266010,3990
O,1557854124,268847,4626
O,1557854125,271574,837
O,1557854125,266209,6751
O,1557854126,270112,3579
O,1557854126,270868,2240
O,1557854127,271699,508
O,1557854128,271154,1698
P,1557854128,5206
O,1557854128,272398,1858
O,1557854129,272576,1397
O,1557854129,273279,1671
O,1557854130,274058,2961
O,1557854130,279597,3737
O,1557854131,274804,4240
O,1557854132,274917,822
O,1557854132,273800,1396
O,1557854133,274415,892
O,1557854133,275090,1348
O,1557854134,274792,1434
O,1557854134,271633,1758
O,1557854135,272620,1395
O,1557854135,272846,950
O,1557854136,272664,1108
O,1557854137,273575,2310
O,1557854137,272961,1540
O,1557854138,271924,1142
O,1557854138,272849,665
O,1557854139,272085,1270
O,1557854139,272189,1046
O,1557854140,272270,1290
O,1557854141,273191,1499
O,1557854141,272631,418
O,1557854142,272837,952
O,1557854142,272741,552
O,1557854143,272764,358
O,1557854143,272851,156
O,1557854144,272943,195
T,1557854144,2878
P,1557854157,5209
P,1557854187,5210
P,1557854216,5207
P,1557854245,5210
P,1557854274,5210
P,1557854304,5211
P,1557854334,5211
P,1557854363,5212
P,1557854392,5211
P,1557854422,5209
P,1557854451,5210
P,1557854480,5211
P,1557854510,5210
P,1557854539,5212
P,1557854568,5211
P,1557854597,5211
P,1557854628,5211
P,1557854657,5210
P,1557854686,5212
P,1557854716,5210
P,1557854745,5211
P,1557854774,5211
P,1557854803,5210
P,1557854833,5210
P,1557854862,5211
P,1557854891,5210
P,1557854922,5211
P,1557854951,5208
P,1557854980,5210
P,1557855009,5208
P,1557855039,5210
P,1557855068,5212
P,1557855097,5211
P,1557855127,5211
P,1557855156,5211
P,1557855185,5211
P,1557855215,5209
P,1557855245,5211
P,1557855274,5209
P,1557855303,5211
P,1557855333,5212
P,1557855362,5211
P,1557855391,5210
P,1557855420,5209
P,1557855450,5210
P,1557855479,5210
P,1557855509,5210
